,GEOGRAPHY_CODE,All categories: English as a household language,All people aged 16 and over in household have English as a main language (English or Welsh in Wales),At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales),No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales),No people in household have English as a main language (English or Welsh in Wales)
5941,E02006078,2410.0,0.9755186721991701,0.01037344398340249,0.0004149377593360996,0.013692946058091286
5942,E02006079,3114.0,0.9608220937700707,0.012524084778420038,0.0016056518946692357,0.025048169556840076
5943,E02006080,2502.0,0.9772182254196643,0.014788169464428458,0.0003996802557953637,0.007593924860111911
5944,E02006081,2253.0,0.9880159786950732,0.010208610741233911,0.0,0.001775410563692854
5945,E02006082,2840.0,0.9848591549295774,0.009507042253521126,0.0007042253521126761,0.004929577464788733
5946,E02006083,2504.0,0.9844249201277955,0.008386581469648562,0.0011980830670926517,0.0059904153354632585
5947,E02006084,3165.0,0.9898894154818325,0.008530805687203791,0.0,0.001579778830963665
5948,E02006085,2549.0,0.9729305610043154,0.009807767752059632,0.003138485680659082,0.014123185562965868
5949,E02006086,2706.0,0.9597191426459719,0.01662971175166297,0.0033259423503325942,0.02032520325203252
5950,E02006087,2640.0,0.9606060606060606,0.013636363636363636,0.001893939393939394,0.023863636363636365
5951,E02006088,3149.0,0.9510955859002858,0.012702445220704985,0.00476341695776437,0.03143855192124484
5952,E02006089,2939.0,0.8846546444368832,0.026539639333106498,0.005103776794828173,0.08370193943518203
5953,E02006090,2985.0,0.952428810720268,0.01373534338358459,0.0020100502512562816,0.031825795644891124
5954,E02006091,4254.0,0.9880112834978844,0.008697696285848613,0.0,0.003291020216267043
5955,E02006092,2659.0,0.9766829635201203,0.012034599473486273,0.001504324934185784,0.009778112072207596
5956,E02006093,3747.0,0.9837203095809981,0.009607686148919135,0.0008006405124099279,0.005871363757672805
5957,E02006094,2357.0,0.9876962240135766,0.00975816716164616,0.0,0.002545608824777259
5958,E02006095,3585.0,0.9821478382147838,0.00892608089260809,0.0005578800557880056,0.008368200836820083
