,GEOGRAPHY_CODE,All categories: Household composition,One family household,One family only: All aged 65 and over,One family only: Cohabiting couple,One family only: Cohabiting couple: All children non-dependent,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: No children,One family only: Lone parent,One family only: Lone parent: All children non-dependent,One family only: Lone parent: Dependent children,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: No children,One person household,One person household: Aged 65 and over,One person household: Other,Other household types,Other household types: All aged 65 and over,Other household types: All full-time students,Other household types: Other,Other household types: With dependent children
3706,E02003801,2888.0,0.6842105263157895,0.10907202216066482,0.08518005540166206,0.005193905817174515,0.036703601108033244,0.0432825484764543,0.08898891966759002,0.03566481994459834,0.05332409972299169,0.4009695290858726,0.08621883656509695,0.18975069252077562,0.125,0.2596952908587258,0.1402354570637119,0.11945983379501385,0.05609418282548476,0.0013850415512465374,0.00034626038781163435,0.03497229916897507,0.019390581717451522
3707,E02003802,4274.0,0.3940102948058025,0.037903603182030884,0.12704726251754797,0.0014038371548900327,0.02129153018249883,0.1043518951801591,0.06200280767430978,0.024801123069723912,0.037201684604585866,0.1670566214319139,0.01731399157697707,0.05942910622367805,0.09031352363125877,0.471689284043051,0.13149274684136641,0.3401965372016846,0.13430042115114646,0.003275620028076743,0.014272344408048667,0.10645765091249415,0.010294805802526907
3708,E02003803,3869.0,0.3476350478159731,0.04032049625226156,0.11243215301111398,0.001809253036960455,0.014732489015249418,0.0958904109589041,0.047299043680537604,0.019901783406565003,0.0273972602739726,0.14758335487205995,0.02016024812613078,0.04781597311966917,0.07960713362626001,0.4536055828379426,0.11139829413285086,0.34220728870509176,0.19875936934608426,0.002843111915223572,0.1046782114241406,0.08245024554148359,0.008787800465236495
3709,E02003804,3217.0,0.549580354367423,0.059993783027665525,0.13211066210755362,0.005906123717749456,0.036369288156667706,0.08983525023313646,0.09107864470003109,0.029219769972023624,0.06185887472800746,0.26639726453217283,0.03730183400683867,0.12775878147342246,0.10133664905191173,0.37115324836804475,0.14640969847684177,0.224743549891203,0.07926639726453218,0.003730183400683867,0.005595275101025801,0.05688529686042897,0.013055641902393535
3710,E02003805,2535.0,0.7053254437869823,0.13570019723865878,0.059566074950690336,0.0019723865877712033,0.01775147928994083,0.0398422090729783,0.06390532544378698,0.023274161735700197,0.04063116370808678,0.4461538461538462,0.07337278106508875,0.20078895463510849,0.17199211045364893,0.25877712031558187,0.15463510848126233,0.10414201183431952,0.035897435897435895,0.0007889546351084812,0.002366863905325444,0.016173570019723867,0.016568047337278107
3711,E02003806,2547.0,0.6753042795445622,0.10954063604240283,0.07341970946211229,0.0027483313702394976,0.020808794660384766,0.04986258343148803,0.07656065959952886,0.02944640753828033,0.04711425206124853,0.41578327444051827,0.06831566548881036,0.20926580290537888,0.138201806046329,0.2826855123674912,0.15665488810365136,0.12603062426383982,0.0420102080879466,0.002355712603062426,0.00039261876717707107,0.02630545740086376,0.012956419316843345
3712,E02003807,3832.0,0.6187369519832986,0.13074112734864302,0.08402922755741127,0.0018267223382045928,0.0255741127348643,0.05662839248434238,0.06680584551148225,0.028444676409185805,0.03836116910229645,0.33716075156576203,0.05558455114822547,0.13987473903966596,0.14170146137787057,0.3345511482254697,0.1714509394572025,0.16310020876826722,0.046711899791231734,0.002870563674321503,0.0,0.031315240083507306,0.012526096033402923
3713,E02003808,2776.0,0.638328530259366,0.05223342939481268,0.12536023054755044,0.006484149855907781,0.058717579250720464,0.06015850144092219,0.13148414985590778,0.03494236311239193,0.09654178674351585,0.3292507204610951,0.050072046109510084,0.14769452449567724,0.13148414985590778,0.31015850144092216,0.09402017291066282,0.21613832853025935,0.05151296829971182,0.0018011527377521613,0.0007204610951008645,0.02989913544668588,0.01909221902017291
3714,E02003809,3061.0,0.7161058477621692,0.12969617771969943,0.0793858216269193,0.003920287487749101,0.031035609278013722,0.04442992486115648,0.0800392028748775,0.03234237177393009,0.047696831100947405,0.426984645540673,0.07644560601110748,0.18425351192420777,0.16628552760535772,0.23979091800065339,0.12512250898399216,0.11466840901666123,0.044103234237177394,0.004246978111728194,0.0003266906239790918,0.023848415550473703,0.015681149950996405
3715,E02003810,3445.0,0.6754716981132075,0.12220609579100145,0.07750362844702467,0.0020319303338171262,0.028447024673439767,0.04702467343976778,0.07169811320754717,0.03454281567489115,0.03715529753265602,0.4040638606676343,0.06995645863570392,0.17010159651669085,0.16400580551523947,0.28388969521044993,0.14862119013062408,0.13526850507982582,0.040638606676342524,0.0023222060957910013,0.00029027576197387516,0.02119013062409289,0.01683599419448476
