,GEOGRAPHY_CODE,All usual residents,Area (Hectares),Density (number of persons per hectare),Females,Lives in a communal establishment,Lives in a household,Males,Schoolchild or full-time student aged 4 and over at their non term-time address
4332,E02004434,1,0.14961001788908765,0.0007990459153249851,0.5076923076923077,0.014311270125223614,0.9856887298747764,0.49230769230769234,0.007871198568872988
4333,E02004435,1,0.04063091090094574,0.0030612244897959186,0.5257590841214534,0.00012444001991040318,0.9998755599800896,0.47424091587854655,0.00510204081632653
4334,E02004436,1,0.018076623376623375,0.007181818181818182,0.5153246753246753,0.007792207792207792,0.9922077922077922,0.48467532467532465,0.004545454545454545
4335,E02004437,1,0.06146508966043495,0.002073000127177922,0.5160880071219637,0.0017804909067785832,0.9982195090932214,0.4839119928780364,0.006231718173725041
4336,E02004438,1,0.03854773228163786,0.003004291845493562,0.5383366198816842,0.04036654680431504,0.9596334531956849,0.46166338011831576,0.004987820438464215
4337,E02004439,1,0.015471010365645289,0.007358469073926415,0.5292174507347078,0.0,1.0,0.47078254926529217,0.0056954094999430455
4338,E02004440,1,0.026104060913705582,0.004860406091370558,0.5206852791878173,0.0,1.0,0.47931472081218274,0.004568527918781726
4339,E02004441,1,0.02685311871227364,0.004989939637826962,0.5133467471495641,0.002012072434607646,0.9979879275653923,0.4866532528504359,0.006170355466130114
4340,E02004442,1,0.015522169292781239,0.00786612922926591,0.5142298766336876,0.0002442897276169537,0.9997557102723831,0.4857701233663124,0.0068401123732747034
4341,E02004443,1,0.04696854730143189,0.0026067800758781054,0.5085056908579121,0.0031819850691469833,0.996818014930853,0.49149430914208786,0.01015787541304614
4342,E02004444,1,0.06448146513680494,0.001710061782877317,0.5079435127978817,0.010150044130626656,0.9898499558693733,0.49205648720211825,0.012135922330097087
4343,E02004445,1,0.1137448005872278,0.0010765842916564718,0.5013457303645706,0.005994617078541717,0.9940053829214582,0.4986542696354294,0.005994617078541717
4344,E02004446,1,1.259290491421925,0.00011631288165164292,0.5036347775516138,0.00043617330619366096,0.9995638266938064,0.49636522244838616,0.017592323349810993
4345,E02004447,1,2.429667751327282,6.850488097276931e-05,0.49717417365987326,0.000685048809727693,0.9993149511902724,0.5028258263401267,0.026888165781811954
4346,E02004448,1,0.6609875570956055,0.00023625767837454718,0.5087415340998582,0.013072924870058277,0.9869270751299417,0.49125846590014177,0.01779807843754922
4347,E02004449,1,0.02739361075091359,0.004302723093245314,0.5150300601202404,0.011788282447247436,0.9882117175527526,0.4849699398797595,0.006837203819403513
4348,E02004450,1,1.5275323383084578,0.00011608623548922056,0.5028192371475954,0.006135986733001658,0.9938640132669984,0.49718076285240465,0.02404643449419569
4349,E02004451,1,0.3541874422899354,0.00032317636195752536,0.5150046168051708,0.024930747922437674,0.9750692520775623,0.48499538319482915,0.014312096029547553
4350,E02004452,1,0.29307071359380044,0.00036594553869335913,0.5120008610483263,0.04068453341943817,0.9593154665805619,0.4879991389516737,0.011301259283177269
4351,E02004453,1,0.04085601466647863,0.0034550839091806516,0.5210830630376534,0.007615286983500212,0.9923847130164998,0.47891693696234666,0.008743477647722465
4352,E02004454,1,0.019999999999999997,0.005604752830400179,0.499831857415088,0.010761125434368345,0.9892388745656316,0.500168142584912,0.007734558905952247
4353,E02004455,1,0.15494236311239193,0.0008514540214828399,0.5129682997118156,0.001440922190201729,0.9985590778097982,0.48703170028818443,0.013754257270107415
4354,E02004456,1,0.02439807023448895,0.0046000224391338496,0.5046561202737574,0.003926848423650847,0.9960731515763491,0.49534387972624255,0.006619544485582857
4355,E02004457,1,0.3460768560642726,0.00028070854709127865,0.5087600425902623,0.009679605072113058,0.9903203949278869,0.4912399574097377,0.008614848514180621
4356,E02004458,1,0.10281332072696711,0.0010190146023741989,0.5163357495535246,0.009874986868368527,0.9901250131316315,0.4836642504464755,0.012606366214938543
4357,E02004459,1,0.4492424388829839,0.00021258092569330372,0.507875157020002,0.00975939704319258,0.9902406029568074,0.4921248429799981,0.016040197120494735
4358,E02004460,1,0.18077018633540373,0.0006211180124223603,0.5088650479954828,0.0033879164313946925,0.9966120835686053,0.49113495200451723,0.008130999435347262
4359,E02004461,1,0.07162886597938144,0.0024054982817869417,0.5079037800687285,0.0,1.0,0.49209621993127145,0.010824742268041237
4360,E02004462,1,0.04257227429699063,0.0023186975826344353,0.5131721756290084,0.017168228909718797,0.9828317710902812,0.4868278243709916,0.007696102614701529
4361,E02004463,1,0.6728013029315961,0.00018792282635930844,0.5101478326234027,0.013154597845151592,0.9868454021548484,0.48985216737659737,0.016286644951140065
4362,E02004464,1,0.48984229390681006,0.0002048131080389145,0.5147977470558116,0.00931899641577061,0.9906810035842294,0.48520225294418845,0.018740399385560675
4363,E02004465,1,0.4684880992289641,0.0003519946362722092,0.5259805564867583,0.0026818638954073082,0.9973181361045927,0.4740194435132417,0.017934964800536374
4364,E02004466,1,0.07683819891142998,0.0016081147946561108,0.5214002968827314,0.004948045522018802,0.9950519544779812,0.4785997031172687,0.01583374567046017
4365,E02004467,1,0.023786638500132032,0.005545286506469501,0.522181146025878,0.02838658568787959,0.9716134143121204,0.477818853974122,0.013203063110641669
4366,E02004468,1,0.09510332950631457,0.0010045924225028703,0.5028702640642939,0.005549177190968236,0.9944508228090317,0.4971297359357061,0.02937236892460773
4367,E02004469,1,0.24649373360536286,0.0005974934421451471,0.5141358204605071,0.0,1.0,0.48586417953949285,0.017487612940833577
4368,E02004470,1,0.02315833880191244,0.004049873441454955,0.5144839223774257,0.011155901378081935,0.988844098621918,0.4855160776225743,0.010874660166869785
4369,E02004471,1,0.23768924798011187,0.0005220633934120572,0.5295214418893723,0.029210689869484153,0.9707893101305158,0.4704785581106277,0.01765071472964574
4370,E02004472,1,0.3374426123504688,0.00048496605237633366,0.5095376656967345,0.006142903330100227,0.9938570966698997,0.4904623343032654,0.020530229550598123
4371,E02004473,1,0.0168295543393276,0.007740422204847537,0.5119885327078447,0.0,1.0,0.48801146729215533,0.007427677873338546
4372,E02004474,1,0.08138027773881329,0.0017253471735166224,0.5153597980081358,0.02090054706129892,0.979099452938701,0.4846402019918642,0.010941225978398092
4373,E02004475,1,0.02734425225776825,0.005602326649318843,0.5129343333843563,0.0,1.0,0.48706566661564366,0.010561763355273228
4374,E02004476,1,0.060857285678580356,0.0020494876280929765,0.5122469382654337,0.004373906523369157,0.9956260934766309,0.48775306173456634,0.014621344663834041
4375,E02004477,1,0.06774079677256682,0.0024878130778282067,0.5140359724323416,0.0005042864346949068,0.9994957135653051,0.48596402756765844,0.012607160867372668
4376,E02004478,1,0.08723239969719909,0.00174110522331567,0.5233913701741105,0.016654049962149888,0.9833459500378501,0.4766086298258895,0.011657834973504921
4377,E02004479,1,0.040871807774562834,0.0030821486979494277,0.506982010315763,0.01522204050824003,0.98477795949176,0.493017989684237,0.008806139136998365
4378,E02004480,1,0.03356017997750281,0.004190101237345332,0.5068897637795275,0.001687289088863892,0.9983127109111362,0.49311023622047245,0.0074521934758155235
4379,E02004481,1,0.030956198960653304,0.00479584261321455,0.51818856718634,0.0002969561989606533,0.9997030438010394,0.48181143281366,0.004454342984409799
4380,E02004482,1,0.09505599237550631,0.0012508934953538242,0.5187038360733858,0.010007147962830594,0.9899928520371694,0.48129616392661423,0.003693114129139862
4381,E02004483,1,0.04614376683810923,0.002657359784472202,0.5024491795248591,0.010041636051922606,0.9899583639480773,0.4975508204751408,0.006857702669605682
4382,E02004484,1,0.02653613293829705,0.004856369960066984,0.5093391730001288,0.0036068530207394047,0.9963931469792606,0.4906608269998712,0.006183176606981837
4383,E02004485,1,0.7922480730802169,0.0001855552383671139,0.5069940051384527,0.0027119611761347415,0.9972880388238653,0.4930059948615472,0.016557236654296318
4384,E02004486,1,0.0841319995120166,0.0014517506404782238,0.5172624130779554,0.022569232646090034,0.97743076735391,0.48273758692204466,0.017201415151884836
4385,E02004487,1,0.5422594319626961,0.0002543450614667232,0.5093966369930761,0.004097781545852762,0.9959022184541473,0.49060336300692386,0.01483679525222552
4386,E02004488,1,0.03768597043857524,0.0032105645747516356,0.5058153622486067,0.008117276472013569,0.9918827235279865,0.49418463775139326,0.014780712381875455
