,GEOGRAPHY_CODE,Dependent children in household: Age 0 to 4,Dependent children in household: All ages,No adults in employment in household,No adults in employment in household: No dependent children,No adults in employment in household: With dependent children,One person in household with a long-term health problem or disability,One person in household with a long-term health problem or disability: No dependent children,One person in household with a long-term health problem or disability: With dependent children,count of Household; All households
2971,E02003054,0.12898443291326908,0.2909562638991846,0.2746478873239437,0.24277242401779095,0.03187546330615271,0.2446256486286138,0.19681245366938474,0.04781319495922906,1
2972,E02003055,0.16933932007697242,0.3951250801796023,0.39159717767799873,0.2748556767158435,0.11674150096215523,0.3030788967286722,0.22097498396407952,0.08210391276459268,1
2973,E02003056,0.1640267511439634,0.38085181274199226,0.41745864132347765,0.293558606124604,0.12390003519887363,0.3386131643787399,0.24674410418866596,0.09186906019007392,1
2974,E02003057,0.114215283483977,0.2695152013147083,0.34675431388660644,0.31018898931799505,0.03656532456861134,0.26499589153656533,0.21939194741166804,0.04560394412489729,1
2975,E02003058,0.13138686131386862,0.29457768508863397,0.3660062565172054,0.30995828988529717,0.05604796663190824,0.2862356621480709,0.23800834202294055,0.04822732012513034,1
2976,E02003059,0.14448188711036225,0.3108677337826453,0.4001684919966302,0.3239258635214827,0.07624262847514743,0.2923336141533277,0.2422072451558551,0.05012636899747262,1
2977,E02003060,0.10716619472881725,0.2735787410150294,0.3844478327161838,0.33914179917229365,0.04530603354389022,0.3021128294489218,0.2565889784360706,0.04552385101285123,1
2978,E02003061,0.15517936316001613,0.34099153567110035,0.44095122934300685,0.3297057638049174,0.11124546553808948,0.3385731559854897,0.2672309552599758,0.07134220072551391,1
2979,E02003062,0.15277207392197126,0.33552361396303904,0.46899383983572895,0.351129363449692,0.11786447638603696,0.3470225872689938,0.275564681724846,0.07145790554414784,1
2980,E02003063,0.09535120461486257,0.24465558194774348,0.34441805225653205,0.3210044112656939,0.02341364099083814,0.26128266033254155,0.22429589412962334,0.03698676620291822,1
2981,E02003064,0.18736767819336628,0.3641496118560339,0.5112914608327452,0.34968242766407903,0.1616090331686662,0.3595624558927311,0.27240649258997884,0.0871559633027523,1
2982,E02003065,0.10176767676767677,0.2457070707070707,0.3207070707070707,0.3005050505050505,0.020202020202020204,0.23434343434343435,0.20227272727272727,0.03207070707070707,1
2983,E02003066,0.07194795254496747,0.2403367776502105,0.365097588978186,0.3582089552238806,0.006888633754305396,0.22349789513968618,0.2020665901262916,0.021431305013394564,1
2984,E02003067,0.14933837429111532,0.3333333333333333,0.2948960302457467,0.27284183994959044,0.02205419029615627,0.22747321991178324,0.1880907372400756,0.03938248267170762,1
2985,E02003068,0.090228378884313,0.2515911643579184,0.3448146761512542,0.3260950954698615,0.018719580681392737,0.2392362411081992,0.20554099588169225,0.03369524522650692,1
2986,E02003069,0.06443514644351464,0.2096234309623431,0.3686192468619247,0.3610878661087866,0.007531380753138075,0.23640167364016737,0.21338912133891214,0.02301255230125523,1
2987,E02003070,0.14832051800890328,0.31829218939700527,0.2962363415621206,0.2780250910562525,0.018211250505868068,0.20902468636179683,0.17300687980574667,0.036017806556050184,1
2988,E02003071,0.08690712865663164,0.23658051689860835,0.36892928145413234,0.3447884123828458,0.024140869071286566,0.28514626526554954,0.2496449872195399,0.03550127804600966,1
2989,E02003072,0.07341894838866005,0.23309910346498666,0.39641385994669254,0.38139084080445845,0.015023019142234069,0.28931427186818515,0.25829900654228255,0.031015265325902593,1
2990,E02003073,0.08562806488117691,0.3013956997359487,0.3070539419087137,0.2964918898528857,0.010562052055827989,0.21652206714447378,0.1810637495284798,0.03545831761599397,1
2991,E02003074,0.11223897911832946,0.29669373549883993,0.26711136890951276,0.24738979118329466,0.019721577726218097,0.2230278422273782,0.18619489559164734,0.036832946635730855,1
2992,E02003075,0.08610139860139861,0.3299825174825175,0.31993006993006995,0.30288461538461536,0.017045454545454544,0.24519230769230768,0.19755244755244755,0.047639860139860137,1
