,GEOGRAPHY_CODE,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations,All categories: Occupation
5867,E02006004,0.18475588338602036,0.19002458728486127,0.1380400421496312,0.09272918861959958,0.13558131366350545,0.07200561995082543,0.05128205128205128,0.05093080435546189,0.08465050930804355,1
5868,E02006005,0.11269406392694063,0.11634703196347032,0.21552511415525114,0.1119634703196347,0.11598173515981736,0.10557077625570777,0.07616438356164383,0.0593607305936073,0.08639269406392694,1
5869,E02006006,0.10395209580838323,0.07353293413173653,0.2682634730538922,0.10682634730538922,0.12718562874251496,0.09724550898203593,0.06754491017964072,0.06946107784431138,0.0859880239520958,1
5870,E02006007,0.15764139590854392,0.2075812274368231,0.13116726835138387,0.10258724428399518,0.12214199759326114,0.08152827918170878,0.04993983152827918,0.05956678700361011,0.08784596871239471,1
5871,E02006008,0.12947368421052632,0.17842105263157895,0.13026315789473683,0.11263157894736842,0.12631578947368421,0.08026315789473684,0.08052631578947368,0.06526315789473684,0.0968421052631579,1
5872,E02006009,0.11534391534391535,0.13148148148148148,0.2791005291005291,0.091005291005291,0.13756613756613756,0.06931216931216931,0.056084656084656084,0.040740740740740744,0.07936507936507936,1
5873,E02006010,0.1294285205625779,0.17197792415880364,0.10290190493145808,0.10112159515755742,0.16770518070144205,0.09382232508456471,0.06266690404130319,0.06836389531778529,0.10201175004450774,1
5874,E02006011,0.1333101287852419,0.1740341106856944,0.10198398886181692,0.10720501218238775,0.1333101287852419,0.0929342151061608,0.06648103028193526,0.06648103028193526,0.1242603550295858,1
5875,E02006012,0.1327575175943698,0.17306461932181702,0.12284069097888675,0.10268714011516315,0.1295585412667946,0.08253358925143954,0.06845809341010876,0.07581573896353166,0.11228406909788867,1
5876,E02006013,0.1918158567774936,0.16854219948849106,0.10664961636828645,0.11125319693094629,0.15370843989769822,0.07544757033248081,0.044501278772378514,0.05217391304347826,0.0959079283887468,1
5877,E02006014,0.14214236979758926,0.13668410279736184,0.09142597225380941,0.10188765067091199,0.1885376392995224,0.10325221742096884,0.05185353650216056,0.0807368660450307,0.10347964521264498,1
5878,E02006015,0.10509754562617998,0.10740507656807216,0.0816026851269142,0.10195091252359975,0.1529263687853996,0.1130690161527166,0.08391021606880637,0.1105517096706524,0.14348646947765892,1
5879,E02006016,0.15724946695095948,0.15884861407249468,0.11247334754797442,0.09488272921108742,0.17510660980810236,0.08075692963752665,0.05223880597014925,0.07116204690831557,0.09728144989339019,1
5880,E02006017,0.11884550084889643,0.15082059988681382,0.0899830220713073,0.0899830220713073,0.17628749292586304,0.10243350311262026,0.0690435766836446,0.08488964346349745,0.1177136389360498,1
5881,E02006018,0.10035971223021582,0.11798561151079137,0.1131294964028777,0.09658273381294964,0.11942446043165468,0.10629496402877697,0.075,0.1393884892086331,0.13183453237410073,1
5882,E02006019,0.10015003750937734,0.12678169542385595,0.09227306826706677,0.09602400600150038,0.15866466616654162,0.1331582895723931,0.07501875468867217,0.0900225056264066,0.12790697674418605,1
5883,E02006020,0.12211126961483595,0.1289586305278174,0.2051355206847361,0.08958630527817403,0.1449358059914408,0.08273894436519258,0.04079885877318117,0.08017118402282454,0.10556348074179743,1
5884,E02006021,0.1461220520301483,0.17943107221006566,0.13274981765134938,0.09506442985655239,0.15657670799902748,0.0824215900802334,0.05446146365183564,0.05616338439095551,0.09700948212983224,1
5885,E02006022,0.1755868544600939,0.12769953051643193,0.17496087636932708,0.10422535211267606,0.14084507042253522,0.08294209702660407,0.046948356807511735,0.051643192488262914,0.09514866979655712,1
5886,E02006023,0.09611135660627486,0.1524524966858153,0.08815731330092798,0.09765797613787008,0.1619531595227574,0.11290322580645161,0.07490057445868316,0.09876270437472381,0.1171011931064958,1
5887,E02006024,0.07934482025101042,0.1095511593278026,0.0874282067645182,0.10253137630291427,0.15464794724526695,0.12380344607530312,0.09955328653477984,0.0982769623484365,0.14486279514996808,1
5888,E02006025,0.09608378870673953,0.16006375227686703,0.10655737704918032,0.0935792349726776,0.13046448087431695,0.1145264116575592,0.08583788706739526,0.08538251366120218,0.12750455373406194,1
5889,E02006026,0.13662790697674418,0.17616279069767443,0.09883720930232558,0.1002906976744186,0.16395348837209303,0.10552325581395348,0.051744186046511625,0.06773255813953488,0.09912790697674419,1
5890,E02006027,0.1172886519421173,0.16222391469916222,0.11538461538461539,0.09405940594059406,0.18888042650418888,0.0913937547600914,0.05712109672505712,0.08301599390708302,0.09063214013709063,1
5891,E02006028,0.12069334474641558,0.1637063984592339,0.11020757543334046,0.10635566017547614,0.1759041301091376,0.10143376845709394,0.06612454526000427,0.06077466295741494,0.09479991440188316,1
5892,E02006029,0.06453305351521511,0.0742392444910808,0.07686253934942287,0.09024134312696747,0.1547743966421826,0.12959076600209862,0.1282791185729276,0.10571878279118573,0.1757607555089192,1
5893,E02006030,0.07165437302423604,0.10221285563751317,0.09035827186512119,0.0987881981032666,0.1535827186512118,0.10985247629083246,0.12723919915700738,0.09220231822971549,0.1541095890410959,1
5894,E02006031,0.08985435694890151,0.1843989138484325,0.1086151567514194,0.09874105159219945,0.11429276721797087,0.11528017773389286,0.09898790422117995,0.07109355714638362,0.11873611453961985,1
5895,E02006032,0.07566024268379729,0.12157982393528433,0.09731144420651916,0.09754936949797763,0.13894837021175352,0.1310968355936236,0.10992148465381871,0.08541517963359505,0.14251724958363074,1
5896,E02006033,0.13472095150960658,0.2282708142726441,0.13563586459286367,0.10315645013723697,0.0878316559926807,0.0818847209515096,0.07456541628545288,0.045516925892040254,0.10841720036596524,1
5897,E02006034,0.09916589434661724,0.2560240963855422,0.12557924003707135,0.11839666357738647,0.09059314179796107,0.10333642261353104,0.07414272474513438,0.04796107506950881,0.08480074142724744,1
