,GEOGRAPHY_CODE,All usual residents aged 16+,Divorced or formerly in a same-sex civil partnership which is now legally dissolved,In a registered same-sex civil partnership,Married,Separated (but still legally married or still legally in a same-sex civil partnership),Single (never married or never registered a same-sex civil partnership),Widowed or surviving partner from a same-sex civil partnership
6699,E02006842,4280.0,0.08130841121495327,0.0032710280373831778,0.3836448598130841,0.02546728971962617,0.43878504672897195,0.06752336448598131
6700,E02006843,8955.0,0.017085427135678392,0.0008933556672250139,0.07426018983807929,0.008486878838637633,0.8958123953098828,0.003461753210496929
6701,E02006844,8106.0,0.024919812484579324,0.0013570194917345176,0.10140636565507032,0.01468048359240069,0.846780162842339,0.01085615593387614
6702,E02006845,6147.0,0.11696762648446396,0.0009760858955588092,0.4823491133886449,0.03253619651862697,0.3092565479095494,0.05791442980315601
6703,E02006846,5103.0,0.12051734273956496,0.0023515579071134627,0.4315108759553204,0.04409171075837742,0.3750734861845973,0.026455026455026454
6704,E02006847,6722.0,0.08925914906277893,0.0041654269562630165,0.5318357631657245,0.035554894376673606,0.32653972032133294,0.012645046117227016
6705,E02006848,5134.0,0.09738994935722634,0.004479937670432412,0.417802882742501,0.04596805609661083,0.4189715621347877,0.01538761199844176
6706,E02006849,6639.0,0.09609881006175629,0.004066877541798464,0.5704172315107697,0.030426269016418137,0.280614550384094,0.018376261485163428
6707,E02006850,9302.0,0.038486347022145775,0.0018275639647387658,0.1034186196516878,0.01687809073317566,0.8229413029456031,0.016448075682648892
6708,E02006851,5785.0,0.0449438202247191,0.0024200518582541053,0.11132238547968885,0.02247191011235955,0.812618841832325,0.006222990492653414
6709,E02006852,11081.0,0.04367836837830521,0.0032488042595433626,0.29618265499503654,0.013987907228589478,0.6046385705261258,0.038263694612399604
6710,E02006853,5790.0,0.05837651122625216,0.008808290155440414,0.3333333333333333,0.03367875647668394,0.5400690846286701,0.025734024179620035
6711,E02006854,5059.0,0.04526586281873888,0.009290373591618897,0.37319628385056336,0.024510772880015814,0.5372603281280885,0.010476378730974501
6712,E02006855,4966.0,0.08074909383809907,0.0012082158679017317,0.2797019734192509,0.02396294804671768,0.5636327023761579,0.05074506645187273
6713,E02006856,9389.0,0.07008201086377676,0.003940781765896261,0.25710938332090744,0.021195015443604217,0.5836617318138246,0.06401107679199063
