,GEOGRAPHY_CODE,All categories: Type of central heating in household,Average household size,Average number of bedrooms per household,Average number of rooms per household,Does have central heating,Does not have central heating,Occupancy rating (bedrooms) of -1 or less,Occupancy rating (rooms) of -1 or less
1428,E02001467,1,0.0005359056806002144,0.0007234726688102894,0.001446945337620579,0.9509646302250804,0.04903536977491962,0.02465166130760986,0.05171489817792069
1429,E02001468,1,0.0006873879258816497,0.0008965929468021519,0.0017334130304841602,0.9396294082486552,0.06037059175134489,0.021219366407650927,0.05170352659892409
1430,E02001469,1,0.0006637806637806638,0.0008658008658008658,0.0017316017316017316,0.974025974025974,0.025974025974025976,0.01616161616161616,0.03405483405483405
1431,E02001470,1,0.0007233796296296296,0.0009837962962962962,0.001880787037037037,0.9710648148148148,0.028935185185185185,0.01244212962962963,0.015335648148148149
1432,E02001471,1,0.0006664647076643442,0.0008785216601029991,0.0016964556195092396,0.9375946682823387,0.062405331717661314,0.030293850348379277,0.048167222053923056
1433,E02001472,1,0.0008083529808016167,0.0010104412260020209,0.001953519703603907,0.9673290670259347,0.03267093297406534,0.026608285618053215,0.037049511620074096
1434,E02001473,1,0.0006861575178997613,0.0008651551312649164,0.0017004773269689737,0.9409307875894988,0.05906921241050119,0.02028639618138425,0.031324582338902146
1435,E02001474,1,0.0006773399014778326,0.0008004926108374384,0.0015701970443349753,0.9393472906403941,0.060652709359605914,0.03786945812807882,0.07635467980295567
1436,E02001475,1,0.0007922218221101909,0.0009362621534029529,0.0018005041411595247,0.9711919337414476,0.028808066258552395,0.038170687792581925,0.05077421678069859
1437,E02001476,1,0.0006434630008774496,0.0007897045919859608,0.0014916642293068148,0.9458906112898509,0.05410938871014916,0.03714536414156186,0.05937408599005557
1438,E02001477,1,0.0006978155339805825,0.0008191747572815534,0.001516990291262136,0.9681432038834952,0.031856796116504854,0.03913834951456311,0.060983009708737865
1439,E02001478,1,0.0006273167949814657,0.0007984031936127744,0.001568291987453664,0.9652124322783006,0.034787567721699456,0.02480752780153978,0.029940119760479042
1440,E02001479,1,0.0009554140127388535,0.0012738853503184715,0.002547770700636943,0.9808917197452229,0.01910828025477707,0.01552547770700637,0.019904458598726114
1441,E02001480,1,0.000661455201443175,0.0009320505111244738,0.001894167167769092,0.9744437763078774,0.02555622369212267,0.01803968731208659,0.030667468430547205
1442,E02001481,1,0.0006666666666666666,0.0008695652173913044,0.0017101449275362319,0.9649275362318841,0.035072463768115944,0.01884057971014493,0.03826086956521739
1443,E02001482,1,0.00042796005706134097,0.0005230622919638612,0.0010699001426533524,0.9431764146457442,0.05682358535425582,0.03114598193057537,0.10508796956728483
1444,E02001483,1,0.0007183010618363522,0.0009056839475327919,0.0017801374141161775,0.9759525296689568,0.024047470331043097,0.01311680199875078,0.011867582760774516
1445,E02001484,1,0.000653206650831354,0.000831353919239905,0.00166270783847981,0.9738717339667459,0.026128266033254157,0.0172209026128266,0.029394299287410927
1446,E02001485,1,0.0009195402298850574,0.0011494252873563218,0.002145593869731801,0.978544061302682,0.021455938697318006,0.03793103448275862,0.043295019157088124
1447,E02001486,1,0.0004557447829215639,0.000623650755576877,0.0012712880786759414,0.9721755816742624,0.027824418325737586,0.02086831374430319,0.07555768769489087
1448,E02001487,1,0.0004859986114325388,0.0005785697755149271,0.0011571395510298543,0.9497801434853044,0.050219856514695675,0.03656560981254339,0.06827123351076139
1449,E02001488,1,0.0005724694249284413,0.0007285974499089253,0.0014571948998178506,0.9565443663804319,0.04345563361956804,0.024720270621909967,0.05438459536820193
1450,E02001489,1,0.0006412043490381935,0.0008642319487036521,0.0017005854474491217,0.9846668525229997,0.01533314747700028,0.01115137998327293,0.010036241984945637
1451,E02001490,1,0.0007244277021153289,0.0008982903506230079,0.0017386264850767893,0.9707331208345407,0.029266879165459288,0.01854534917415242,0.019704433497536946
1452,E02001491,1,0.000709448564979039,0.0008384392131570461,0.0016123831022250886,0.9616252821670429,0.03837471783295711,0.03643985811028701,0.061915511125443405
1453,E02001492,1,0.0006216445323537723,0.0008194405199208816,0.0016671376094942075,0.9725911274371292,0.02740887256287087,0.016388810398417632,0.030234529528115287
1454,E02001493,1,0.0005634558626240945,0.0006707807888382077,0.0013147303461228871,0.9618996511939898,0.038100348806010195,0.03836866112154548,0.07620069761202039
1455,E02001494,1,0.0008026755852842809,0.0011371237458193979,0.0023411371237458192,0.9889632107023412,0.011036789297658863,0.008026755852842809,0.01036789297658863
1456,E02001495,1,0.0006824925816023738,0.0008605341246290801,0.0016617210682492581,0.9626112759643917,0.037388724035608306,0.024925816023738872,0.048071216617210685
1457,E02001496,1,0.00097165991902834,0.0013360323886639676,0.002591093117408907,0.9744939271255061,0.025506072874493926,0.017408906882591092,0.025506072874493926
1458,E02001497,1,0.0006006006006006007,0.0007098007098007099,0.0013923013923013922,0.9617799617799618,0.03822003822003822,0.03003003003003003,0.05214305214305214
1459,E02001498,1,0.0007722007722007722,0.0009974259974259974,0.0019626769626769625,0.9703989703989704,0.029601029601029602,0.019626769626769628,0.024774774774774775
1460,E02001499,1,0.0007820469228153688,0.0009860591635498129,0.0020061203672220333,0.9772186331179871,0.022781366882012922,0.019041142468548114,0.015980958857531452
1461,E02001500,1,0.0007111935683364254,0.0009276437847866419,0.0018862090290661718,0.981756338899196,0.018243661100803957,0.013605442176870748,0.01948051948051948
1462,E02001501,1,0.000736422215403498,0.0009205277692543725,0.0018103712795335995,0.9736115372813746,0.026388462718625345,0.016569499846578704,0.020251610923596196
1463,E02001502,1,0.0006002728512960438,0.0007366984993178718,0.0014733969986357436,0.9683492496589359,0.03165075034106412,0.019918144611186902,0.0286493860845839
1464,E02001503,1,0.0006406523005241701,0.0008153756552125801,0.00168899242865463,0.9831100757134537,0.0168899242865463,0.014269073966220151,0.0244612696563774
1465,E02001504,1,0.0007501630789302022,0.0010763209393346378,0.0021200260926288322,0.9866275277234181,0.013372472276581865,0.006523157208088715,0.008480104370515329
1466,E02001505,1,0.0008372770294867128,0.0010556971241354204,0.002038587550054605,0.9741536221332363,0.02584637786676374,0.028030578813250818,0.04550418638514744
1467,E02001506,1,0.0006019366657942947,0.0008898194190002617,0.0018843234755299661,0.9931954985605862,0.006804501439413766,0.003925673907354096,0.007589636220884585
1468,E02001507,1,0.0007976071784646061,0.001030242605516783,0.002060485211033566,0.9857095380525092,0.014290461947490861,0.011299435028248588,0.00897308075772682
1469,E02001508,1,0.000652297220646625,0.0007941009642654566,0.001559841179807147,0.9736245036868973,0.026375496313102667,0.021554169030062395,0.032898468519568916
1470,E02001509,1,0.0008531157270029673,0.0010385756676557863,0.002040059347181009,0.9925816023738873,0.00741839762611276,0.01669139465875371,0.030415430267062313
1471,E02001510,1,0.0009065825778478518,0.0010642491131257392,0.0020890815924320062,0.9889633425305479,0.01103665746945211,0.022861647615293655,0.03508080409932992
1472,E02001511,1,0.0008604564160119715,0.0010475121586232697,0.00202020202020202,0.9932659932659933,0.006734006734006734,0.022072577628133184,0.029928918817807706
1473,E02001512,1,0.0006551518761167362,0.0008040500297796307,0.0015783204288266825,0.9874925550923168,0.012507444907683145,0.01399642644431209,0.025908278737343658
1474,E02001513,1,0.0006917293233082706,0.0008721804511278195,0.0017142857142857144,0.991578947368421,0.008421052631578947,0.01263157894736842,0.02706766917293233
1475,E02001514,1,0.000800266755585195,0.0009336445481827275,0.0017339113037679228,0.995998666222074,0.0040013337779259755,0.02900966988996332,0.04334778259419807
1476,E02001515,1,0.0006125574272588055,0.0006636038795303727,0.0012506380806533947,0.9951505870342011,0.004849412965798877,0.039816232771822356,0.05334354262378765
1477,E02001516,1,0.0009531374106433677,0.0010722795869737888,0.0020651310563939637,0.9956314535345512,0.004368546465448769,0.027005559968228753,0.04527402700555997
1478,E02001517,1,0.0006670533642691415,0.0007830626450116009,0.0015081206496519721,0.9968097447795824,0.0031902552204176333,0.021751740139211138,0.04031322505800464
