,GEOGRAPHY_CODE,All categories: Living arrangements,Living in a couple,Living in a couple: Cohabiting,Living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
38,E02000040,5425.0,0.5323502304147465,0.07557603686635944,0.4567741935483871,0.46764976958525345,0.06101382488479263,0.02433179723502304,0.028202764976958526,0.2910599078341014,0.06304147465437789
39,E02000041,6854.0,0.5344324482054275,0.047417566384592935,0.4870148818208345,0.4655675517945725,0.05908958272541581,0.02888824044353662,0.02028012839217975,0.29967901955062737,0.05763058068281295
40,E02000042,8640.0,0.5224537037037037,0.10648148148148148,0.41597222222222224,0.4775462962962963,0.06111111111111111,0.029282407407407406,0.024189814814814813,0.30995370370370373,0.053009259259259256
41,E02000043,5908.0,0.6333784698713608,0.07210561949898443,0.5612728503723764,0.36662153012863913,0.03943805010155721,0.022173324306025727,0.013033175355450236,0.24052132701421802,0.05145565335138795
42,E02000044,6117.0,0.48226254700016347,0.07879679581494196,0.4034657511852215,0.5177374529998365,0.0716037273173124,0.03351316004577407,0.03367663887526565,0.33202550269740067,0.046918424064083704
43,E02000045,8058.0,0.4676098287416232,0.11094564408041697,0.35666418466120625,0.5323901712583767,0.06999255398361877,0.020600645321419708,0.03052866716306776,0.36808140977910153,0.04318689501116903
44,E02000046,5846.0,0.50838179952104,0.10810810810810811,0.4002736914129319,0.49161820047896,0.05183031132398221,0.027882312692439275,0.020868970236058843,0.35169346561751624,0.03934314060896339
45,E02000047,8526.0,0.47443115177105327,0.08010790523105794,0.3943232465399953,0.5255688482289468,0.0720150129017124,0.0390570021111893,0.035772929861599814,0.32922824302134646,0.049495660333098754
46,E02000048,7697.0,0.5732103416915681,0.08236975444978563,0.49084058724178253,0.42678965830843185,0.05547615954267897,0.02507470443029752,0.023775496946862415,0.2684162660776926,0.05404703131090035
47,E02000049,6025.0,0.4219087136929461,0.08863070539419086,0.3332780082987552,0.578091286307054,0.08547717842323652,0.03933609958506224,0.046141078838174275,0.36647302904564316,0.04066390041493776
48,E02000050,7971.0,0.4979299962363568,0.10350018818216034,0.3944298080541965,0.5020700037636432,0.06398193451260821,0.024965499937272612,0.02559277380504328,0.3373478860870656,0.050181909421653494
49,E02000051,7037.0,0.5184027284354128,0.0693477334091232,0.4490549950262896,0.4815972715645872,0.05925820662214012,0.0346738667045616,0.01662640329685946,0.29870683529913317,0.07233195964189285
50,E02000052,8015.0,0.49656893325015594,0.1437305053025577,0.35283842794759823,0.5034310667498441,0.06475358702432939,0.01784154709918902,0.022707423580786028,0.3523393636930755,0.04578914535246413
51,E02000053,6709.0,0.47920703532568193,0.0863019824116858,0.39290505291399613,0.5207929646743181,0.051870621553137576,0.04724996273662245,0.0284692204501416,0.3532568191980921,0.03994634073632434
