,GEOGRAPHY_CODE,All categories: Religion,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Other religion,Religion not stated,Sikh
10,E02000011,1,0.0010449320794148381,0.7485196795541623,0.005050505050505051,0.004528039010797631,0.018286311389759665,0.1422849181469871,0.0022640195053988156,0.06792058516196448,0.010101010101010102
11,E02000012,1,0.002835538752362949,0.7511477180664327,0.019038617337294086,0.007426411018093438,0.03213610586011342,0.10977585741290845,0.0008101539292465569,0.05671077504725898,0.020118822576289493
12,E02000013,1,0.0014488935721812435,0.7195732349841939,0.0017123287671232876,0.001975763962065332,0.015674394099051633,0.16240779768177027,0.0026343519494204425,0.09338777660695469,0.0011854583772391992
13,E02000014,1,0.0018093407214746127,0.7194391043763428,0.002035508311658939,0.001922424516566776,0.01198688227976931,0.1589958158995816,0.0022616759018432657,0.0986090693203664,0.0029401786723962458
14,E02000015,1,0.0007446016381236039,0.6877140729709605,0.005956813104988831,0.002680565897244974,0.023678332092330605,0.1821295606850335,0.003276247207743857,0.09188384214445272,0.00193596425912137
15,E02000016,1,0.007177871148459383,0.5232843137254902,0.030287114845938375,0.0031512605042016808,0.19782913165266106,0.1211484593837535,0.004201680672268907,0.08420868347338936,0.028711484593837534
16,E02000017,1,0.004359313077939234,0.5369881109643329,0.03936591809775429,0.003038309114927345,0.18361955085865259,0.095112285336856,0.0018494055482166448,0.07331571994715984,0.06235138705416116
17,E02000018,1,0.0017605633802816902,0.7174972914409534,0.004198266522210184,0.0016251354279523294,0.026950162513542795,0.15912784398699892,0.001218851570964247,0.08504875406283857,0.0025731310942578548
18,E02000019,1,0.001884760366182014,0.7038233710285406,0.0022886375875067312,0.0012116316639741518,0.0210016155088853,0.16128163704900378,0.0020193861066235864,0.10285406569736133,0.0036348949919224557
19,E02000020,1,0.002493074792243767,0.6695290858725762,0.027562326869806093,0.0015235457063711912,0.05152354570637119,0.1265927977839335,0.0015235457063711912,0.096398891966759,0.022853185595567867
20,E02000021,1,0.0010770059235325794,0.7145934302638665,0.014404954227248249,0.0036348949919224557,0.03257942918686053,0.13691437802907916,0.0008077544426494346,0.07929456112008616,0.01669359181475498
21,E02000022,1,0.0019342359767891683,0.533204384268214,0.013862024500322373,0.0017730496453900709,0.14474532559638942,0.1642488716956802,0.0011283043197936814,0.1342682140554481,0.004835589941972921
22,E02000023,1,0.0026278906797477224,0.6469866853538893,0.007182901191310442,0.002452697967764541,0.04677645409950946,0.19236159775753328,0.002452697967764541,0.09355290819901892,0.005606166783461808
23,E02000024,1,0.004976739153954344,0.6583360380828736,0.020880666450286703,0.04305961267986584,0.02001514659742508,0.16498972195174727,0.006491398896462187,0.07995239640809261,0.0012982797792924375
24,E02000025,1,0.006167169662773914,0.605957223461488,0.02624327516074006,0.0446135677732581,0.029261251804225168,0.19236320692822464,0.0076105497966146175,0.0863403752788348,0.0014433801338407032
25,E02000026,1,0.005511428108283352,0.6180904522613065,0.04052520667855406,0.07440427946182525,0.03825579510455503,0.12854595558437348,0.007618738855568163,0.08542713567839195,0.0016210082671421625
26,E02000027,1,0.006280604641260379,0.6470087289759421,0.032467532467532464,0.020438577815626996,0.04598680008516074,0.1477538854588035,0.005003193527783692,0.09388971684053651,0.00117096018735363
27,E02000028,1,0.005911859548548907,0.5802579720530275,0.043353636689358654,0.08061626657112146,0.03511286277319957,0.14045145109279827,0.013436044428520243,0.09781440343962737,0.003045503403797922
28,E02000029,1,0.005723204994797087,0.6304630593132154,0.0382414151925078,0.0418834547346514,0.032518210197710715,0.17702913631633715,0.007154006243496358,0.06620707596253902,0.0007804370447450572
29,E02000030,1,0.005746491325008288,0.5390650900652005,0.03525251408995469,0.16896894684495525,0.046082440048624156,0.10642059896121119,0.01049839761299591,0.08387667145540943,0.0040888495966405125
30,E02000031,1,0.009550173010380622,0.5730103806228374,0.04166089965397924,0.12705882352941175,0.03695501730103806,0.1098961937716263,0.009550173010380622,0.088719723183391,0.0035986159169550174
31,E02000032,1,0.00853876876463297,0.5460680347059633,0.0670706514254235,0.09723178625533672,0.08841757333700592,0.09172290318137998,0.010053711609971079,0.08690263049166781,0.003993940228618648
32,E02000033,1,0.005535304441744296,0.6419603078169299,0.05251788848386661,0.035371945457000134,0.044417442959362764,0.1275820170109356,0.009450519778587822,0.08073444039422169,0.002430133657351154
33,E02000034,1,0.005276705276705276,0.6051480051480052,0.05624195624195624,0.05868725868725869,0.04543114543114543,0.12496782496782496,0.011583011583011582,0.0906048906048906,0.002059202059202059
34,E02000035,1,0.028394563315839054,0.45821558336697615,0.0608262683353519,0.13362939039160274,0.055712555510698425,0.1465482438433589,0.014399138743103217,0.09769882922890594,0.004575427264163639
35,E02000036,1,0.008783998306699122,0.4435389988358556,0.08455921261509154,0.19853952799238014,0.061382156841993864,0.09101492221399089,0.015345539210498466,0.09281405439729072,0.0040215895861995974
36,E02000037,1,0.005898720089037284,0.23183082915971062,0.0915971062882582,0.42815804117974404,0.04040066777963272,0.05798553144129104,0.020701168614357262,0.11997774067890929,0.0034501947690595437
37,E02000038,1,0.009580703336339045,0.5600766456266907,0.08059062218214608,0.05759693417493237,0.050834084761045985,0.14190712353471596,0.00912984670874662,0.08397204688908927,0.0063119927862939585
