,GEOGRAPHY_CODE,All households,No adults in employment - with dependent children,No adults in employment - without dependent children,With dependent children - aged 0 to 4,With dependent children - all ages,With one or more people with a limiting long-term illness
76,E02000077,1,0.029288702928870293,0.2733612273361227,0.1401673640167364,0.3577405857740586,0.3082287308228731
77,E02000078,1,0.023600809170600135,0.24612272420768713,0.11328388401888065,0.3209710047201618,0.2737693863789616
78,E02000079,1,0.02520478890989288,0.30907372400756145,0.10396975425330812,0.2655954631379962,0.2989918084436043
79,E02000080,1,0.033637400228050174,0.30843785632839227,0.11801596351197263,0.31927023945267957,0.306442417331813
80,E02000081,1,0.0324254215304799,0.33138780804150453,0.08722438391699092,0.26491569390402075,0.32717250324254216
81,E02000082,1,0.02034101106790308,0.2725097218067604,0.1295243793000299,0.3457971881543524,0.29943164822016155
82,E02000083,1,0.049419389684039965,0.28679449095328113,0.12152308938698353,0.307048339184445,0.325411828247367
83,E02000084,1,0.022091310751104567,0.29013254786450665,0.10112911143838979,0.30387825233186055,0.2933235149729995
84,E02000085,1,0.02661343978709248,0.2691284098469727,0.1300731869594145,0.34331337325349304,0.2857618097139055
85,E02000086,1,0.018964259664478483,0.2312180889861415,0.12107950401167031,0.3570386579139314,0.24434719183078046
86,E02000087,1,0.015399737876802096,0.33224115334207077,0.09043250327653997,0.24803407601572738,0.28473132372214943
87,E02000088,1,0.014802065404475043,0.2819277108433735,0.11187607573149742,0.31015490533562823,0.2974182444061962
88,E02000089,1,0.020745428973277073,0.28727144866385373,0.11884669479606189,0.32946554149085794,0.29957805907172996
89,E02000090,1,0.0224748810153358,0.34452670544685354,0.08672659968270756,0.21417239555790588,0.2953463775780011
90,E02000091,1,0.024777483762328602,0.3687755592975704,0.07938417127736348,0.22756795766177532,0.30382487370700023
91,E02000092,1,0.0746987951807229,0.342570281124498,0.10321285140562249,0.2895582329317269,0.3674698795180723
92,E02000093,1,0.056854074542008845,0.21983575489576754,0.14024005053695515,0.4077700568540745,0.34238787113076435
93,E02000094,1,0.06356413166855845,0.21263715474839198,0.15058645478622776,0.3961407491486947,0.31290200529701095
94,E02000095,1,0.0641998734977862,0.23529411764705882,0.12776723592662872,0.3741302972802024,0.3545224541429475
