,GEOGRAPHY_CODE,All categories: Tenure,Other,Owned outright,Owned with a mortgage or loan,Rented from a housing association/registered social landlord,Rented from a private landlord or letting agency,Rented from council(local authority),Shared ownership
837,E02000838,1,0.023290534487906838,0.19349059420722603,0.3568229322185727,0.10779337115556882,0.15198566736339206,0.15825619587936698,0.008360704687966557
838,E02000839,1,0.02607640994542147,0.25833838690115224,0.28441479684657367,0.028198908429351122,0.12795633717404487,0.2613705275924803,0.01364463311097635
839,E02000840,1,0.019949335022165927,0.103863204559848,0.337555414819506,0.09658011399620013,0.038632045598480054,0.39360354654844837,0.009816339455351488
840,E02000841,1,0.012753433616742969,0.1236102027468934,0.3655984303466318,0.013734466971877043,0.038260300850228905,0.43623283191628515,0.009810333551340745
841,E02000842,1,0.014716187806587245,0.3770147161878066,0.5224246671338473,0.015767344078486335,0.04905395935529082,0.018220042046250877,0.002803083391730904
842,E02000843,1,0.014234875444839857,0.19306049822064056,0.5142348754448398,0.01601423487544484,0.09460260972716489,0.1562870699881376,0.011565836298932384
843,E02000844,1,0.013201320132013201,0.22574257425742575,0.47854785478547857,0.050165016501650166,0.050825082508250824,0.17557755775577558,0.005940594059405941
844,E02000845,1,0.014542936288088643,0.2912049861495845,0.5602493074792244,0.014542936288088643,0.0817174515235457,0.03254847645429363,0.005193905817174515
845,E02000846,1,0.014068441064638783,0.3365019011406844,0.5159695817490494,0.03688212927756654,0.05095057034220532,0.04144486692015209,0.004182509505703422
846,E02000847,1,0.013223626212165737,0.3937702027622686,0.5019100793417572,0.04260946223920071,0.03908316191595651,0.005583308845136644,0.003820158683514546
847,E02000848,1,0.01355206847360913,0.36126961483594866,0.5659771754636234,0.003566333808844508,0.04743223965763196,0.006419400855920114,0.001783166904422254
848,E02000849,1,0.0135001646361541,0.2518933157721436,0.4787619361211722,0.06124464932499177,0.08725716167270332,0.09153770167928878,0.015805070793546264
849,E02000850,1,0.014289295562797694,0.28027074454750567,0.5597894209074956,0.022812735021308598,0.04988718977187265,0.06718475808473301,0.005765856104286789
850,E02000851,1,0.023439557545430603,0.23413220963918882,0.3587042401896234,0.04424545693968923,0.1308928101132473,0.20410850671582828,0.004477218856992362
851,E02000852,1,0.011082963901203294,0.2802406586447118,0.5208993033565548,0.039582013932868906,0.11272957568081064,0.03071564281190627,0.004749841671944269
852,E02000853,1,0.01357751815598358,0.23839595832017682,0.5333122829175876,0.024313230186296178,0.09188506473002842,0.09093779602147142,0.007578149668455952
853,E02000854,1,0.01949182039679777,0.3170901496693352,0.4552732335537765,0.04698920988513749,0.11207796728158718,0.047337278106508875,0.001740341106856944
854,E02000855,1,0.018051771117166212,0.40463215258855584,0.45061307901907355,0.0034059945504087193,0.08480926430517712,0.036103542234332424,0.0023841961852861036
855,E02000856,1,0.019201920192019203,0.2796279627962796,0.48364836483648366,0.052505250525052505,0.1326132613261326,0.0288028802880288,0.0036003600360036
856,E02000857,1,0.022049915192633874,0.2769566270898958,0.39883692755027866,0.05379210079961231,0.2166222437606009,0.02834989096195784,0.003392294645020596
857,E02000858,1,0.016523673339688592,0.13377820146170957,0.21766761995551318,0.15284397839211947,0.04861773117254528,0.4258023514458214,0.004766444232602479
858,E02000859,1,0.016647531572904706,0.34959816303099883,0.41561423650975887,0.08926521239954076,0.06859931113662457,0.057692307692307696,0.0025832376578645237
859,E02000860,1,0.02685390490268539,0.21088938162108894,0.3397388519339739,0.11899482631189948,0.20546932742054694,0.09583641290958364,0.0022172949002217295
860,E02000861,1,0.010046645138141371,0.4155005382131324,0.49587369931826336,0.0032292787944025836,0.04198062432723358,0.03229278794402583,0.001076426264800861
861,E02000862,1,0.012313674659753726,0.4128321451717434,0.4883344134802333,0.007453013609850939,0.06999351911860013,0.004212572909915748,0.004860661049902786
862,E02000863,1,0.017977528089887642,0.33662921348314606,0.5006741573033708,0.005842696629213483,0.029662921348314608,0.10157303370786516,0.007640449438202248
863,E02000864,1,0.02659176029962547,0.06441947565543071,0.14681647940074907,0.18127340823970037,0.07191011235955057,0.49700374531835206,0.01198501872659176
864,E02000865,1,0.027219430485762145,0.051926298157453935,0.15159128978224456,0.20896147403685092,0.11976549413735343,0.41708542713567837,0.023450586264656615
865,E02000866,1,0.025179856115107913,0.13219424460431656,0.2709832134292566,0.11930455635491606,0.16247002398081534,0.27697841726618705,0.01288968824940048
866,E02000867,1,0.022935779816513763,0.09288990825688073,0.2855504587155963,0.1265290519877676,0.17087155963302753,0.2824923547400612,0.018730886850152905
867,E02000868,1,0.026351049575703438,0.08664582402858419,0.23358642251004913,0.09915140687807057,0.15364001786511836,0.39303260384100047,0.007592675301473872
868,E02000869,1,0.029505582137161084,0.08094098883572567,0.17145135566188197,0.16307814992025518,0.13955342902711323,0.4062998405103668,0.009170653907496013
869,E02000870,1,0.022922636103151862,0.08022922636103152,0.1887024150634466,0.20712239050347933,0.11584117887842817,0.3618501841997544,0.023331968890708144
870,E02000871,1,0.033073929961089495,0.05603112840466926,0.10116731517509728,0.20505836575875486,0.0669260700389105,0.5081712062256809,0.029571984435797664
871,E02000872,1,0.025373810602628003,0.060262800181241506,0.1708201178069778,0.09243316719528773,0.11146352514725873,0.5224286361576801,0.017217942908926143
872,E02000873,1,0.031521242576518956,0.08451347647327546,0.1407035175879397,0.0918227501142074,0.09547738693467336,0.5331201461854728,0.02284148012791229
873,E02000874,1,0.0294811320754717,0.05188679245283019,0.14465408805031446,0.16627358490566038,0.10141509433962265,0.49488993710691825,0.01139937106918239
874,E02000875,1,0.02666666666666667,0.04596491228070176,0.13859649122807016,0.263859649122807,0.09228070175438596,0.4242105263157895,0.008421052631578947
875,E02000876,1,0.028056112224448898,0.0625250501002004,0.23887775551102206,0.156312625250501,0.17274549098196393,0.324248496993988,0.017234468937875752
876,E02000877,1,0.03332222592469177,0.06464511829390203,0.14428523825391537,0.16261246251249584,0.11229590136621126,0.47384205264911694,0.008997000999666778
877,E02000878,1,0.035422343324250684,0.069141689373297,0.20912806539509537,0.1784741144414169,0.19243869209809264,0.3072207084468665,0.008174386920980926
878,E02000879,1,0.029208301306687164,0.101076095311299,0.1706379707916987,0.15872405841660261,0.10299769408147579,0.43082244427363564,0.0065334358186010764
879,E02000880,1,0.04424778761061947,0.07743362831858407,0.16061946902654867,0.13495575221238937,0.1561946902654867,0.40707964601769914,0.019469026548672566
880,E02000881,1,0.027052681537731372,0.07308970099667775,0.1703844328429046,0.17750355956336022,0.06691979117228286,0.4703369719981016,0.014712861888941622
881,E02000882,1,0.02825979176995538,0.06147744174516609,0.11452652454139811,0.22359940505701537,0.08230044620723848,0.4739712444224095,0.015865146256817054
882,E02000883,1,0.02736750651607298,0.06993918331885317,0.11902693310165074,0.19287576020851432,0.06689834926151172,0.5156385751520417,0.008253692441355343
883,E02000884,1,0.03748197981739548,0.05526189332051898,0.16962998558385392,0.21095627102354636,0.2811148486304661,0.2296972609322441,0.01585776069197501
884,E02000885,1,0.026416906820365033,0.05571565802113353,0.11335254562920269,0.2612872238232469,0.08981748318924111,0.42843419788664744,0.024975984630163303
