,GEOGRAPHY_CODE,All categories: NS-SeC,Full-time students,Higher professional occupations,Intermediate occupations,Large employers and higher managerial and administrative occupations,Long-term unemployed,"Lower managerial, administrative and professional occupations",Lower supervisory and technical occupations,Never worked,Not classifiable for other reasons,Routine occupations,Semi-routine occupations,Small employers and own account workers
5136,E02005137,3376.0,0.06240126382306477,0.01263823064770932,0.06556082148499211,0.011058451816745656,0.028041074249605058,0.12322274881516587,0.08609794628751975,0.0424565560821485,0.21603475513428122,0.12164296998420222,0.16488941548183253,0.06595576619273301
5137,E02005138,3564.6666666666665,0.058724518421544795,0.022816532635122497,0.07518234524032168,0.019824200486253975,0.01757995137460258,0.15167383579577332,0.07462128296240883,0.031045446044510944,0.25079483822704324,0.08733869459510006,0.1389564241630821,0.07144193005423602
5138,E02005139,3700.0,0.03891891891891892,0.03063063063063063,0.07261261261261262,0.024684684684684682,0.008288288288288289,0.17027027027027028,0.06126126126126126,0.02216216216216216,0.3335135135135135,0.051531531531531526,0.10270270270270271,0.08342342342342343
5139,E02005140,3314.6666666666665,0.052695092518101366,0.04243765084473049,0.08789219629927594,0.026347546259050683,0.007441673370876911,0.1993161705551086,0.06194690265486726,0.018101367658889783,0.24839098954143204,0.05832662912308931,0.11001609010458568,0.08708769106999197
5140,E02005141,3144.6666666666665,0.07313970744117024,0.04791180835276659,0.079499682001272,0.024803900784396864,0.011023955904176383,0.20648717405130382,0.05766376934492263,0.012083951664193343,0.21666313334746662,0.05278778884884461,0.1165995336018656,0.10133559465762138
5141,E02005142,3345.3333333333335,0.055799123156636106,0.02869669190912714,0.0813072937425269,0.01753686727779992,0.010362694300518133,0.1520526106018334,0.09107214029493822,0.014946193702670385,0.23714627341570346,0.09824631327222001,0.14029493822239936,0.07253886010362694
5142,E02005143,3538.0,0.054644808743169404,0.026191822121726025,0.084039947239495,0.015451290748068587,0.01394384774825702,0.16619559072922555,0.09760693423779913,0.0248728094968909,0.19238741285095157,0.10344827586206896,0.1520633126059921,0.06915394761635575
5143,E02005144,3621.3333333333335,0.05762150220913107,0.014175257731958763,0.06001472754050074,0.00902061855670103,0.02319587628865979,0.10364506627393225,0.09609720176730485,0.042157584683357875,0.2277245949926362,0.14212076583210603,0.1754418262150221,0.04878497790868924
5144,E02005145,2824.0,0.04296506137865911,0.04107648725212465,0.08356940509915015,0.03541076487252125,0.0084985835694051,0.20018885741265346,0.06751652502360718,0.012747875354107648,0.21152030217186027,0.07271010387157696,0.11284230406043438,0.1109537299338999
5145,E02005146,3340.0,0.07445109780439121,0.02694610778443114,0.0784431137724551,0.014171656686626748,0.012574850299401197,0.15508982035928143,0.09720558882235529,0.03093812375249501,0.16506986027944112,0.12215568862275449,0.14830339321357286,0.07465069860279441
5146,E02005147,3490.0,0.0504297994269341,0.02999044890162369,0.061891117478510026,0.01566380133715377,0.02979942693409742,0.1562559694364852,0.06934097421203439,0.03858643744030563,0.21069723018147088,0.1125119388729704,0.13982808022922635,0.08500477554918816
5147,E02005148,3355.3333333333335,0.04987085237432943,0.0397377309755613,0.08841645142062389,0.027419034373137294,0.0065567256109676135,0.1841843830717266,0.07808464136697794,0.011921319292668387,0.24478442280945759,0.06914365189747665,0.11444466520961652,0.08543612159745678
5148,E02005149,4669.333333333333,0.04525985151342091,0.05168475157053113,0.12764134780125644,0.042689891490576816,0.004283266704740149,0.22672758423757855,0.07609937178754997,0.009851513420902342,0.14206167904054828,0.08295259851513422,0.10593946316390634,0.08480868075385495
5149,E02005150,4423.333333333333,0.042351168048229096,0.023360964581763375,0.11017332328560664,0.020195930670685758,0.006932931424265261,0.1700075357950264,0.10685757347400152,0.01778447626224567,0.15252449133383572,0.12780708364732482,0.14800301431801055,0.07400150715900528
5150,E02005151,5692.0,0.04942609510423986,0.04064183649566643,0.12907003982197235,0.03911923167018037,0.004567814476458187,0.20894823143593347,0.08842820332630592,0.01171234481143125,0.13726868118997423,0.09416725228390724,0.12344811431248535,0.07320215507144531
