,GEOGRAPHY_CODE,All people aged 16-74,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,No qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 to 74
3946,E02003947,1,0.005974773179907059,0.001549015268864793,0.011506970568709892,0.1610975879619385,0.21110865235671608,0.0798849302943129,0.1843328169949104,0.08099136977207347,0.2825846426200487,0.03452091170612968,0.019030759017481743
3947,E02003948,1,0.008501040943789036,0.0019083969465648854,0.01179736294240111,0.1734906315058987,0.22085357390700902,0.07251908396946564,0.12647467036780013,0.08344899375433727,0.32321304649548926,0.033310201249132546,0.02220680083275503
3948,E02003949,1,0.0066310160427807486,0.001711229946524064,0.01304812834224599,0.16171122994652407,0.2192513368983957,0.07229946524064171,0.18609625668449198,0.07037433155080214,0.2902673796791444,0.025454545454545455,0.0213903743315508
3949,E02003950,1,0.009076348104644954,0.001601708489054992,0.011478910838227442,0.15883609183128672,0.23171382808328883,0.07154297917778964,0.18419647624132407,0.08435664709022958,0.26935397757608115,0.0392418579818473,0.02215696743192739
3950,E02003951,1,0.004128639721860061,0.0010864841373315949,0.009995654063450673,0.1510212950890917,0.21599304650152107,0.06497175141242938,0.17492394611038678,0.09756627553237723,0.2955236853541938,0.029117774880486745,0.015210777922642329
3951,E02003952,1,0.007383100902378999,0.0018457752255947497,0.012920426579163249,0.18601312551271534,0.23543888433141918,0.08039376538146022,0.1175143560295324,0.09495488105004102,0.2856849876948318,0.025840853158326498,0.022149302707136997
3952,E02003953,1,0.006797466398887687,0.0006179514908079716,0.00911478448941758,0.17920593233431176,0.21427467943766415,0.07523559400587054,0.11710180750811061,0.08666769658581801,0.3275142901282249,0.02672640197744477,0.016530202379113238
3953,E02003954,1,0.010031919744642043,0.002279981760145919,0.014135886912904697,0.17031463748290013,0.23848609211126312,0.084359325125399,0.14249886000911993,0.08686730506155951,0.2774737802097583,0.024623803009575923,0.026447788417692658
3954,E02003955,1,0.006702412868632708,0.0014894250819183796,0.013106940720881739,0.19645516830503426,0.23518022043491213,0.06940720881739648,0.10068513553768245,0.0938337801608579,0.3044384867441168,0.028001191540065536,0.021298778671432827
3955,E02003956,1,0.005713030103274006,0.0008789277081960009,0.0065919578114700065,0.1955614150736102,0.2017139090309822,0.053175126345858054,0.07602724675895407,0.08261920457042408,0.3909030982201714,0.02702702702702703,0.013183915622940013
