,GEOGRAPHY_CODE,1. Managers and senior officials,2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,6. Personal service occupations,7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,All categories: Occupation
6592,E02006593,0.15800089645898702,0.12976243836844464,0.14881219184222325,0.1530703720304796,0.09861048857014791,0.07216494845360825,0.07709547288211566,0.053339309726580006,0.10914388166741373,2974.6666666666665
6593,E02006594,0.16762655350106093,0.12246135192482568,0.14277053652622004,0.15550166717187025,0.09608972415883602,0.07668990603213094,0.08063049408911792,0.054258866323128215,0.10397090027280993,2199.3333333333335
6594,E02006595,0.2209019713745612,0.17175263300027005,0.15635970834458549,0.14798811774237106,0.09370780448285175,0.06859303267620849,0.05428031325951931,0.02484472049689441,0.06157169862273833,2468.6666666666665
6595,E02006596,0.21096950386891214,0.10650887573964496,0.15862539827036867,0.15430131998179333,0.09854346836595357,0.06713700500682748,0.07646791078743741,0.05484751934456076,0.07259899863450159,2929.3333333333335
6596,E02006597,0.18951102102862932,0.10919685837344817,0.14897390423106155,0.13199898657208003,0.13149227261211047,0.06612617177603243,0.06283253103623004,0.05675196351659488,0.103116290853813,2631.3333333333335
6597,E02006598,0.21219868517165813,0.12381300219138057,0.1669101533966399,0.11431701972242513,0.12636961285609935,0.07596785975164354,0.059167275383491605,0.04967129291453616,0.07158509861212564,1825.3333333333333
6598,E02006599,0.25871886120996446,0.1409252669039146,0.16298932384341636,0.14768683274021355,0.08861209964412811,0.06405693950177936,0.04946619217081851,0.02491103202846975,0.06263345195729537,1873.3333333333333
6599,E02006600,0.2002724795640327,0.10572207084468667,0.1337874659400545,0.12588555858310627,0.14168937329700274,0.07193460490463216,0.05885558583106267,0.05313351498637602,0.10871934604904633,2446.6666666666665
6600,E02006601,0.20902341519131926,0.12193032552826957,0.13820673900628214,0.11936036550542549,0.12421473443746431,0.08223872073101085,0.062250142775556835,0.054825813820673905,0.08794974300399773,2334.6666666666665
6601,E02006602,0.2243971631205674,0.12425531914893617,0.13787234042553193,0.12198581560283689,0.12056737588652482,0.07205673758865248,0.058439716312056744,0.05702127659574468,0.08340425531914894,2350.0
6602,E02006603,0.2002433090024331,0.15985401459854015,0.14063260340632602,0.12384428223844282,0.10510948905109489,0.08126520681265206,0.06496350364963503,0.044282238442822384,0.07980535279805352,2740.0
6603,E02006604,0.17339581831290557,0.10183850036049027,0.14762076423936554,0.14347512617159336,0.11661860129776495,0.08345349675558761,0.07137707281903388,0.062184571016582556,0.10003604902667629,3698.6666666666665
6604,E02006605,0.21739130434782608,0.12128146453089246,0.15429879045439687,0.14351095129127167,0.09382151029748284,0.08401438378555084,0.06309251389342922,0.04413206930369402,0.07845701209545604,2039.3333333333333
6605,E02006606,0.19163446237781315,0.1227551716299159,0.1566265060240964,0.1632189133894067,0.0911570811548079,0.07729029324846556,0.07774494203228006,0.040691066151398045,0.07888156399181633,2932.6666666666665
6606,E02006607,0.1990599944705557,0.13878905170030412,0.16477743986729332,0.16422449543820844,0.08321813657727398,0.07050041470832182,0.0732651368537462,0.03981199889411114,0.06635333149018523,2411.3333333333335
6607,E02006608,0.2042231326820044,0.11566341002206112,0.14686416640403405,0.1512763945792625,0.09549322407815947,0.07217144658052316,0.08257169870784745,0.05263157894736842,0.07910494799873936,2115.3333333333335
6608,E02006609,0.20581257413997628,0.14590747330960854,0.15599051008303677,0.11654804270462633,0.11684460260972718,0.08362989323843416,0.048339264531435354,0.04062870699881376,0.08629893238434164,2248.0
