,GEOGRAPHY_CODE,All females aged 16-74 in employment,All males aged 16-74 in employment,Female - Mean hours worked,Females - Full-time - 31 to 37 hours,Females - Full-time - 38 to 48 hours,Females - Full-time - 49 or more hours,Females - Part-time - 1 to 5 hours,Females - Part-time - 16 to 30 hours,Females - Part-time - 6 to 15 hours,Male - Mean hours worked,Males - Full-time - 31 to 37 hours,Males - Full-time - 38 to 48 hours,Males - Full-time - 49 or more hours,Males - Part-time - 1 to 5 hours,Males - Part-time - 16 to 30 hours,Males - Part-time - 6 to 15 hours
2879,E02002880,0.8555718475073314,1364.0,28.44,0.1810850439882698,0.1942815249266862,0.024926686217008796,0.016129032258064516,0.33284457478005863,0.1063049853372434,41.15,0.16715542521994134,0.5865102639296188,0.16495601173020527,0.005131964809384164,0.05791788856304985,0.018328445747800588
2880,E02002881,0.8643410852713178,1032.0,29.56,0.2054263565891473,0.22093023255813954,0.029069767441860465,0.014534883720930232,0.2858527131782946,0.10852713178294573,40.62,0.18023255813953487,0.5474806201550387,0.17344961240310078,0.0029069767441860465,0.06589147286821706,0.030038759689922482
2881,E02002882,0.8921337729627885,2123.0,34.52,0.22091380122468204,0.3207724917569477,0.08996702779086199,0.018370230805463968,0.16721620348563354,0.07489401789919925,41.14,0.19689119170984457,0.4682053697597739,0.2242110221384833,0.00706547338671691,0.0706547338671691,0.03297220913801225
2882,E02002883,0.9084073820915927,1463.0,33.28,0.2693096377306904,0.31510594668489406,0.04921394395078606,0.00888585099111415,0.19275461380724537,0.07313738892686261,41.51,0.1797676008202324,0.5413533834586466,0.19617224880382775,0.003417634996582365,0.06015037593984962,0.019138755980861243
2883,E02002884,0.7276295133437991,1274.0,31.78,0.19544740973312402,0.206436420722135,0.047880690737833596,0.015698587127158554,0.18288854003139718,0.07927786499215071,37.52,0.22527472527472528,0.4654631083202512,0.1185243328100471,0.008634222919937205,0.13814756671899528,0.04395604395604396
2884,E02002885,0.7010309278350515,1358.0,31.12,0.18998527245949925,0.20176730486008837,0.030191458026509573,0.01914580265095729,0.18851251840942562,0.07142857142857142,37.71,0.187039764359352,0.48159057437407954,0.12665684830633284,0.008100147275405008,0.14506627393225333,0.05154639175257732
2885,E02002886,0.8096714197148172,1613.0,31.4,0.226906385616863,0.20582765034097955,0.04339739615623062,0.012399256044637322,0.226906385616863,0.09423434593924365,40.42,0.19528828270303783,0.5009299442033478,0.1859888406695598,0.0043397396156230625,0.07873527588344699,0.0347179169249845
2886,E02002887,0.8157894736842105,1064.0,31.34,0.21710526315789475,0.23966165413533835,0.03195488721804511,0.015037593984962405,0.22556390977443608,0.08646616541353383,40.76,0.18139097744360902,0.5319548872180451,0.18515037593984962,0.004699248120300752,0.05921052631578947,0.03759398496240601
2887,E02002888,0.8962450592885376,1012.0,29.79,0.2134387351778656,0.208498023715415,0.042490118577075096,0.022727272727272728,0.3231225296442688,0.08596837944664032,39.63,0.23023715415019763,0.5335968379446641,0.12944664031620554,0.003952569169960474,0.07608695652173914,0.0266798418972332
2888,E02002889,0.7841860465116279,1075.0,30.18,0.17674418604651163,0.22511627906976744,0.04930232558139535,0.02883720930232558,0.17767441860465116,0.12651162790697673,36.76,0.17116279069767443,0.4502325581395349,0.14511627906976743,0.01581395348837209,0.11906976744186047,0.0986046511627907
2889,E02002890,0.751937984496124,1161.0,31.83,0.19121447028423771,0.2136089577950043,0.05512489233419466,0.012919896640826873,0.18518518518518517,0.09388458225667529,39.38,0.20930232558139536,0.5116279069767442,0.14125753660637383,0.007751937984496124,0.08871662360034453,0.041343669250646
2890,E02002891,0.8704028021015762,1713.0,29.73,0.2031523642732049,0.22650321074138938,0.03269118505545826,0.014594279042615295,0.2778750729713952,0.11558669001751314,41.12,0.17688266199649738,0.5329830706363106,0.19439579684763572,0.0017513134851138354,0.06538237011091652,0.028604786923525978
