,GEOGRAPHY_CODE,All household spaces - with no residents - second residence/holiday accommodation,All household spaces - with no residents - vacant,All household spaces - with residents,Caravan or other mobile or temporary structure,"Flat, maisonette or apartment - in a commercial building","Flat, maisonette or apartment - in a purpose built block of flats or tenement","Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",Whole house or bungalow - detatched,Whole house or bungalow - semi-detatched,Whole house or bungalow - terraced
5807,E02005808,0.12734823017599367,0.046667984971326876,5057.0,0.002372948388372553,0.024520466679849712,0.09452244413684002,0.09214949574846747,0.35436029266363456,0.39727110935337157,0.20881945817678466
5808,E02005809,0.0022292993630573248,0.022929936305732482,3140.0,0.0009554140127388535,0.01178343949044586,0.07738853503184713,0.01178343949044586,0.2773885350318471,0.39872611464968155,0.24777070063694268
5809,E02005810,0.01256198347107438,0.04132231404958678,3025.0,0.003966942148760331,0.00859504132231405,0.01487603305785124,0.007272727272727273,0.5927272727272728,0.2694214876033058,0.15702479338842976
5810,E02005811,0.00481637567730283,0.02588801926550271,3322.0,0.001806140878988561,0.0039133052378085495,0.015653220951234198,0.004214328717639976,0.5313064419024683,0.3747742323901264,0.09903672486453943
5811,E02005812,0.002173913043478261,0.02608695652173913,3220.0,0.0009316770186335404,0.009316770186335404,0.06366459627329192,0.0037267080745341614,0.41770186335403725,0.384472049689441,0.1484472049689441
5812,E02005813,0.003785011355034065,0.06257885440322988,3963.0,0.0,0.018420388594499116,0.1274287156194802,0.026495079485238455,0.08503658844309867,0.33257633106232654,0.4759020943729498
5813,E02005814,0.0027100271002710027,0.023615950445218737,2583.0,0.003097173828881146,0.0023228803716608595,0.03484320557491289,0.013550135501355014,0.24312814556716997,0.59465737514518,0.13472706155632985
5814,E02005815,0.000992063492063492,0.01984126984126984,3024.0,0.003968253968253968,0.0026455026455026454,0.013558201058201057,0.0013227513227513227,0.5701058201058201,0.3855820105820106,0.04332010582010582
5815,E02005816,0.0030292830696735107,0.03635139683608213,2971.0,0.004039044092898014,0.006731740154830024,0.00841467519353753,0.0030292830696735107,0.5257489060922248,0.4082800403904409,0.0831369909121508
5816,E02005817,0.0010873504893077202,0.028271112722000724,2759.0,0.009786154403769481,0.003986951794128307,0.05871692642261689,0.002899601304820587,0.48278361725262775,0.33744110184849585,0.13374411018484958
5817,E02005818,0.002827854365500177,0.03464121597737717,2829.0,0.00671615411806292,0.005302226935312832,0.019088016967126194,0.003181336161187699,0.5334040296924708,0.33828207847295866,0.13149522799575822
5818,E02005819,0.0,0.04504854368932039,2575.0,0.0,0.003883495145631068,0.03572815533980583,0.013980582524271845,0.3541747572815534,0.3693203883495146,0.2683495145631068
5819,E02005820,0.0012087026591458502,0.024576954069298954,2482.0,0.009669621273166801,0.0040290088638195,0.017727639000805803,0.004431909750201451,0.39161966156325545,0.4564867042707494,0.14141821112006447
5820,E02005821,0.0023790642347343376,0.07414750198255353,2522.0,0.0,0.010309278350515464,0.12252180808881839,0.016653449643140365,0.2006344171292625,0.4940523394131642,0.23195876288659795
5821,E02005822,0.0040650406504065045,0.06039488966318235,3444.0,0.0011614401858304297,0.02148664343786295,0.07171893147502903,0.021196283391405342,0.16318234610917537,0.42044134727061555,0.36527293844367015
5822,E02005823,0.0,0.041203400915631135,3058.0,0.0,0.014715500327011119,0.17789404839764553,0.017004578155657292,0.09287115761935906,0.565402223675605,0.17266187050359713
5823,E02005824,0.0014108352144469526,0.02737020316027088,3544.0,0.0,0.005925507900677201,0.02708803611738149,0.007336343115124154,0.3637133182844244,0.3964446952595937,0.22827313769751692
5824,E02005825,0.000980392156862745,0.04281045751633987,3060.0,0.000980392156862745,0.00261437908496732,0.06241830065359477,0.00849673202614379,0.25359477124183005,0.5905228758169935,0.12516339869281046
