,GEOGRAPHY_CODE,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Not answered,Other religion,Sikh,Total: All usual residents
1548,E02001614,0.001363884342607747,0.5177304964539007,0.002364066193853428,0.0006364793598836152,0.0071831242044008,0.4134388070558283,0.05319148936170213,0.0034551736679396252,0.0006364793598836152,10998.0
1549,E02001615,0.004204035874439462,0.5507286995515696,0.0012612107623318385,0.0009809417040358745,0.007006726457399103,0.37542040358744394,0.05170964125560538,0.0033632286995515697,0.005325112107623318,7136.0
1550,E02001616,0.0013732491073880802,0.4707497940126339,0.0006866245536940401,0.0005492996429552321,0.013320516341664378,0.4572919527602307,0.05012359241966493,0.0035704476792090085,0.0023345234825597363,7282.0
1551,E02001617,0.002029083530605343,0.3780858978694623,0.003212715590125127,0.0,0.06898884004058167,0.4873182279337166,0.05258708150152181,0.005410889414947582,0.0023672641190395673,5914.0
1552,E02001618,0.002147239263803681,0.47811860940695294,0.0018404907975460123,0.0011247443762781187,0.005316973415132925,0.45531697341513294,0.05112474437627812,0.004601226993865031,0.00040899795501022495,9780.0
1553,E02001619,0.002064896755162242,0.39085545722713866,0.003343166175024582,9.832841691248771e-05,0.025860373647984266,0.5198623402163225,0.05191740412979351,0.0035398230088495575,0.0024582104228121925,10170.0
1554,E02001620,0.0018576736210345814,0.3533866819091169,0.016576164618462418,0.00042869391254644185,0.13489568448128036,0.4332666476136039,0.05501571877679337,0.004144041154615604,0.00042869391254644185,6998.0
1555,E02001621,0.0033030553261767133,0.3699421965317919,0.005615194054500413,0.000990916597853014,0.10421139554087532,0.4639141205615194,0.04558216350123864,0.003633360858794385,0.0028075970272502066,6055.0
1556,E02001622,0.005757307351638618,0.3984720992028344,0.002325066430469442,0.00033215234720992027,0.03454384410983171,0.5004428697962799,0.04816209034543844,0.006643046944198406,0.003321523472099203,9032.0
1557,E02001623,0.002082312591866732,0.32753552180303774,0.004409603135717786,0.0007349338559529642,0.35681038706516416,0.2502449779519843,0.05463008329250368,0.0026947574718275357,0.0008574228319451249,8164.0
1558,E02001624,0.00385686736661667,0.40947075208913647,0.003321191343475466,0.0009642168416541675,0.15256053139061496,0.3672594814656096,0.05603171202056996,0.004392543389757874,0.002142704092564817,9334.0
1559,E02001625,0.0031605562579013905,0.37711757269279395,0.0021491782553729457,0.0011378002528445006,0.07939317319848294,0.4754740834386852,0.057395701643489255,0.0035398230088495575,0.0006321112515802782,7910.0
1560,E02001626,0.004123711340206186,0.4269759450171821,0.0012027491408934709,0.000859106529209622,0.013402061855670102,0.4896907216494845,0.05807560137457045,0.004467353951890034,0.0012027491408934709,5820.0
1561,E02001627,0.003490691489361702,0.3951130319148936,0.002160904255319149,0.0013297872340425532,0.0355718085106383,0.5098071808510638,0.049035904255319146,0.003324468085106383,0.00016622340425531914,6016.0
1562,E02001628,0.0012294452128477024,0.26540648532349775,0.006608268019056401,0.0009220839096357768,0.5712309820193637,0.09743353311818043,0.05363454741048102,0.002305209774089442,0.0012294452128477024,6507.0
1563,E02001629,0.001530221882172915,0.372149961744453,0.004131599081866871,0.000306044376434583,0.24422341239479725,0.313389441469013,0.05814843152257077,0.004437643458301454,0.0016832440703902067,6535.0
1564,E02001630,0.0006484383443207608,0.27277639684426674,0.004755214525018913,0.0005403652869339674,0.5339889765481466,0.12277099319139738,0.06225008105479304,0.0011888036312547282,0.0010807305738679347,9253.0
1565,E02001631,0.005816259087904825,0.42194315928618636,0.0007931262392597488,0.0010575016523463319,0.010707204230006609,0.5049570389953735,0.05142101784534038,0.003040317250495704,0.00026437541308658297,7565.0
1566,E02001632,0.0026688232915487264,0.29179134654266076,0.005984634047715326,0.00048524059846340476,0.5059441973311767,0.12955923978972908,0.059522846744844315,0.003234937323089365,0.0008087343307723412,12365.0
1567,E02001633,0.003413417355914402,0.49284495208087176,0.0002625705658395694,0.0005251411316791387,0.006958119994748589,0.4356045687278456,0.05724038335302613,0.0024944203754759093,0.0006564264145989234,7617.0
1568,E02001634,0.005650969529085873,0.3509141274238227,0.002437673130193906,0.000997229916897507,0.028254847645429362,0.547590027700831,0.05562326869806094,0.008310249307479225,0.00022160664819944597,9025.0
1569,E02001635,0.0021512493794472944,0.4502730431904683,0.0028131722654310774,0.0011583650504716201,0.017209995035578355,0.45805063710077776,0.06222075128247559,0.0057918252523581,0.00033096144299189144,6043.0
1570,E02001636,0.008857112367943657,0.3011418205100843,0.008536975776331234,0.0011738341692455448,0.2599509123892861,0.34350656280012803,0.06701525984420019,0.008110126987514673,0.001707395155266247,9371.0
