,GEOGRAPHY_CODE,1 person disabled under the Equality Act in household,2 or more people disabled under the Equality Act in household,No people disabled under the Equality Act in household,Total: All households
901,E02000953,0.1448146994705699,0.030520087200249145,0.824665213329181,1
902,E02000954,0.19768477292965272,0.053428317008014245,0.748886910062333,1
903,E02000955,0.2171150971599402,0.06203288490284006,0.7208520179372198,1
904,E02000956,0.21287128712871287,0.051815181518151815,0.7353135313531353,1
905,E02000957,0.20113122171945702,0.040271493212669686,0.7585972850678733,1
906,E02000958,0.22538593481989708,0.06037735849056604,0.7142367066895369,1
907,E02000959,0.21295103092783504,0.04896907216494845,0.7380798969072165,1
908,E02000960,0.1678648454349389,0.03055355859094177,0.8015815959741194,1
909,E02000961,0.20329400196656833,0.043510324483775814,0.7531956735496559,1
910,E02000962,0.18636599274235355,0.035510627268014516,0.7781233799896319,1
911,E02000963,0.28609431680773884,0.07666263603385731,0.6372430471584039,1
912,E02000964,0.24878686076894363,0.05692422545726017,0.6942889137737962,1
913,E02000965,0.17614577581446714,0.030922142462727776,0.792932081722805,1
914,E02000966,0.16139240506329114,0.03870496592015579,0.7999026290165531,1
915,E02000967,0.1353682813536828,0.02023888520238885,0.8443928334439283,1
916,E02000968,0.32615275057860066,0.09239807726544419,0.5814491721559552,1
917,E02000969,0.2818719741796665,0.06589564281871974,0.6522323830016138,1
918,E02000970,0.1268992684299381,0.027011817670230726,0.8460889138998312,1
919,E02000971,0.1539494895217625,0.02203116603976357,0.8240193444384739,1
920,E02000972,0.1898942420681551,0.0282021151586369,0.781903642773208,1
921,E02000973,0.1909526787575568,0.029393370856785492,0.7796539503856577,1
922,E02000974,0.1745792514443607,0.026877668927405174,0.7985430796282341,1
923,E02000975,0.1286503551696922,0.019994738226782424,0.8513549066035254,1
924,E02000976,0.16931845167418666,0.025884587983851817,0.8047969603419616,1
925,E02000977,0.1586608442503639,0.018631732168850074,0.8227074235807861,1
926,E02000978,0.10781476121562952,0.015195369030390739,0.8769898697539797,1
927,E02000979,0.19052470708099847,0.025725929699439633,0.7837493632195619,1
928,E02000980,0.2291329479768786,0.04485549132947977,0.7260115606936416,1
929,E02000981,0.1736829444310801,0.03006976184748617,0.7962472937214338,1
930,E02000982,0.22782834850455136,0.035110533159947985,0.7370611183355007,1
931,E02000983,0.2339632685653447,0.04631354804365185,0.7197231833910035,1
932,E02000984,0.1912039925140362,0.05146600124766064,0.7573300062383032,1
933,E02000985,0.2514746972989755,0.06581806892269482,0.6827072337783298,1
934,E02000986,0.2470523718124486,0.054839594187003016,0.6981080340005484,1
935,E02000987,0.31367447239086443,0.07950274645851402,0.6068227811506216,1
936,E02000988,0.29285714285714287,0.07142857142857142,0.6357142857142857,1
937,E02000989,0.25854700854700857,0.06704059829059829,0.6744123931623932,1
938,E02000990,0.23116531165311652,0.05989159891598916,0.7089430894308943,1
939,E02000991,0.2603076923076923,0.05415384615384616,0.6855384615384615,1
940,E02000992,0.24891304347826088,0.06376811594202898,0.6873188405797102,1
941,E02000993,0.3035041992470316,0.09093541847668694,0.6055603822762815,1
942,E02000994,0.31444075972264096,0.07416340066324993,0.6113958396141091,1
943,E02000995,0.27307242990654207,0.07359813084112149,0.6533294392523364,1
944,E02000996,0.34476641040804257,0.10555884092253105,0.5496747486694263,1
945,E02000997,0.27783902976846747,0.06909224549797868,0.6530687247335538,1
946,E02000998,0.2595894111291194,0.07347379794705565,0.666936790923825,1
947,E02000999,0.3546079779917469,0.06629986244841815,0.579092159559835,1
948,E02001000,0.2915129151291513,0.07306273062730627,0.6354243542435425,1
949,E02001001,0.2527267061389841,0.06575257089435961,0.6815207229666563,1
