,GEOGRAPHY_CODE,Arrived in the UK,Arrived in the UK: Aged 0 to 4 years,Arrived in the UK: Aged 10 to 14 years,Arrived in the UK: Aged 15 years,Arrived in the UK: Aged 16 to 17 years,Arrived in the UK: Aged 18 to 19 years,Arrived in the UK: Aged 20 to 24 years,Arrived in the UK: Aged 25 to 29 years,Arrived in the UK: Aged 30 to 44 years,Arrived in the UK: Aged 45 to 59 years,Arrived in the UK: Aged 5 to 7 years,Arrived in the UK: Aged 60 to 64 years,Arrived in the UK: Aged 65 to 74 years,Arrived in the UK: Aged 75 to 84 years,Arrived in the UK: Aged 8 to 9 years,Arrived in the UK: Aged 85 to 89 years,Arrived in the UK: Aged 90 years and over,Born in the UK,Total: All usual residents
31,E02000033,0.3474004051316678,0.031060094530722483,0.02160702228224173,0.005064145847400405,0.016430339860454647,0.020931802835921675,0.07326130992572587,0.06448345712356515,0.07461174881836596,0.012716632905694351,0.01451721809588116,0.0015755120414134593,0.0018005851901868107,0.0007877560207067297,0.008552779653387351,0.0,0.0,0.6525995948683322,1
32,E02000034,0.38663878494386966,0.03499889940567907,0.023112480739599383,0.006933744221879815,0.016839093110279552,0.028945630640545894,0.07660136473695796,0.06735637244111821,0.08419546555139776,0.0162887959498129,0.015298261060972925,0.002201188641866608,0.0017609509134932863,0.0003301782962799912,0.011666299801893022,0.00011005943209333039,0.0,0.6133612150561303,1
33,E02000035,0.4667682569452585,0.042433477904114406,0.02520220372758176,0.00679873402883601,0.018051811042081818,0.026726057906458798,0.07865431954049935,0.08533583401711406,0.12132223654905638,0.026843277458680107,0.016410737310983473,0.0037510256710819364,0.004219903879967179,0.0010549759699917947,0.009963661938811394,0.0,0.0,0.5332317430547415,1
34,E02000036,0.40684748777234325,0.042152067585593596,0.024899955535793685,0.007825700311249444,0.01627389951089373,0.026411738550466874,0.0776345042240996,0.06980880391285016,0.08839484215206758,0.017785682525566917,0.017341040462427744,0.003468208092485549,0.002845709204090707,0.0011560693641618498,0.01084926634059582,0.0,0.0,0.5931525122276567,1
35,E02000037,0.369703683190252,0.046801440044309056,0.026585433397950706,0.00590787408843349,0.01735438013477338,0.02196990676636204,0.06849441521277577,0.06074033047170682,0.0697867626696206,0.018739038124249978,0.018739038124249978,0.0013846579894765993,0.0018462106526354657,0.000646173728422413,0.010523400720022155,9.231053263177328e-05,9.231053263177328e-05,0.630296316809748,1
36,E02000038,0.3950191213506203,0.034138606473276746,0.024717843484749556,0.007275440723813077,0.0171625781177129,0.024158194198302396,0.07639212760003732,0.06874358735192612,0.09084973416658894,0.01772222740416006,0.016789478593414793,0.002238597145788639,0.0034511705997574854,0.0009327488107452663,0.010166962037123403,0.00018654976214905325,9.327488107452663e-05,0.6049808786493798,1
37,E02000039,0.34910004185851823,0.0301381331100879,0.0265103948653551,0.0051625505790428355,0.01618529370726943,0.023161713408678668,0.06599693037533139,0.05888098227989396,0.07813590065578345,0.01590623691921306,0.014650481372959398,0.002232454304450956,0.002092925910422771,0.0004185851820845542,0.009487930793916561,0.00013952839402818474,0.0,0.6508999581414818,1
38,E02000040,0.37613474789456414,0.03357760034999453,0.0254839768128623,0.007437383790878268,0.02121841846221153,0.022093404790550147,0.06748332057311604,0.0720769987968938,0.08104560866236465,0.014984140872798863,0.014109154544460243,0.0025155856939735317,0.003062452149185169,0.0008749863283386198,0.009624849611724816,0.0005468664552116373,0.0,0.6238652521054359,1
39,E02000041,0.4769507295411292,0.039437513216324806,0.030450412349333898,0.0074011418904631,0.01956016071050962,0.02897018397124128,0.09494607739479806,0.0862761683231127,0.10953689997885388,0.024635229435398604,0.01702262634806513,0.00370057094523155,0.004652146331148234,0.0005286529921759357,0.00962148445760203,0.0,0.00021146119687037428,0.5230492704588708,1
40,E02000042,0.5059261181763128,0.0365083484730513,0.029673847218617527,0.005363785794618912,0.02396401072757159,0.030798511982005363,0.09767280906652824,0.08988666839692015,0.12336707327623497,0.030538973959685092,0.018340686910632408,0.0025088675490959425,0.0038065576606972924,0.0008651267410675664,0.012457825071372957,8.651267410675664e-05,8.651267410675664e-05,0.49407388182368717,1
41,E02000043,0.4266279223352265,0.047814027209087305,0.026812838462554483,0.0050191520274732535,0.017302866199973583,0.023114515915995244,0.07462686567164178,0.0655131422533351,0.10289261656320169,0.021133271694624225,0.022850350019812442,0.0027737419099194294,0.0021133271694624223,0.000660414740457007,0.013868709549597147,0.0001320829480914014,0.0,0.5733720776647735,1
42,E02000044,0.44426859597558216,0.036174542165950715,0.026904815735925843,0.007800135654533123,0.018313361971512548,0.031652724395206874,0.09495817318562062,0.07438390232873615,0.09936694551209586,0.022609088853719195,0.014921998643454669,0.0021478634411033234,0.003052226995252091,0.0006782726656115759,0.011078453538322406,0.00022609088853719196,0.0,0.5557314040244178,1
43,E02000045,0.4153758433906681,0.03725173429630334,0.022427064525325478,0.007412334885488929,0.015869999049700656,0.026228261902499286,0.0840064620355412,0.07269789983844911,0.10196711964268744,0.017200418131711488,0.014634609902119167,0.0019956286230162503,0.0024707782951629764,0.0006652095410054167,0.010548322721657321,0.0,0.0,0.584624156609332,1
44,E02000046,0.49683998850904915,0.03806377477736283,0.026716460787130136,0.005458201666187877,0.01522550991094513,0.03174375179546107,0.10700948003447286,0.09652398735995403,0.12295317437517955,0.02484918126975007,0.015512783682849756,0.0021545532892846882,0.002585463947141626,0.0002872737719046251,0.007612754955472565,0.0,0.00014363688595231256,0.5031600114909509,1
45,E02000047,0.5358554488989271,0.039283697668790835,0.03274985883681536,0.009034443817052512,0.02339275631201097,0.034524481729450676,0.09518431878680327,0.09607163023312092,0.1336613696862144,0.028716624989916915,0.01911752843429862,0.004678551262402194,0.004839880616278132,0.0010486408001935952,0.013309671694764862,0.00016132935387593774,8.066467693796887e-05,0.46414455110107283,1
46,E02000048,0.40853836429057666,0.03792667509481669,0.02674316833608869,0.007293591364387825,0.017699115044247787,0.027132159875522706,0.07468637557133133,0.07060196440727415,0.09063502868812603,0.02110279101429544,0.018379850238257316,0.0028201886608966256,0.0028201886608966256,0.0003889915394340173,0.010016532140425945,0.000291743654575513,0.0,0.5914616357094233,1
47,E02000049,0.492309153057349,0.03513102924420813,0.0325674135966578,0.007500949487276871,0.02079377136346373,0.03019369540448158,0.0984618306114698,0.09675275351310292,0.11033042157235093,0.024686669198632737,0.01775541207747816,0.00284846183061147,0.003892897835169009,0.000664641093809343,0.010634257500949488,9.494872768704899e-05,0.0,0.507690846942651,1
