,GEOGRAPHY_CODE,Occupancy rating of rooms: +1,Occupancy rating of rooms: +2 or more,Occupancy rating of rooms: -1,Occupancy rating of rooms: -2 or less,Occupancy rating of rooms: 0,Total: All households
6668,E02006925,0.24110766292671282,0.44521365481021724,0.07830031033659585,0.03843399379326808,0.196944378133206,4189.0
6669,E02006926,0.2812939521800281,0.4282700421940928,0.05555555555555555,0.011251758087201125,0.22362869198312235,2844.0
6670,E02006927,0.30554463232402673,0.29335430593786865,0.07530475815965396,0.014746362563900904,0.31104994101454975,5086.0
6671,E02006928,0.31061325232580217,0.08448832352382761,0.09417125498386178,0.017467248908296942,0.4932599202582115,5267.0
6672,E02006930,0.2588736393752958,0.31116895409370565,0.07714150496923805,0.013961192617132039,0.3388547089446285,4226.0
6673,E02006931,0.24721819061441702,0.3149492017416546,0.09046927914852443,0.015723270440251572,0.3316400580551524,4134.0
6674,E02006932,0.2831781140861467,0.09225844004656578,0.17258440046565773,0.011350407450523865,0.44062863795110596,3436.0
6675,E02006933,0.3948929584730462,0.12019602785659014,0.09930358524632447,0.002321382512251741,0.38328604591178744,3877.0
6676,E02006934,0.41216216216216217,0.04494712103407755,0.1128084606345476,0.005287896592244419,0.42479435957696826,3404.0
6677,E02006935,0.30799635147461235,0.4691395560960778,0.0328367284889024,0.005168744299179082,0.18485861964122835,3289.0
6678,E02006936,0.30569461827284106,0.5122027534418022,0.020963704630788487,0.0031289111389236545,0.15801001251564456,3196.0
6679,E02006937,0.20737441227418957,0.18782479584261322,0.17495669388765156,0.03291264538480574,0.3969314526107399,4041.0
6680,E02006938,0.13779128672745694,0.0668693009118541,0.2745694022289767,0.05673758865248227,0.46403242147923,2961.0
6681,E02006939,0.23846153846153847,0.11923076923076924,0.13698224852071006,0.022485207100591716,0.48284023668639053,3380.0
6682,E02006940,0.2526344980587909,0.12146422628951747,0.12922906267332224,0.013033832501386578,0.4836383804769828,3606.0
6683,E02006941,0.3611390284757119,0.0847571189279732,0.09547738693467336,0.005695142378559464,0.45293132328308205,2985.0
6684,E02006942,0.28953626634958385,0.07550535077288942,0.11563614744351962,0.02318668252080856,0.49613555291319855,3364.0
6685,E02006943,0.2619856549641374,0.18837297093242733,0.11551528878822197,0.05738014345035863,0.37674594186485466,2649.0
6686,E02006944,0.2734607218683652,0.28280254777070063,0.1099787685774947,0.06072186836518047,0.273036093418259,2355.0
6687,E02006945,0.3219716832721552,0.5424750917671736,0.015207131620346093,0.0013109596224436288,0.11903513371788149,3814.0
6688,E02006946,0.323026851098454,0.43897477624084624,0.03905614320585842,0.0028478437754271765,0.19609438567941415,2458.0
