,GEOGRAPHY_CODE,All other gender identities,Gender identity different from sex registered at birth but no specific identity given,Gender identity the same as sex registered at birth,Not answered,Total,Trans man,Trans woman
5986,E02006229,0.0007532956685499058,0.0003766478342749529,0.9448210922787194,0.05367231638418079,1,0.0003766478342749529,0.0
5987,E02006230,0.0003301782962799912,0.0003301782962799912,0.938366718027735,0.059432093330398415,1,0.0006603565925599824,0.0008804754567466431
5988,E02006231,0.00041597337770382697,0.0008319467554076539,0.954381586245147,0.04326123128119801,1,0.00041597337770382697,0.0006932889628397116
5989,E02006232,0.000774143603638475,0.0009676795045480937,0.9485194503580414,0.04819043932649506,1,0.0009676795045480937,0.0005806077027288562
5990,E02006233,0.0009141696292534282,0.002336211274758761,0.9263585576434739,0.06856272219400711,1,0.0009141696292534282,0.0009141696292534282
5991,E02006234,0.000376081233546446,0.0006268020559107434,0.9326814591951862,0.06518741381471731,1,0.0005014416447285947,0.0006268020559107434
5992,E02006235,0.0008635578583765112,0.0007196315486470927,0.9496257915947035,0.04778353483016695,1,0.0007196315486470927,0.0002878526194588371
5993,E02006236,0.00034075420263516583,0.00045433893684688776,0.9606996819627442,0.03793730122671513,1,0.0005679236710586097,0.0
5994,E02006237,0.0003167564143173899,0.0014254038644282547,0.9580297751029458,0.03991130820399113,1,0.0003167564143173899,0.0
5995,E02006238,0.0013571869216533004,0.002220851326341764,0.9384330660086366,0.05700185070943862,1,0.0004935225169648365,0.0004935225169648365
5996,E02006239,0.0004409171075837742,0.0008818342151675485,0.9370958259847149,0.06055261610817166,1,0.0005878894767783657,0.0004409171075837742
5997,E02006240,0.0013576894593927426,0.0012342631449024932,0.9469266847691928,0.04924709948160948,1,0.0007405578869414959,0.0004937052579609973
5998,E02006241,0.000688041832943443,0.001651300399064263,0.9230769230769231,0.07307004265859364,1,0.0009632585661208202,0.0005504334663547544
5999,E02006242,0.00047670122750566085,0.0026218567512811346,0.9494696698844,0.04612084376117268,1,0.0007150518412584912,0.000595876534382076
6000,E02006243,0.0010353306587291317,0.0036236573055519606,0.935033001164747,0.058755014882878216,1,0.0006470816617057072,0.0009059143263879902
6001,E02006245,0.00015309246785058175,0.0009185548071034905,0.9326393141457441,0.06475811390079608,1,0.0007654623392529087,0.0007654623392529087
6002,E02006246,0.0003259452411994785,0.0014667535853976532,0.9527379400260756,0.043350717079530636,1,0.001303780964797914,0.0008148631029986962
6003,E02006247,0.000560931145701865,0.004347216379189454,0.9373159444678166,0.05553218342448465,1,0.0014023278642546627,0.0008413967185527977
6004,E02006248,0.0009007656508031827,0.0016514036931391683,0.948956613121153,0.04623930340789671,1,0.001201020867737577,0.00105089325927038
6005,E02006249,0.001447178002894356,0.0053545586107091175,0.942547033285094,0.04891461649782923,1,0.000723589001447178,0.0010130246020260492
6006,E02006250,0.002341343191620456,0.009611829944547136,0.9038817005545287,0.07800369685767097,1,0.001971657424522489,0.004189772027110289
6007,E02006251,0.0030211480362537764,0.0041400917533848045,0.9192122636231398,0.06937451046212376,1,0.002685464921114468,0.0015665212039834397
6008,E02006252,0.0012924906294429364,0.002714230321830167,0.9362802119684632,0.05686958769548921,1,0.0014217396923872302,0.0014217396923872302
6009,E02006253,0.0006453694740238787,0.0017747660535656663,0.9459503065505002,0.050822846079380445,1,0.00032268473701193933,0.000484027105517909
6010,E02006254,0.0005368406925244934,0.0080526103878674,0.8935713327070192,0.09327607032613072,1,0.00281841363575359,0.0017447322507046035
6011,E02006255,0.0025070048665388586,0.0016221796195251437,0.9265595044978616,0.06798407314555376,1,0.0008848252470137148,0.0004424126235068574
6012,E02006256,0.002701312065860561,0.005659891947517366,0.9225623874453306,0.06586056084383844,1,0.0015436068947774634,0.0016722408026755853
6013,E02006257,0.0,0.0018318373328448433,0.9309397325517494,0.06576296024912988,1,0.000549551199853453,0.0009159186664224216
6014,E02006258,0.0009320905459387483,0.004260985352862849,0.9390146471371504,0.05392809587217044,1,0.0010652463382157123,0.0007989347536617843
6015,E02006259,0.0007016312927556569,0.003157340817400456,0.9384318540606911,0.05630591124364147,1,0.0008770391159445711,0.0005262234695667427
6016,E02006260,0.0007349698662354843,0.0019109216522122593,0.9310598265471116,0.06408937233573424,1,0.0014699397324709686,0.0007349698662354843
6017,E02006261,0.0005857372968223752,0.0002928686484111876,0.9469907746375751,0.051544882120369014,1,0.00043930297261678136,0.0001464343242055938
6018,E02006262,0.000916350307631889,0.0007854431208273334,0.9547061133656237,0.042937557271894224,1,0.00013090718680455556,0.0005236287472182222
6019,E02006263,0.0006187161639597834,0.0007733952049497294,0.9436968290796597,0.054137664346481054,1,0.0003093580819798917,0.0004640371229698376
6020,E02006264,0.0004084411164057182,0.0006807351940095302,0.9643294758339006,0.03390061266167461,1,0.0005445881552076242,0.00013614703880190606
6021,E02006265,0.0,0.0009613843935266784,0.952251241788175,0.046466912353789455,1,0.0,0.0003204614645088928
6022,E02006266,0.00024993751562109475,0.0006248437890527368,0.9568857785553612,0.041614596350912275,1,0.00024993751562109475,0.00037490627343164207
6023,E02006267,0.0014126289023873428,0.0004237886707162029,0.9557847153552762,0.04181381551066535,1,0.0005650515609549371,0.0
6024,E02006268,0.000588235294117647,0.0013725490196078432,0.9327450980392157,0.06411764705882353,1,0.000196078431372549,0.000980392156862745
6025,E02006269,0.00046569388388699164,0.0010866190624029804,0.946289972058367,0.05060540204905309,1,0.000776156473144986,0.000776156473144986
6026,E02006270,0.0010604453870625664,0.0007712330087727754,0.9554612937433722,0.041646582473729876,1,0.0003856165043863877,0.0006748288826761785
6027,E02006271,0.0006045218232378189,0.0007254261878853826,0.9541772457985733,0.043404666908475394,1,0.0004836174585902551,0.0006045218232378189
6028,E02006272,0.000613685179502915,0.0003068425897514575,0.957042037434796,0.04081006443694385,1,0.0007671064743786437,0.00046026388462718626
6029,E02006273,0.0005180452426178552,0.0012087722327749958,0.9450872042825074,0.053013296494560526,1,0.0,0.0001726817475392851
6030,E02006274,0.00036101083032490973,0.001263537906137184,0.9566787003610109,0.0407942238267148,1,0.00036101083032490973,0.0005415162454873646
6031,E02006275,0.0005355230274901821,0.0012495537308104248,0.9362727597286683,0.06051410210639058,1,0.0008925383791503035,0.0005355230274901821
6032,E02006276,0.0005862523816503004,0.0011725047633006009,0.9488494797010113,0.048219258390737214,1,0.00043968928623772536,0.0007328154770628756
