,GEOGRAPHY_CODE,Number of households
1004,E02001059,4799.0
1005,E02001061,4322.0
1006,E02001062,3570.0
1007,E02001063,3464.0
1008,E02001064,3909.0
1009,E02001065,3844.0
1010,E02001066,3448.0
1011,E02001067,4121.0
1012,E02001068,4121.0
1013,E02001069,4303.0
1014,E02001070,3141.0
1015,E02001072,3899.0
1016,E02001073,3986.0
1017,E02001074,4226.0
1018,E02001075,3451.0
1019,E02001076,2797.0
1020,E02001077,3043.0
1021,E02001078,3800.0
1022,E02001079,3444.0
1023,E02001080,3427.0
1024,E02001081,2800.0
1025,E02001082,2900.0
1026,E02001083,4076.0
1027,E02001084,3331.0
1028,E02001085,3202.0
1029,E02001086,2952.0
1030,E02001087,4334.0
1031,E02001088,3784.0
1032,E02001089,3202.0
1033,E02001090,3138.0
1034,E02001091,3882.0
1035,E02001092,3853.0
1036,E02001093,3919.0
1037,E02001094,3943.0
1038,E02001095,3740.0
1039,E02001096,3425.0
1040,E02001097,3527.0
1041,E02001098,2729.0
1042,E02001099,2652.0
1043,E02001100,2590.0
1044,E02001101,2451.0
1045,E02001102,2527.0
1046,E02001103,2428.0
1047,E02001104,2843.0
1048,E02001105,2675.0
1049,E02001106,2744.0
1050,E02001107,2559.0
1051,E02001108,2356.0
1052,E02001109,3362.0
1053,E02001110,2859.0
1054,E02001111,3436.0
1055,E02001112,2451.0
1056,E02001113,2512.0
1057,E02001114,3494.0
1058,E02001115,2605.0
1059,E02001116,2387.0
1060,E02001117,2623.0
1061,E02001118,2626.0
1062,E02001119,2871.0
1063,E02001121,2466.0
1064,E02001123,2788.0
1065,E02001124,2807.0
1066,E02001125,3336.0
1067,E02001126,3363.0
1068,E02001127,2942.0
1069,E02001128,3283.0
1070,E02001129,3066.0
1071,E02001130,2587.0
1072,E02001131,2308.0
1073,E02001132,3055.0
1074,E02001133,2736.0
1075,E02001134,2653.0
1076,E02001135,3198.0
1077,E02001136,3738.0
1078,E02001137,2612.0
1079,E02001138,3645.0
1080,E02001139,3247.0
1081,E02001140,3048.0
1082,E02001141,4583.0
1083,E02001142,2429.0
1084,E02001143,4047.0
1085,E02001144,2860.0
1086,E02001145,3078.0
1087,E02001146,3084.0
1088,E02001147,4139.0
1089,E02001148,4384.0
1090,E02001149,4815.0
1091,E02001150,3695.0
1092,E02001151,4187.0
1093,E02001152,4130.0
1094,E02001153,4935.0
1095,E02001154,4383.0
1096,E02001155,3447.0
1097,E02001156,4096.0
1098,E02001157,3466.0
1099,E02001158,2724.0
1100,E02001159,3258.0
1101,E02001160,2864.0
1102,E02001161,2664.0
1103,E02001162,2687.0
1104,E02001163,4423.0
1105,E02001164,2842.0
1106,E02001165,2662.0
1107,E02001166,2383.0
1108,E02001167,2809.0
1109,E02001168,4220.0
1110,E02001169,4453.0
1111,E02001170,4144.0
1112,E02001171,2554.0
1113,E02001173,3571.0
1114,E02001174,2339.0
1115,E02001175,3076.0
1116,E02001176,5473.0
1117,E02001177,5817.0
1118,E02001179,3172.0
1119,E02001180,2542.0
1120,E02001181,2633.0
1121,E02001182,3327.0
1122,E02001183,3187.0
1123,E02001185,4088.0
1124,E02001186,4478.0
1125,E02001187,3081.0
1126,E02001188,3829.0
1127,E02001189,3594.0
1128,E02001190,3485.0
1129,E02001191,2631.0
1130,E02001192,2857.0
1131,E02001193,3014.0
1132,E02001194,2655.0
1133,E02001195,3266.0
1134,E02001196,3422.0
1135,E02001197,2623.0
1136,E02001198,3348.0
1137,E02001199,3402.0
1138,E02001200,4086.0
1139,E02001201,2461.0
1140,E02001202,3182.0
1141,E02001203,2456.0
1142,E02001204,3784.0
1143,E02001205,3971.0
1144,E02001206,3100.0
1145,E02001207,2939.0
