,GEOGRAPHY_CODE,All persons,Female,Male
2118,E02002384,1,0.621867881548975,0.37813211845102507
2119,E02002385,1,0.532258064516129,0.46774193548387094
2120,E02002386,1,0.3333333333333333,0.6666666666666666
2121,E02002387,1,0.0,1.0
2122,E02002388,1,0.5714285714285714,0.42857142857142855
2123,E02002389,1,0.18181818181818182,0.8181818181818182
2124,E02002390,1,1.0,0.0
2125,E02002392,1,0.6690442225392297,0.3309557774607703
2126,E02002393,1,0.6538461538461539,0.34615384615384615
2127,E02002394,1,0.42857142857142855,0.5714285714285714
2128,E02002395,1,0.55,0.45
2129,E02002396,1,0.6666666666666666,0.3333333333333333
2130,E02002397,1,1.0,0.0
2131,E02002398,1,1.0,0.0
2132,E02002399,1,0.4444444444444444,0.5555555555555556
2133,E02002400,1,0.3793103448275862,0.6206896551724138
2134,E02002401,1,0.5454545454545454,0.45454545454545453
2135,E02002402,1,0.5,0.5
2136,E02002403,1,0.75,0.25
2137,E02002404,1,0.72,0.28
2138,E02002405,1,1.0,0.0
2139,E02002407,1,1.0,0.0
2140,E02002409,1,0.75,0.25
2141,E02002410,1,0.75,0.25
2142,E02002411,1,0.4528301886792453,0.5471698113207547
2143,E02002412,1,0.8,0.2
2144,E02002414,1,0.631578947368421,0.3684210526315789
2145,E02002415,1,0.5757575757575758,0.42424242424242425
2146,E02002416,1,0.0,1.0
2147,E02002418,1,0.5,0.5
2148,E02002419,1,0.5714285714285714,0.42857142857142855
2149,E02002420,1,0.42857142857142855,0.5714285714285714
2150,E02002421,1,0.75,0.25
2151,E02002422,1,0.6,0.4
2152,E02002423,1,1.0,0.0
2153,E02002424,1,1.0,0.0
2154,E02002426,1,0.3,0.7
2155,E02002428,1,0.5714285714285714,0.42857142857142855
2156,E02002429,1,0.2727272727272727,0.7272727272727273
2157,E02002430,1,0.4444444444444444,0.5555555555555556
2158,E02002431,1,0.0,1.0
2159,E02002432,1,0.0,1.0
2160,E02002433,1,1.0,0.0
2161,E02002434,1,0.6666666666666666,0.3333333333333333
2162,E02002435,1,0.5,0.5
2163,E02002436,1,1.0,0.0
2164,E02002439,1,0.42857142857142855,0.5714285714285714
2165,E02002441,1,0.3333333333333333,0.6666666666666666
2166,E02002442,1,1.0,0.0
2167,E02002444,1,1.0,0.0
2168,E02002445,1,0.42857142857142855,0.5714285714285714
2169,E02002446,1,1.0,0.0
2170,E02002447,1,1.0,0.0
2171,E02002448,1,0.6666666666666666,0.3333333333333333
2172,E02002449,1,0.0,1.0
2173,E02002450,1,0.42857142857142855,0.5714285714285714
2174,E02002451,1,0.5714285714285714,0.42857142857142855
2175,E02002452,1,1.0,0.0
2176,E02002453,1,0.46153846153846156,0.5384615384615384
2177,E02002454,1,0.40476190476190477,0.5952380952380952
2178,E02002455,1,0.0,1.0
2179,E02002456,1,0.4722222222222222,0.5277777777777778
2180,E02002457,1,0.5,0.5
2181,E02002459,1,0.7142857142857143,0.2857142857142857
2182,E02002460,1,1.0,0.0
2183,E02002462,1,0.25,0.75
2184,E02002463,1,1.0,0.0
2185,E02002464,1,0.0,1.0
2186,E02002465,1,0.5714285714285714,0.42857142857142855
2187,E02002467,1,0.5454545454545454,0.45454545454545453
2188,E02002468,1,1.0,0.0
2189,E02002470,1,1.0,0.0
2190,E02002471,1,0.21212121212121213,0.7878787878787878
2191,E02002473,1,0.0,1.0
2192,E02002474,1,0.5,0.5
2193,E02002477,1,0.5,0.5
2194,E02002479,1,0.0,1.0
2195,E02002480,1,0.8,0.2
2196,E02002481,1,0.6666666666666666,0.3333333333333333
2197,E02002482,1,1.0,0.0
