,GEOGRAPHY_CODE,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household,Total: All households
103,E02000107,0.34342044933516735,0.2677670793214122,0.16139385602934433,0.11095827602017423,0.05960568546538285,0.027510316368638238,0.011691884456671253,0.017652453003209535,1
104,E02000108,0.1917326297273527,0.22955145118733508,0.19129287598944592,0.18601583113456466,0.09234828496042216,0.05980650835532102,0.023306948109058926,0.025945470536499562,1
105,E02000110,0.29993535875888816,0.2656755009696186,0.16806722689075632,0.14059469941822883,0.07045895281189399,0.024886877828054297,0.01906916612798966,0.011312217194570135,1
106,E02000111,0.18546365914786966,0.20050125313283207,0.18233082706766918,0.18201754385964913,0.1105889724310777,0.05701754385964912,0.02662907268170426,0.05545112781954887,1
107,E02000112,0.18564073226544622,0.2528604118993135,0.17906178489702518,0.153604118993135,0.08781464530892448,0.058066361556064074,0.036613272311212815,0.04633867276887872,1
108,E02000113,0.2550865472213787,0.24627998785302155,0.18281202550865472,0.12784694807166716,0.08745824476161555,0.055876100819921046,0.02399028241724871,0.02064986334649256,1
109,E02000114,0.3358510925276504,0.3164283787429188,0.14836795252225518,0.11087132452117615,0.048017264634475317,0.019692473698408416,0.008632317237658484,0.012139196115457242,1
110,E02000115,0.38360402165506574,0.3044599123485434,0.14952307295694767,0.10002577984016499,0.04202113946893529,0.013405516885795308,0.0028357824181490074,0.0041247744263985565,1
111,E02000116,0.2935185185185185,0.2595679012345679,0.19012345679012346,0.1367283950617284,0.06666666666666667,0.026851851851851852,0.013271604938271606,0.013271604938271606,1
112,E02000117,0.33851649506198783,0.21622189535616726,0.1720949779365413,0.13805421306997268,0.06640050430762766,0.03130909855011557,0.017860895146039085,0.019541920571548646,1
113,E02000118,0.1916376306620209,0.2039911308203991,0.1789673740893253,0.15299334811529933,0.10547988596769084,0.07158694963573012,0.030408615774469433,0.06493506493506493,1
114,E02000119,0.3174803946369846,0.2428535289653428,0.17809258790791804,0.1323045788009107,0.0665317480394637,0.032633442954717935,0.01366051100430053,0.016443207690361752,1
115,E02000120,0.40032987747408105,0.31856738925541944,0.1286522148916117,0.0999057492931197,0.0322808671065033,0.011310084825636193,0.004476908576814326,0.004476908576814326,1
116,E02000121,0.20264681555004135,0.221119382409705,0.1838985387372484,0.1662531017369727,0.0931899641577061,0.04935208161014613,0.02729528535980149,0.05624483043837883,1
117,E02000122,0.29958873774122113,0.25877886744701045,0.18380259411578614,0.14900347991142043,0.0677000949066751,0.02341031319202784,0.009807023093957609,0.007908889591901298,1
118,E02000123,0.33832821808990793,0.26069687669254377,0.17837154721068785,0.1270987542877776,0.054883552987903955,0.024372630438707348,0.009568514172233256,0.00667990612023831,1
