,GEOGRAPHY_CODE,A caravan or other mobile or temporary structure,Detached,"In a commercial building, for example, in an office building, hotel or over a shop",In a purpose-built block of flats or tenement,"Part of a converted or shared house, including bedsits","Part of another converted building, for example, former school, church or warehouse",Semi-detached,Terraced,Total
3475,E02003632,0.0,0.17365506329113925,0.007911392405063292,0.10363924050632911,0.022151898734177215,0.002768987341772152,0.4509493670886076,0.2389240506329114,1
3476,E02003633,0.00024813895781637717,0.18238213399503722,0.006947890818858561,0.11885856079404467,0.004218362282878412,0.001488833746898263,0.47146401985111663,0.2143920595533499,1
3477,E02003635,0.0035460992907801418,0.39361702127659576,0.002026342451874367,0.05369807497467072,0.0022796352583586625,0.0005065856129685917,0.3713272543059777,0.17299898682877407,1
3478,E02003636,0.0006642311524410495,0.3264696114247758,0.004317502490866822,0.020591165725672534,0.002656924609764198,0.0016605778811026237,0.44370640983062104,0.19993357688475588,1
3479,E02003637,0.007254590795737928,0.3922013148945817,0.005667649059170256,0.03717977782815688,0.004760825209703015,0.0029471775107685334,0.33688506007708,0.21310360462480163,1
3480,E02003638,0.0009810333551340746,0.3757357750163506,0.001962066710268149,0.0487246566383257,0.002616088947024199,0.0003270111183780249,0.3302812295618051,0.2393721386527142,1
3481,E02003639,0.0006888633754305396,0.1285878300803674,0.018828932261768083,0.25970149253731345,0.02870264064293915,0.014006888633754305,0.2546498277841561,0.29483352468427093,1
3482,E02003640,0.0011169024571854058,0.268801191362621,0.005584512285927029,0.1723752792256143,0.01675353685778109,0.01340282948622487,0.2680565897244974,0.2539091586001489,1
3483,E02003641,0.0,0.3745503597122302,0.0013489208633093526,0.10566546762589928,0.003147482014388489,0.0022482014388489208,0.2868705035971223,0.22616906474820145,1
3484,E02003642,0.001128668171557562,0.058972911963882615,0.0028216704288939053,0.09255079006772009,0.004796839729119639,0.0008465011286681715,0.28555304740406323,0.5533295711060948,1
3485,E02003643,0.004200913242009132,0.211324200913242,0.001095890410958904,0.14337899543378996,0.004200913242009132,0.0018264840182648401,0.37662100456621006,0.257351598173516,1
3486,E02003644,0.000749063670411985,0.19350811485642946,0.004244694132334582,0.12384519350811486,0.006991260923845194,0.0012484394506866417,0.38177278401997505,0.2876404494382023,1
3487,E02003645,0.0003720238095238095,0.07068452380952381,0.004836309523809524,0.11755952380952381,0.007068452380952381,0.0003720238095238095,0.703125,0.09598214285714286,1
