,GEOGRAPHY_CODE,Establishment not stated,Medical and care establishment,Medical and care establishment: Local Authority: Care home with nursing,Medical and care establishment: Local Authority: Care home without nursing,Medical and care establishment: Local Authority: Children's home (including secure units),Medical and care establishment: Local Authority: Other home,Medical and care establishment: NHS: General hospital,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),Medical and care establishment: NHS: Other hospital,Medical and care establishment: Other: Care home with nursing,Medical and care establishment: Other: Care home without nursing,Medical and care establishment: Other: Children's home (including secure units),Medical and care establishment: Other: Mental health hospital or unit (including secure units),Medical and care establishment: Other: Other establishment,Medical and care establishment: Other: Other hospital,Medical and care establishment: Registered Social Landlord or Housing Association: Home or hostel,Medical and care establishment:Local Authority,Medical and care establishment:NHS,Medical and care establishment:Other,Medical and care establishment:Registered Social Landlord or Housing Association,Other establishment,Other establishment: Approved premises (probation or bail hostel),Other establishment: Defence,Other establishment: Detention centres and other detention,Other establishment: Education,Other establishment: Holiday accommodation,Other establishment: Hostel or temporary shelter for the homeless,"Other establishment: Hotel, guest house, B&B or youth hostel",Other establishment: Other travel or temporary accommodation,Other establishment: Prison service,Other establishment: Religious,Other establishment: Staff or worker accommodation or Other,Total
2560,E02003015,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2561,E02003016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2562,E02003017,0.013793103448275862,0.9862068965517241,0.08275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.8206896551724138,0.08275862068965517,0.0,0.0,0.0,0.0,0.0,0.08275862068965517,0.0,0.903448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2563,E02003019,0.07079646017699115,0.8495575221238938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6460176991150443,0.20353982300884957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8495575221238938,0.0,0.07964601769911504,0.0,0.0,0.0,0.0,0.0,0.0,0.07964601769911504,0.0,0.0,0.0,0.0,1
2564,E02003020,0.005917159763313609,0.6390532544378699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5177514792899408,0.12130177514792899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6390532544378699,0.0,0.35502958579881655,0.0,0.0,0.0,0.35502958579881655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2565,E02003021,0.030303030303030304,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.1919191919191919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2566,E02003022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2567,E02003023,0.0,0.19556451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09475806451612903,0.10080645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19556451612903225,0.0,0.8044354838709677,0.0,0.0,0.0,0.8044354838709677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2568,E02003024,0.11814345991561181,0.869198312236287,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.25316455696202533,0.25316455696202533,0.0,0.029535864978902954,0.0,0.0,0.0,0.0,0.3333333333333333,0.5358649789029536,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,1
2569,E02003025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5566037735849056,0.20754716981132076,0.0,0.2358490566037736,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2570,E02003026,0.0,0.050967996839193994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04227578032398262,0.00869221651521138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050967996839193994,0.0,0.949032003160806,0.0,0.0,0.0,0.949032003160806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2571,E02003027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2572,E02003028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5797101449275363,0.42028985507246375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2573,E02003029,0.041666666666666664,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2574,E02003030,0.02,0.44,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.42,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,1
2575,E02003031,0.9383561643835616,0.06164383561643835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06164383561643835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06164383561643835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2576,E02003032,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,1
2577,E02003033,0.0,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619047619047619,0.0,0.0,0.0,0.0,0.2619047619047619,0.0,0.7380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7380952380952381,0.0,1
