,GEOGRAPHY_CODE,Usual residents per square kilometre
895,E02000947,11216.4
896,E02000948,7554.4
897,E02000949,7154.7
898,E02000950,8832.1
899,E02000951,13063.2
900,E02000952,11006.4
901,E02000953,10898.9
902,E02000954,13540.5
903,E02000955,12279.9
904,E02000956,8655.1
905,E02000957,14606.0
906,E02000958,9290.5
907,E02000959,15054.5
908,E02000960,6671.7
909,E02000961,12093.7
910,E02000962,11101.0
911,E02000963,21601.3
912,E02000964,23873.4
913,E02000965,16034.2
914,E02000966,16518.5
915,E02000967,4282.9
916,E02000968,23792.3
917,E02000969,17689.2
918,E02000970,6306.6
919,E02000971,13815.9
920,E02000972,6095.9
921,E02000973,18357.0
922,E02000974,12628.8
923,E02000975,15308.6
924,E02000976,18262.9
925,E02000977,2544.4
926,E02000978,1983.7
927,E02000979,5836.0
928,E02000980,19573.7
929,E02000981,22719.0
930,E02000982,11712.9
931,E02000983,20298.1
932,E02000984,972.0
933,E02000985,2005.7
934,E02000986,4366.6
935,E02000987,4669.3
936,E02000988,4634.3
937,E02000989,994.0
938,E02000990,884.8
939,E02000991,1122.8
940,E02000992,713.8
941,E02000993,4639.7
942,E02000994,7929.7
943,E02000995,1445.3
944,E02000996,4938.9
945,E02000997,628.8
946,E02000998,8331.9
947,E02000999,2643.6
948,E02001000,4374.0
949,E02001001,4509.3
950,E02001002,2537.0
951,E02001003,1871.8
952,E02001004,9713.1
953,E02001005,3910.2
954,E02001006,9645.9
955,E02001007,3432.1
956,E02001008,7173.1
957,E02001009,1149.6
958,E02001010,2746.6
959,E02001011,1954.6
960,E02001012,5668.5
961,E02001013,1073.7
962,E02001014,1176.9
963,E02001015,4063.8
964,E02001016,4933.4
965,E02001017,1636.6
966,E02001018,1646.6
967,E02001019,796.8
968,E02001020,2683.9
969,E02001021,618.0
970,E02001022,1592.2
971,E02001023,2455.0
972,E02001024,3378.2
973,E02001025,1894.1
974,E02001026,4836.0
975,E02001027,3933.7
976,E02001028,2522.4
977,E02001029,3739.5
978,E02001030,932.5
979,E02001031,1290.8
980,E02001032,2441.0
981,E02001033,2298.3
982,E02001034,4927.4
983,E02001035,1317.2
984,E02001036,1554.3
985,E02001037,1311.4
986,E02001038,2875.6
987,E02001039,5204.8
988,E02001040,1574.1
989,E02001041,6381.6
990,E02001042,4509.8
991,E02001043,1603.8
992,E02001044,7449.4
993,E02001045,3485.0
994,E02001046,4533.1
995,E02001047,4468.0
996,E02001048,1989.3
997,E02001049,4869.4
998,E02001050,5039.8
999,E02001051,6830.0
1000,E02001052,7431.6
1001,E02001053,4355.4
1002,E02001055,2827.8
1003,E02001056,4901.5
1004,E02001059,3214.7
1005,E02001061,5682.1
1006,E02001062,3921.6
1007,E02001063,6464.6
1008,E02001064,4137.8
1009,E02001065,4958.9
1010,E02001066,10235.4
1011,E02001067,6722.9
1012,E02001068,9422.2
1013,E02001069,14287.5
1014,E02001070,7780.7
1015,E02001072,8203.9
1016,E02001073,7040.1
1017,E02001074,6081.1
1018,E02001075,7731.7
1019,E02001076,8299.6
1020,E02001077,5733.8
1021,E02001078,6473.9
1022,E02001079,5563.0
1023,E02001080,9485.3
1024,E02001081,2844.4
1025,E02001082,7513.8
1026,E02001083,5792.0
1027,E02001084,6246.1
1028,E02001085,6608.2
1029,E02001086,3275.0
1030,E02001087,4569.4
1031,E02001088,5491.4
1032,E02001089,3066.4
1033,E02001090,1854.5
1034,E02001091,4602.3
1035,E02001092,3310.7
1036,E02001093,5044.9
1037,E02001094,6024.4
1038,E02001095,3148.5
1039,E02001096,2439.6
1040,E02001097,1015.3
1041,E02001098,1596.9
1042,E02001099,3733.3
1043,E02001100,977.1
1044,E02001101,1951.0
1045,E02001102,3693.3
1046,E02001103,160.6
1047,E02001104,1868.2
1048,E02001105,2312.4
1049,E02001106,2396.8
1050,E02001107,2648.0
1051,E02001108,4030.6
1052,E02001109,4759.0
1053,E02001110,572.7
1054,E02001111,5126.8
1055,E02001112,1711.7
1056,E02001113,5969.4
1057,E02001114,4638.0
1058,E02001115,4253.1
1059,E02001116,6507.6
1060,E02001117,218.0
1061,E02001118,2206.9
1062,E02001119,6845.1
1063,E02001121,6589.0
1064,E02001123,2134.2
1065,E02001124,7003.5
1066,E02001125,3255.7
1067,E02001126,4487.8
1068,E02001127,4909.8
1069,E02001128,4306.0
1070,E02001129,4281.2
1071,E02001130,1197.0
1072,E02001131,5135.0
1073,E02001132,646.9
1074,E02001133,508.5
1075,E02001134,344.8
1076,E02001135,5224.4
1077,E02001136,2692.3
1078,E02001137,221.9
1079,E02001138,2465.1
1080,E02001139,5636.7
1081,E02001140,3978.2
1082,E02001141,4030.3
1083,E02001142,2171.4
1084,E02001143,5363.6
1085,E02001144,1705.2
1086,E02001145,421.4
1087,E02001146,6782.4
1088,E02001147,2232.7
1089,E02001148,1776.6
1090,E02001149,4243.3
1091,E02001150,1866.8
1092,E02001151,1183.9
1093,E02001152,1404.5
1094,E02001153,2582.6
1095,E02001154,4749.2
1096,E02001155,2243.9
1097,E02001156,3579.4
1098,E02001157,4248.5
1099,E02001158,5021.1
1100,E02001159,2297.8
1101,E02001160,2820.5
1102,E02001161,2294.5
1103,E02001162,3503.1
1104,E02001163,3194.3
1105,E02001164,1760.0
1106,E02001165,3214.2
1107,E02001166,6448.3
1108,E02001167,3411.8
1109,E02001168,3715.8
1110,E02001169,977.2
1111,E02001170,1551.0
1112,E02001171,5749.3
1113,E02001173,3319.8
1114,E02001174,5628.6
1115,E02001175,4919.3
1116,E02001176,4476.8
1117,E02001177,3782.6
1118,E02001179,7690.7
1119,E02001180,6230.6
1120,E02001181,2004.4
1121,E02001182,6134.1
1122,E02001183,3661.2
1123,E02001185,1117.6
1124,E02001186,776.6
1125,E02001187,6472.6
1126,E02001188,5131.7
1127,E02001189,3680.8
1128,E02001190,4043.9
1129,E02001191,3049.0
1130,E02001192,4611.8
1131,E02001193,3235.6
1132,E02001194,3420.6
1133,E02001195,1747.1
1134,E02001196,1065.5
1135,E02001197,3517.3
1136,E02001198,2022.1
1137,E02001199,3783.6
1138,E02001200,3030.3
1139,E02001201,3710.1
1140,E02001202,5525.5
1141,E02001203,353.3
1142,E02001204,4477.4
1143,E02001205,5036.1
1144,E02001206,1941.6
