,GEOGRAPHY_CODE,All household members have the same main language,Any other combination of multiple main languages,"Main language differs between generations, but not within partnerships",Main language differs within partnerships,One-person household,Total: All households
1876,E02001968,0.5908776779543884,0.04077401520387008,0.06668970283344851,0.04768486523842433,0.2539737387698687,2894.0
1877,E02001969,0.5829295564666418,0.03130823704808051,0.03727171077152441,0.02795378307864331,0.32053671263510997,2683.0
1878,E02001970,0.5891167192429022,0.015378548895899053,0.025630914826498423,0.024053627760252366,0.34582018927444796,2536.0
1879,E02001971,0.6812877263581489,0.01609657947686117,0.021327967806841045,0.022132796780684104,0.2591549295774648,2485.0
1880,E02001972,0.4592665518090081,0.0745754368693084,0.09106571498892443,0.08146689638198376,0.2936253999507753,4063.0
1881,E02001973,0.5540269418171396,0.03955288048151333,0.05187732874749212,0.03611349957007739,0.3184293493837776,3489.0
1882,E02001974,0.6648073022312373,0.014198782961460446,0.014452332657200811,0.020030425963488845,0.2865111561866126,3944.0
1883,E02001975,0.6712564543889845,0.024096385542168676,0.03717728055077452,0.023752151462994836,0.24371772805507746,2905.0
1884,E02001976,0.5922733077905492,0.019157088122605363,0.036717752234993614,0.01979565772669221,0.33205619412515963,3132.0
1885,E02001977,0.4707567438529482,0.06493196466937216,0.04392456433516352,0.03533062783480544,0.3850560993077107,4189.0
1886,E02001978,0.6242260061919505,0.035990712074303405,0.03637770897832817,0.043343653250773995,0.26006191950464397,2584.0
1887,E02001979,0.6745341614906832,0.008695652173913044,0.009109730848861283,0.009937888198757764,0.2977225672877847,2415.0
1888,E02001980,0.6788776305533905,0.005066250974279034,0.009353078721745909,0.014419329696024942,0.2922837100545596,2566.0
1889,E02001981,0.4443934877321715,0.08484292593441871,0.09493235496445769,0.051822976381563864,0.3240082549873882,4361.0
1890,E02001982,0.6781032078103207,0.006136680613668061,0.007531380753138075,0.009483960948396096,0.298744769874477,3585.0
1891,E02001983,0.6446841294298922,0.01386748844375963,0.011710323574730355,0.01848998459167951,0.31124807395993837,3245.0
1892,E02001984,0.6413758219524532,0.04982296408700051,0.03009610520991401,0.026555386949924126,0.25214972180070816,3954.0
1893,E02001985,0.5210355987055016,0.13365695792880258,0.037540453074433655,0.021359223300970873,0.28640776699029125,3090.0
1894,E02001986,0.5452556740497676,0.012578616352201259,0.019961717254580257,0.017500683620453924,0.404703308722997,3657.0
1895,E02001987,0.5134940626124506,0.05073767542281396,0.01583303346527528,0.018711766822598057,0.4012234616768622,2779.0
1896,E02001988,0.36736474694589877,0.05148342059336824,0.02356020942408377,0.025887143688190808,0.5317044793484584,3438.0
1897,E02001989,0.6666666666666666,0.02527646129541864,0.018957345971563982,0.018957345971563982,0.27014218009478674,2532.0
1898,E02001990,0.695066055540577,0.016446481531410085,0.02129954165543273,0.016716095982744674,0.2504718252898355,3709.0
1899,E02001991,0.6359370687275738,0.022909191277946453,0.011592602815346398,0.019597019044990338,0.309964118134143,3623.0
