,GEOGRAPHY_CODE,Household is deprived in four dimensions,Household is deprived in one dimension,Household is deprived in three dimensions,Household is deprived in two dimensions,Household is not deprived in any dimension,Total: All households
5247,E02005463,0.00048555474629764507,0.32240835154163633,0.014566642388929352,0.09808205875212431,0.5644573925710124,1
5248,E02005464,0.0005169294391315585,0.3608167485138279,0.023778754200051693,0.13931248384595502,0.4755750840010339,1
5249,E02005465,0.0,0.3795309168443497,0.024520255863539446,0.15458422174840086,0.44136460554371004,1
5250,E02005466,0.0010348395998620215,0.3877199034149707,0.03173508106243532,0.1645394963780614,0.4149706795446706,1
5251,E02005467,0.001415227851684121,0.39201811491650157,0.033116331729408435,0.17775261817152563,0.3956977073308803,1
5252,E02005468,0.0021558361564521095,0.38219895287958117,0.02617801047120419,0.15306436710809979,0.4364028333846628,1
5253,E02005469,0.0012113870381586917,0.3410054512416717,0.0257419745608722,0.1399152029073289,0.4921259842519685,1
5254,E02005470,0.00018191740949608878,0.3787520465708568,0.02364926323449154,0.12843369110423866,0.46898308168091685,1
5255,E02005471,0.0030721966205837174,0.36533538146441374,0.043010752688172046,0.18049155145929338,0.4080901177675371,1
5256,E02005472,0.001569506726457399,0.38071748878923767,0.042152466367713005,0.19551569506726457,0.38004484304932734,1
5257,E02005473,0.0012419274714356682,0.38152011922503726,0.01987083954297069,0.12667660208643816,0.47069051167411824,1
5258,E02005474,0.0013110455588331695,0.3913470993117011,0.025565388397246803,0.15601442150114717,0.4257620452310718,1
5259,E02005475,0.001979544704717915,0.31936654569449024,0.026064005278785878,0.1352688881557242,0.5173210161662818,1
5260,E02005476,0.0006462035541195477,0.33473344103392566,0.020355411954765753,0.10436187399030694,0.539903069466882,1
5261,E02005477,0.0007442322004465393,0.35251798561151076,0.01885388241131233,0.11734061027040436,0.510543289506326,1
5262,E02005478,0.0006855575868372943,0.3592321755027422,0.038391224862888484,0.17915904936014626,0.4225319926873857,1
5263,E02005479,0.0006854009595613434,0.3379026730637423,0.019191226867717615,0.11057802147589674,0.531642677633082,1
