,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
190,2001,E02003515,2001 super output areas - middle layer,305,All household spaces - with residents,3609
191,2001,E02003515,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,57
192,2001,E02003515,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,3
193,2001,E02003515,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,214
194,2001,E02003515,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1432
195,2001,E02003515,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,735
196,2001,E02003515,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",1194
197,2001,E02003515,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",71
198,2001,E02003515,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",5
199,2001,E02003515,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,18
200,2001,E02003516,2001 super output areas - middle layer,305,All household spaces - with residents,4557
201,2001,E02003516,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,227
202,2001,E02003516,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,34
203,2001,E02003516,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,93
204,2001,E02003516,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,77
205,2001,E02003516,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,168
206,2001,E02003516,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",1174
207,2001,E02003516,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",3161
208,2001,E02003516,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",140
209,2001,E02003516,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,5
210,2001,E02003517,2001 super output areas - middle layer,305,All household spaces - with residents,3763
211,2001,E02003517,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,216
212,2001,E02003517,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,99
213,2001,E02003517,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,54
214,2001,E02003517,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,159
215,2001,E02003517,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,1530
216,2001,E02003517,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",854
217,2001,E02003517,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",1022
218,2001,E02003517,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",458
219,2001,E02003517,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
220,2001,E02003518,2001 super output areas - middle layer,305,All household spaces - with residents,3994
221,2001,E02003518,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,198
222,2001,E02003518,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,96
223,2001,E02003518,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,159
224,2001,E02003518,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,206
225,2001,E02003518,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,196
226,2001,E02003518,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",1627
227,2001,E02003518,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",2054
228,2001,E02003518,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",42
229,2001,E02003518,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,4
230,2001,E02003519,2001 super output areas - middle layer,305,All household spaces - with residents,4542
231,2001,E02003519,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,249
232,2001,E02003519,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,120
233,2001,E02003519,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,36
234,2001,E02003519,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,64
235,2001,E02003519,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,410
236,2001,E02003519,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",1100
237,2001,E02003519,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",3128
238,2001,E02003519,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",172
239,2001,E02003519,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
240,2001,E02003520,2001 super output areas - middle layer,305,All household spaces - with residents,4242
241,2001,E02003520,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,160
242,2001,E02003520,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,27
243,2001,E02003520,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,60
244,2001,E02003520,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,189
245,2001,E02003520,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,881
246,2001,E02003520,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",1762
247,2001,E02003520,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",1367
248,2001,E02003520,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",169
249,2001,E02003520,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
250,2001,E02003521,2001 super output areas - middle layer,305,All household spaces - with residents,4272
251,2001,E02003521,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,186
252,2001,E02003521,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,56
253,2001,E02003521,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,53
254,2001,E02003521,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,143
255,2001,E02003521,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,906
256,2001,E02003521,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",1431
257,2001,E02003521,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",1897
258,2001,E02003521,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",81
259,2001,E02003521,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
260,2001,E02003522,2001 super output areas - middle layer,305,All household spaces - with residents,3433
261,2001,E02003522,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,105
262,2001,E02003522,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,108
263,2001,E02003522,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,165
264,2001,E02003522,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,360
265,2001,E02003522,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,690
266,2001,E02003522,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",1583
267,2001,E02003522,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",774
268,2001,E02003522,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",56
