,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_LARPUK11_NAME,OBS_VALUE
277,2001,E02005919,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),64
278,2001,E02005919,2001 super output areas - middle layer,305,Not living in a couple: Divorced,194
279,2001,E02005919,2001 super output areas - middle layer,305,Not living in a couple: Widowed,327
280,2001,E02005920,2001 super output areas - middle layer,305,All categories: Living arrangements,5677
281,2001,E02005920,2001 super output areas - middle layer,305,Living in a couple,4058
282,2001,E02005920,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3628
283,2001,E02005920,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,430
284,2001,E02005920,2001 super output areas - middle layer,305,Not living in a couple,1619
285,2001,E02005920,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),951
286,2001,E02005920,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,33
287,2001,E02005920,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),52
288,2001,E02005920,2001 super output areas - middle layer,305,Not living in a couple: Divorced,223
289,2001,E02005920,2001 super output areas - middle layer,305,Not living in a couple: Widowed,360
290,2001,E02002905,2001 super output areas - middle layer,305,All categories: Living arrangements,4824
291,2001,E02002905,2001 super output areas - middle layer,305,Living in a couple,3328
292,2001,E02002905,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2938
293,2001,E02002905,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,390
294,2001,E02002905,2001 super output areas - middle layer,305,Not living in a couple,1496
295,2001,E02002905,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),822
296,2001,E02002905,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,31
297,2001,E02002905,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),64
298,2001,E02002905,2001 super output areas - middle layer,305,Not living in a couple: Divorced,224
299,2001,E02002905,2001 super output areas - middle layer,305,Not living in a couple: Widowed,355
300,2001,E02002906,2001 super output areas - middle layer,305,All categories: Living arrangements,4422
301,2001,E02002906,2001 super output areas - middle layer,305,Living in a couple,2826
302,2001,E02002906,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2326
303,2001,E02002906,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,500
304,2001,E02002906,2001 super output areas - middle layer,305,Not living in a couple,1596
305,2001,E02002906,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),814
306,2001,E02002906,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,24
307,2001,E02002906,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),76
308,2001,E02002906,2001 super output areas - middle layer,305,Not living in a couple: Divorced,296
309,2001,E02002906,2001 super output areas - middle layer,305,Not living in a couple: Widowed,386
310,2001,E02002907,2001 super output areas - middle layer,305,All categories: Living arrangements,4357
311,2001,E02002907,2001 super output areas - middle layer,305,Living in a couple,2690
312,2001,E02002907,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2250
313,2001,E02002907,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,440
314,2001,E02002907,2001 super output areas - middle layer,305,Not living in a couple,1667
315,2001,E02002907,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),861
316,2001,E02002907,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,31
317,2001,E02002907,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),66
318,2001,E02002907,2001 super output areas - middle layer,305,Not living in a couple: Divorced,290
319,2001,E02002907,2001 super output areas - middle layer,305,Not living in a couple: Widowed,419
320,2001,E02002908,2001 super output areas - middle layer,305,All categories: Living arrangements,6899
321,2001,E02002908,2001 super output areas - middle layer,305,Living in a couple,4756
322,2001,E02002908,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,4232
323,2001,E02002908,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,524
324,2001,E02002908,2001 super output areas - middle layer,305,Not living in a couple,2143
325,2001,E02002908,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1168
326,2001,E02002908,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,45
327,2001,E02002908,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),97
328,2001,E02002908,2001 super output areas - middle layer,305,Not living in a couple: Divorced,301
329,2001,E02002908,2001 super output areas - middle layer,305,Not living in a couple: Widowed,532
330,2001,E02002909,2001 super output areas - middle layer,305,All categories: Living arrangements,8091
331,2001,E02002909,2001 super output areas - middle layer,305,Living in a couple,5426
332,2001,E02002909,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,4650
333,2001,E02002909,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,776
334,2001,E02002909,2001 super output areas - middle layer,305,Not living in a couple,2665
335,2001,E02002909,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1427
336,2001,E02002909,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,50
337,2001,E02002909,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),127
338,2001,E02002909,2001 super output areas - middle layer,305,Not living in a couple: Divorced,411
