,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
314,2021,W01000057,2021 super output areas - lower layer,151,Can speak Welsh,815
315,2021,W01000067,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1165
316,2021,W01000067,2021 super output areas - lower layer,151,Cannot speak Welsh,467
317,2021,W01000067,2021 super output areas - lower layer,151,Can speak Welsh,698
318,2021,W01000068,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1375
319,2021,W01000068,2021 super output areas - lower layer,151,Cannot speak Welsh,532
320,2021,W01000068,2021 super output areas - lower layer,151,Can speak Welsh,843
321,2021,W01002004,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2098
322,2021,W01002004,2021 super output areas - lower layer,151,Cannot speak Welsh,1219
323,2021,W01002004,2021 super output areas - lower layer,151,Can speak Welsh,879
324,2021,W01000085,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1888
325,2021,W01000085,2021 super output areas - lower layer,151,Cannot speak Welsh,1129
326,2021,W01000085,2021 super output areas - lower layer,151,Can speak Welsh,759
327,2021,W01000116,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1650
328,2021,W01000116,2021 super output areas - lower layer,151,Cannot speak Welsh,1054
329,2021,W01000116,2021 super output areas - lower layer,151,Can speak Welsh,596
330,2021,W01000117,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1437
331,2021,W01000117,2021 super output areas - lower layer,151,Cannot speak Welsh,859
332,2021,W01000117,2021 super output areas - lower layer,151,Can speak Welsh,578
333,2021,W01001933,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1878
334,2021,W01001933,2021 super output areas - lower layer,151,Cannot speak Welsh,1065
335,2021,W01001933,2021 super output areas - lower layer,151,Can speak Welsh,813
336,2021,W01000132,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1500
337,2021,W01000132,2021 super output areas - lower layer,151,Cannot speak Welsh,1234
338,2021,W01000132,2021 super output areas - lower layer,151,Can speak Welsh,266
339,2021,W01000146,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2002
340,2021,W01000146,2021 super output areas - lower layer,151,Cannot speak Welsh,1704
