,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGU_3_NAME,OBS_VALUE
307,2021,W01000082,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,359
308,2021,W01000082,2021 super output areas - lower layer,151,Can understand spoken Welsh,708
309,2021,W01000083,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1318
310,2021,W01000083,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,302
311,2021,W01000083,2021 super output areas - lower layer,151,Can understand spoken Welsh,1016
312,2021,W01000057,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1358
313,2021,W01000057,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,484
314,2021,W01000057,2021 super output areas - lower layer,151,Can understand spoken Welsh,874
315,2021,W01000067,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1165
316,2021,W01000067,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,403
317,2021,W01000067,2021 super output areas - lower layer,151,Can understand spoken Welsh,762
318,2021,W01000068,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1375
319,2021,W01000068,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,476
320,2021,W01000068,2021 super output areas - lower layer,151,Can understand spoken Welsh,899
321,2021,W01002004,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,2099
322,2021,W01002004,2021 super output areas - lower layer,151,Cannot understand spoken Welsh,1018
323,2021,W01002004,2021 super output areas - lower layer,151,Can understand spoken Welsh,1081
324,2021,W01000085,2021 super output areas - lower layer,151,Total: All usual residents aged 3 years and over,1888
