,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ARRUK_13_NAME,OBS_VALUE
185,2021,E01021405,2021 super output areas - lower layer,151,Arrived 2020 to 2021,4
186,2021,E01021368,2021 super output areas - lower layer,151,Total: All usual residents,1568
187,2021,E01021368,2021 super output areas - lower layer,151,Born in the UK,1392
188,2021,E01021368,2021 super output areas - lower layer,151,Arrived before 1951,3
189,2021,E01021368,2021 super output areas - lower layer,151,Arrived 1951 to 1960,11
190,2021,E01021368,2021 super output areas - lower layer,151,Arrived 1961 to 1970,7
191,2021,E01021368,2021 super output areas - lower layer,151,Arrived 1971 to 1980,6
192,2021,E01021368,2021 super output areas - lower layer,151,Arrived 1981 to 1990,8
193,2021,E01021368,2021 super output areas - lower layer,151,Arrived 1991 to 2000,16
194,2021,E01021368,2021 super output areas - lower layer,151,Arrived 2001 to 2010,80
195,2021,E01021368,2021 super output areas - lower layer,151,Arrived 2011 to 2013,24
196,2021,E01021368,2021 super output areas - lower layer,151,Arrived 2014 to 2016,12
197,2021,E01021368,2021 super output areas - lower layer,151,Arrived 2017 to 2019,9
198,2021,E01021368,2021 super output areas - lower layer,151,Arrived 2020 to 2021,0
199,2021,E01021370,2021 super output areas - lower layer,151,Total: All usual residents,1727
200,2021,E01021370,2021 super output areas - lower layer,151,Born in the UK,1539
201,2021,E01021370,2021 super output areas - lower layer,151,Arrived before 1951,0
202,2021,E01021370,2021 super output areas - lower layer,151,Arrived 1951 to 1960,4
203,2021,E01021370,2021 super output areas - lower layer,151,Arrived 1961 to 1970,21
204,2021,E01021370,2021 super output areas - lower layer,151,Arrived 1971 to 1980,2
205,2021,E01021370,2021 super output areas - lower layer,151,Arrived 1981 to 1990,13
206,2021,E01021370,2021 super output areas - lower layer,151,Arrived 1991 to 2000,22
207,2021,E01021370,2021 super output areas - lower layer,151,Arrived 2001 to 2010,69
208,2021,E01021370,2021 super output areas - lower layer,151,Arrived 2011 to 2013,19
209,2021,E01021370,2021 super output areas - lower layer,151,Arrived 2014 to 2016,26
210,2021,E01021370,2021 super output areas - lower layer,151,Arrived 2017 to 2019,9
211,2021,E01021370,2021 super output areas - lower layer,151,Arrived 2020 to 2021,3
212,2021,E01021372,2021 super output areas - lower layer,151,Total: All usual residents,2123
213,2021,E01021372,2021 super output areas - lower layer,151,Born in the UK,1894
214,2021,E01021372,2021 super output areas - lower layer,151,Arrived before 1951,3
215,2021,E01021372,2021 super output areas - lower layer,151,Arrived 1951 to 1960,9
216,2021,E01021372,2021 super output areas - lower layer,151,Arrived 1961 to 1970,14
217,2021,E01021372,2021 super output areas - lower layer,151,Arrived 1971 to 1980,15
218,2021,E01021372,2021 super output areas - lower layer,151,Arrived 1981 to 1990,13
219,2021,E01021372,2021 super output areas - lower layer,151,Arrived 1991 to 2000,16
220,2021,E01021372,2021 super output areas - lower layer,151,Arrived 2001 to 2010,72
221,2021,E01021372,2021 super output areas - lower layer,151,Arrived 2011 to 2013,32
222,2021,E01021372,2021 super output areas - lower layer,151,Arrived 2014 to 2016,37
223,2021,E01021372,2021 super output areas - lower layer,151,Arrived 2017 to 2019,16
224,2021,E01021372,2021 super output areas - lower layer,151,Arrived 2020 to 2021,2
225,2021,E01021374,2021 super output areas - lower layer,151,Total: All usual residents,1525
226,2021,E01021374,2021 super output areas - lower layer,151,Born in the UK,1369
227,2021,E01021374,2021 super output areas - lower layer,151,Arrived before 1951,3
228,2021,E01021374,2021 super output areas - lower layer,151,Arrived 1951 to 1960,1
229,2021,E01021374,2021 super output areas - lower layer,151,Arrived 1961 to 1970,12
230,2021,E01021374,2021 super output areas - lower layer,151,Arrived 1971 to 1980,13
231,2021,E01021374,2021 super output areas - lower layer,151,Arrived 1981 to 1990,8
232,2021,E01021374,2021 super output areas - lower layer,151,Arrived 1991 to 2000,13
233,2021,E01021374,2021 super output areas - lower layer,151,Arrived 2001 to 2010,61
234,2021,E01021374,2021 super output areas - lower layer,151,Arrived 2011 to 2013,10
235,2021,E01021374,2021 super output areas - lower layer,151,Arrived 2014 to 2016,20
236,2021,E01021374,2021 super output areas - lower layer,151,Arrived 2017 to 2019,15
237,2021,E01021374,2021 super output areas - lower layer,151,Arrived 2020 to 2021,0
238,2021,E01035155,2021 super output areas - lower layer,151,Total: All usual residents,1405
239,2021,E01035155,2021 super output areas - lower layer,151,Born in the UK,1257
240,2021,E01035155,2021 super output areas - lower layer,151,Arrived before 1951,1
241,2021,E01035155,2021 super output areas - lower layer,151,Arrived 1951 to 1960,5
242,2021,E01035155,2021 super output areas - lower layer,151,Arrived 1961 to 1970,4
243,2021,E01035155,2021 super output areas - lower layer,151,Arrived 1971 to 1980,3
244,2021,E01035155,2021 super output areas - lower layer,151,Arrived 1981 to 1990,4
245,2021,E01035155,2021 super output areas - lower layer,151,Arrived 1991 to 2000,15
246,2021,E01035155,2021 super output areas - lower layer,151,Arrived 2001 to 2010,55
247,2021,E01035155,2021 super output areas - lower layer,151,Arrived 2011 to 2013,19
248,2021,E01035155,2021 super output areas - lower layer,151,Arrived 2014 to 2016,24
249,2021,E01035155,2021 super output areas - lower layer,151,Arrived 2017 to 2019,12
250,2021,E01035155,2021 super output areas - lower layer,151,Arrived 2020 to 2021,6
251,2021,E01035156,2021 super output areas - lower layer,151,Total: All usual residents,1483
252,2021,E01035156,2021 super output areas - lower layer,151,Born in the UK,1337
253,2021,E01035156,2021 super output areas - lower layer,151,Arrived before 1951,1
254,2021,E01035156,2021 super output areas - lower layer,151,Arrived 1951 to 1960,4
255,2021,E01035156,2021 super output areas - lower layer,151,Arrived 1961 to 1970,13
256,2021,E01035156,2021 super output areas - lower layer,151,Arrived 1971 to 1980,8
257,2021,E01035156,2021 super output areas - lower layer,151,Arrived 1981 to 1990,5
258,2021,E01035156,2021 super output areas - lower layer,151,Arrived 1991 to 2000,16
259,2021,E01035156,2021 super output areas - lower layer,151,Arrived 2001 to 2010,46
260,2021,E01035156,2021 super output areas - lower layer,151,Arrived 2011 to 2013,15
261,2021,E01035156,2021 super output areas - lower layer,151,Arrived 2014 to 2016,21
262,2021,E01035156,2021 super output areas - lower layer,151,Arrived 2017 to 2019,15
263,2021,E01035156,2021 super output areas - lower layer,151,Arrived 2020 to 2021,2
264,2021,E01021360,2021 super output areas - lower layer,151,Total: All usual residents,1894
265,2021,E01021360,2021 super output areas - lower layer,151,Born in the UK,1800
266,2021,E01021360,2021 super output areas - lower layer,151,Arrived before 1951,3
267,2021,E01021360,2021 super output areas - lower layer,151,Arrived 1951 to 1960,6
268,2021,E01021360,2021 super output areas - lower layer,151,Arrived 1961 to 1970,10
269,2021,E01021360,2021 super output areas - lower layer,151,Arrived 1971 to 1980,9
270,2021,E01021360,2021 super output areas - lower layer,151,Arrived 1981 to 1990,12
271,2021,E01021360,2021 super output areas - lower layer,151,Arrived 1991 to 2000,16
272,2021,E01021360,2021 super output areas - lower layer,151,Arrived 2001 to 2010,22
273,2021,E01021360,2021 super output areas - lower layer,151,Arrived 2011 to 2013,8
274,2021,E01021360,2021 super output areas - lower layer,151,Arrived 2014 to 2016,5
275,2021,E01021360,2021 super output areas - lower layer,151,Arrived 2017 to 2019,1
276,2021,E01021360,2021 super output areas - lower layer,151,Arrived 2020 to 2021,2
277,2021,E01021361,2021 super output areas - lower layer,151,Total: All usual residents,1772
278,2021,E01021361,2021 super output areas - lower layer,151,Born in the UK,1703
279,2021,E01021361,2021 super output areas - lower layer,151,Arrived before 1951,1
280,2021,E01021361,2021 super output areas - lower layer,151,Arrived 1951 to 1960,4
281,2021,E01021361,2021 super output areas - lower layer,151,Arrived 1961 to 1970,6
282,2021,E01021361,2021 super output areas - lower layer,151,Arrived 1971 to 1980,3
283,2021,E01021361,2021 super output areas - lower layer,151,Arrived 1981 to 1990,8
284,2021,E01021361,2021 super output areas - lower layer,151,Arrived 1991 to 2000,11
285,2021,E01021361,2021 super output areas - lower layer,151,Arrived 2001 to 2010,22
286,2021,E01021361,2021 super output areas - lower layer,151,Arrived 2011 to 2013,8
287,2021,E01021361,2021 super output areas - lower layer,151,Arrived 2014 to 2016,3
288,2021,E01021361,2021 super output areas - lower layer,151,Arrived 2017 to 2019,1
289,2021,E01021361,2021 super output areas - lower layer,151,Arrived 2020 to 2021,2
290,2021,E01021367,2021 super output areas - lower layer,151,Total: All usual residents,1479
291,2021,E01021367,2021 super output areas - lower layer,151,Born in the UK,1382
292,2021,E01021367,2021 super output areas - lower layer,151,Arrived before 1951,0
293,2021,E01021367,2021 super output areas - lower layer,151,Arrived 1951 to 1960,7
294,2021,E01021367,2021 super output areas - lower layer,151,Arrived 1961 to 1970,9
295,2021,E01021367,2021 super output areas - lower layer,151,Arrived 1971 to 1980,8
296,2021,E01021367,2021 super output areas - lower layer,151,Arrived 1981 to 1990,12
297,2021,E01021367,2021 super output areas - lower layer,151,Arrived 1991 to 2000,9
298,2021,E01021367,2021 super output areas - lower layer,151,Arrived 2001 to 2010,24
299,2021,E01021367,2021 super output areas - lower layer,151,Arrived 2011 to 2013,14
300,2021,E01021367,2021 super output areas - lower layer,151,Arrived 2014 to 2016,6
301,2021,E01021367,2021 super output areas - lower layer,151,Arrived 2017 to 2019,5
302,2021,E01021367,2021 super output areas - lower layer,151,Arrived 2020 to 2021,3
303,2021,E01021369,2021 super output areas - lower layer,151,Total: All usual residents,2818
304,2021,E01021369,2021 super output areas - lower layer,151,Born in the UK,2514
305,2021,E01021369,2021 super output areas - lower layer,151,Arrived before 1951,1
306,2021,E01021369,2021 super output areas - lower layer,151,Arrived 1951 to 1960,6
307,2021,E01021369,2021 super output areas - lower layer,151,Arrived 1961 to 1970,13
308,2021,E01021369,2021 super output areas - lower layer,151,Arrived 1971 to 1980,20
309,2021,E01021369,2021 super output areas - lower layer,151,Arrived 1981 to 1990,24
310,2021,E01021369,2021 super output areas - lower layer,151,Arrived 1991 to 2000,48
311,2021,E01021369,2021 super output areas - lower layer,151,Arrived 2001 to 2010,106
312,2021,E01021369,2021 super output areas - lower layer,151,Arrived 2011 to 2013,29
313,2021,E01021369,2021 super output areas - lower layer,151,Arrived 2014 to 2016,18
314,2021,E01021369,2021 super output areas - lower layer,151,Arrived 2017 to 2019,27
315,2021,E01021369,2021 super output areas - lower layer,151,Arrived 2020 to 2021,12
316,2021,E01021380,2021 super output areas - lower layer,151,Total: All usual residents,2647
317,2021,E01021380,2021 super output areas - lower layer,151,Born in the UK,2480
318,2021,E01021380,2021 super output areas - lower layer,151,Arrived before 1951,5
319,2021,E01021380,2021 super output areas - lower layer,151,Arrived 1951 to 1960,12
320,2021,E01021380,2021 super output areas - lower layer,151,Arrived 1961 to 1970,16
321,2021,E01021380,2021 super output areas - lower layer,151,Arrived 1971 to 1980,17
322,2021,E01021380,2021 super output areas - lower layer,151,Arrived 1981 to 1990,15
323,2021,E01021380,2021 super output areas - lower layer,151,Arrived 1991 to 2000,18
324,2021,E01021380,2021 super output areas - lower layer,151,Arrived 2001 to 2010,55
325,2021,E01021380,2021 super output areas - lower layer,151,Arrived 2011 to 2013,5
326,2021,E01021380,2021 super output areas - lower layer,151,Arrived 2014 to 2016,9
327,2021,E01021380,2021 super output areas - lower layer,151,Arrived 2017 to 2019,13
328,2021,E01021380,2021 super output areas - lower layer,151,Arrived 2020 to 2021,2
329,2021,E01021347,2021 super output areas - lower layer,151,Total: All usual residents,2703
330,2021,E01021347,2021 super output areas - lower layer,151,Born in the UK,2555
331,2021,E01021347,2021 super output areas - lower layer,151,Arrived before 1951,2
332,2021,E01021347,2021 super output areas - lower layer,151,Arrived 1951 to 1960,9
333,2021,E01021347,2021 super output areas - lower layer,151,Arrived 1961 to 1970,7
334,2021,E01021347,2021 super output areas - lower layer,151,Arrived 1971 to 1980,6
335,2021,E01021347,2021 super output areas - lower layer,151,Arrived 1981 to 1990,7
336,2021,E01021347,2021 super output areas - lower layer,151,Arrived 1991 to 2000,20
337,2021,E01021347,2021 super output areas - lower layer,151,Arrived 2001 to 2010,42
338,2021,E01021347,2021 super output areas - lower layer,151,Arrived 2011 to 2013,21
339,2021,E01021347,2021 super output areas - lower layer,151,Arrived 2014 to 2016,20
340,2021,E01021347,2021 super output areas - lower layer,151,Arrived 2017 to 2019,6
341,2021,E01021347,2021 super output areas - lower layer,151,Arrived 2020 to 2021,8
342,2021,E01021371,2021 super output areas - lower layer,151,Total: All usual residents,1696
343,2021,E01021371,2021 super output areas - lower layer,151,Born in the UK,1597
344,2021,E01021371,2021 super output areas - lower layer,151,Arrived before 1951,6
345,2021,E01021371,2021 super output areas - lower layer,151,Arrived 1951 to 1960,5
346,2021,E01021371,2021 super output areas - lower layer,151,Arrived 1961 to 1970,5
347,2021,E01021371,2021 super output areas - lower layer,151,Arrived 1971 to 1980,6
