,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETH_20_NAME,OBS_VALUE
159,2021,E01012711,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
160,2021,E01012711,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
161,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,21
162,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,8
163,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,5
164,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,5
165,2021,E01012711,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3
166,2021,E01012711,2021 super output areas - lower layer,151,White,1356
167,2021,E01012711,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1303
168,2021,E01012711,2021 super output areas - lower layer,151,White: Irish,9
169,2021,E01012711,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,1
170,2021,E01012711,2021 super output areas - lower layer,151,White: Roma,0
171,2021,E01012711,2021 super output areas - lower layer,151,White: Other White,43
172,2021,E01012711,2021 super output areas - lower layer,151,Other ethnic group,7
173,2021,E01012711,2021 super output areas - lower layer,151,Other ethnic group: Arab,3
174,2021,E01012711,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,4
175,2021,E01012747,2021 super output areas - lower layer,151,Total: All usual residents,1532
176,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",40
177,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",6
178,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",8
179,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",3
180,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",7
181,2021,E01012747,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",16
182,2021,E01012747,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",0
183,2021,E01012747,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",0
184,2021,E01012747,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
185,2021,E01012747,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
186,2021,E01012747,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,9
187,2021,E01012747,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,4
188,2021,E01012747,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,1
189,2021,E01012747,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,3
190,2021,E01012747,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1
191,2021,E01012747,2021 super output areas - lower layer,151,White,1475
192,2021,E01012747,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1427
193,2021,E01012747,2021 super output areas - lower layer,151,White: Irish,7
194,2021,E01012747,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,2
195,2021,E01012747,2021 super output areas - lower layer,151,White: Roma,1
196,2021,E01012747,2021 super output areas - lower layer,151,White: Other White,38
197,2021,E01012747,2021 super output areas - lower layer,151,Other ethnic group,8
198,2021,E01012747,2021 super output areas - lower layer,151,Other ethnic group: Arab,6
199,2021,E01012747,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,2
200,2021,E01012750,2021 super output areas - lower layer,151,Total: All usual residents,1747
201,2021,E01012750,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",41
202,2021,E01012750,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",14
203,2021,E01012750,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",7
204,2021,E01012750,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",4
205,2021,E01012750,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",1
206,2021,E01012750,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",15
207,2021,E01012750,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",10
208,2021,E01012750,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",9
209,2021,E01012750,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
210,2021,E01012750,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
211,2021,E01012750,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,26
212,2021,E01012750,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,9
213,2021,E01012750,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,4
214,2021,E01012750,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,5
215,2021,E01012750,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8
216,2021,E01012750,2021 super output areas - lower layer,151,White,1664
217,2021,E01012750,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1586
218,2021,E01012750,2021 super output areas - lower layer,151,White: Irish,4
219,2021,E01012750,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,2
220,2021,E01012750,2021 super output areas - lower layer,151,White: Roma,0
221,2021,E01012750,2021 super output areas - lower layer,151,White: Other White,72
222,2021,E01012750,2021 super output areas - lower layer,151,Other ethnic group,6
223,2021,E01012750,2021 super output areas - lower layer,151,Other ethnic group: Arab,2
224,2021,E01012750,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,4
225,2021,E01012681,2021 super output areas - lower layer,151,Total: All usual residents,1631
226,2021,E01012681,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",53
227,2021,E01012681,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",6
228,2021,E01012681,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",2
229,2021,E01012681,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",14
230,2021,E01012681,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",3
231,2021,E01012681,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",28
232,2021,E01012681,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",15
233,2021,E01012681,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",11
234,2021,E01012681,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
235,2021,E01012681,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2
236,2021,E01012681,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,46
237,2021,E01012681,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,13
238,2021,E01012681,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,8
239,2021,E01012681,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,12
240,2021,E01012681,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,13
241,2021,E01012681,2021 super output areas - lower layer,151,White,1477
242,2021,E01012681,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1297
243,2021,E01012681,2021 super output areas - lower layer,151,White: Irish,16
244,2021,E01012681,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,0
245,2021,E01012681,2021 super output areas - lower layer,151,White: Roma,4
246,2021,E01012681,2021 super output areas - lower layer,151,White: Other White,160
247,2021,E01012681,2021 super output areas - lower layer,151,Other ethnic group,40
248,2021,E01012681,2021 super output areas - lower layer,151,Other ethnic group: Arab,22
249,2021,E01012681,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,18
250,2021,E01012683,2021 super output areas - lower layer,151,Total: All usual residents,1403
251,2021,E01012683,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",43
252,2021,E01012683,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",21
253,2021,E01012683,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",0
254,2021,E01012683,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",9
255,2021,E01012683,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",7
256,2021,E01012683,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",6
257,2021,E01012683,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",32
258,2021,E01012683,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",26
259,2021,E01012683,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4
260,2021,E01012683,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2
261,2021,E01012683,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,30
262,2021,E01012683,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,13
263,2021,E01012683,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,9
264,2021,E01012683,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,2
265,2021,E01012683,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,6
266,2021,E01012683,2021 super output areas - lower layer,151,White,1276
267,2021,E01012683,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1213
