,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LPSTAT_12_NAME,OBS_VALUE
259,2021,E01005143,2021 super output areas - lower layer,151,Never married and never registered a civil partnership,844
260,2021,E01005143,2021 super output areas - lower layer,151,Married or in a registered civil partnership,1108
261,2021,E01005143,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married,1108
262,2021,E01005143,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Opposite sex,1104
263,2021,E01005143,2021 super output areas - lower layer,151,Married or in a registered civil partnership: Married: Same sex,4
264,2021,E01005143,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership,0
265,2021,E01005143,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,0
266,2021,E01005143,2021 super output areas - lower layer,151,Married or in a registered civil partnership: In a registered civil partnership: Same sex,0
267,2021,E01005143,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership",52
268,2021,E01005143,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",52
269,2021,E01005143,2021 super output areas - lower layer,151,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",0
270,2021,E01005143,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved,88
271,2021,E01005143,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Divorced,86
272,2021,E01005143,2021 super output areas - lower layer,151,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,2
