msoa,occupation_11,qualification_11,log_med_house_price_11,log_med_income_11,score_11,occupation_21,qualification_21,log_med_house_price_21,log_med_income_21,score_21,rank_11,rank_21,ses_asc,score_pr_11,score_pr_21,score_pr_asc
E02001056,0.185053380782918,0.1026280771789753,11.054866216741466,9.991544216356411,-11.06676837092845,0.23166397415185772,0.238220299706473,11.887594539114565,10.295563423525277,-11.466840097763399,108.0,222.0,-0.4000717268349483,96.71779141104294,6.809815950920245,-89.9079754601227
E02001057,0.4087820177731311,0.296312619362421,0.0,10.060534035475412,-10.152735598884544,0.0,0.0,12.278397958261774,0.0,-1.3881289064753806,9.0,28.0,8.764606692409163,99.75460122699387,0.8588957055214724,-98.8957055214724
E02001059,0.2814873003404031,0.1970061480887463,11.552155793461898,10.038062150832348,-11.185294459501302,0.3579521611414183,0.3237580263602568,11.934926432385152,10.416341118636355,-11.618539143505402,246.0,533.0,-0.43324468400409977,92.48466257668711,16.349693251533743,-76.13496932515338
E02001061,0.22727272727272718,0.1499413145539906,11.594491626982293,10.015073648988146,-11.15282368305644,0.3003133285128945,0.2669056743726047,12.111767460549332,10.410335274932896,-11.613475811305465,182.0,522.0,-0.46065212824902524,94.4478527607362,16.012269938650306,-78.43558282208589
E02001062,0.2900635664101705,0.2799498746867168,11.440365524765756,9.917439766154132,-11.069545402655503,0.40516499282639884,0.3952278207894403,12.589619289537316,10.416341118636355,-11.6964339467765,111.0,750.0,-0.6268885441209964,96.62576687116564,23.006134969325153,-73.61963190184048
E02001063,0.4206390780513357,0.3503157444075778,11.561725152903833,10.082512013210788,-11.269974759128374,0.4698264698264697,0.3900072261794157,12.040614105490253,10.354595018522993,-11.592895435766774,428.0,477.0,-0.3229206766384003,86.90184049079754,14.631901840490796,-72.26993865030674
E02001064,0.2397350993377482,0.1806615776081425,11.264476926102367,10.015073648988146,-11.127737286361427,0.3021658742736396,0.2869686943242555,12.02874460037869,10.376642461280849,-11.575776064618418,158.0,423.0,-0.4480387782569917,95.1840490797546,12.975460122699387,-82.20858895705521
E02001065,0.2427497314715358,0.1527093596059113,11.050905878263567,10.145688355383795,-11.231779220383634,0.2793222133968757,0.2450827791141927,11.951186847493476,10.43708198835482,-11.618577051183689,336.0,534.0,-0.38679783080005414,89.7239263803681,16.380368098159508,-73.34355828220859
E02001066,0.3060637741766856,0.2466582105571275,11.849404844423074,10.060534035475412,-11.245383309972162,0.3700159489633173,0.321571854747454,12.100717685412471,10.30229722897745,-11.524184498634893,364.0,307.0,-0.2788011886627313,88.86503067484662,9.417177914110429,-79.4478527607362
E02001067,0.2193447737909515,0.1635825314581791,11.424105180165641,10.060534035475412,-11.1819362420863,0.2707729468599033,0.2732988165680473,11.89989389266225,10.404293143019792,-11.584397390669684,232.0,447.0,-0.40246114858338444,92.91411042944785,13.711656441717793,-79.20245398773005
E02001068,0.2474710982658958,0.2087022900763358,11.407576060361786,9.967447781495006,-11.099602359295774,0.3227225672877846,0.3086935753522808,12.08954444723597,10.285376924115587,-11.498238348341424,133.0,265.0,-0.39863598904564945,95.95092024539878,8.128834355828221,-87.82208588957056
E02001069,0.29718773752216865,0.2862664847658026,11.51293546492023,10.082512013210788,-11.23936902326718,0.395316485045212,0.3518804739824832,11.995357787034976,10.428245666832275,-11.644907217801562,349.0,605.0,-0.40553819453438145,89.32515337423312,18.55828220858896,-70.76687116564416
E02001070,0.37480559875583197,0.253314121037464,11.744045122410057,10.145688355383795,-11.329140733057491,0.42767123287671227,0.2937799043062201,12.013706813470414,10.434145214930487,-11.648999578568507,573.0,611.0,-0.31985884551101584,82.45398773006136,18.742331288343557,-63.7116564417178
E02001071,0.2783638320775026,0.2336784280583139,0.0,10.125069885783383,-10.188933187006908,0.0,0.0,11.951186847493476,0.0,-1.3573722385601055,12.0,15.0,8.831560948446803,99.66257668711657,0.4601226993865031,-99.20245398773007
E02001072,0.5226209048361933,0.4645059515273196,12.055255569732177,10.331398849474123,-11.589178191118584,0.5630856395728916,0.525,12.496878583628968,10.614007941153417,-11.920486602516668,1251.0,1379.0,-0.33130841139808354,61.65644171779141,42.30061349693251,-19.355828220858896
E02001073,0.648857708220903,0.5574394888806978,12.290877840689351,10.64830170765649,-11.951034384414893,0.6969242310577644,0.614752024291498,12.821260987319457,10.891186902297498,-12.252538131633463,2462.0,2493.0,-0.30150374721857,24.50920245398773,76.47239263803681,51.96319018404908
E02001074,0.41213298791018993,0.2936807095343681,11.561725152903833,10.242848470041249,-11.417581828789992,0.46697324414715713,0.3926353633293387,12.1131401368243,10.573903321093981,-11.813760112574673,774.0,1066.0,-0.3961782837846819,76.28834355828221,32.69938650306749,-43.58895705521472
E02001075,0.37988521453949164,0.3266593094750118,11.455042082521679,10.205109511721595,-11.370694347211717,0.4660541092394078,0.404586758978797,12.25486757159303,10.521399202410167,-11.777328361653373,666.0,981.0,-0.40663401444165537,79.60122699386503,30.0920245398773,-49.509202453987726
E02001076,0.3115305067218199,0.2041977611940298,11.934926432385152,10.331398849474123,-11.512816123338098,0.41492800470173374,0.2675067333589842,12.278397958261774,10.431199791458543,-11.66563751158025,1036.0,663.0,-0.15282138824215252,68.25153374233128,20.337423312883434,-47.914110429447845
E02001077,0.6429748176041421,0.5514856154692659,12.303657509006147,10.672692588705143,-11.974410416534008,0.7102455966261473,0.6092985318107668,12.714586098287784,10.957817003758691,-12.308677114776343,2526.0,2643.0,-0.33426669824233457,22.54601226993865,81.07361963190183,58.527607361963184
E02001078,0.3913828107376493,0.2960550571463684,11.782960235741939,10.348205424565993,-11.538644704484973,0.49031690140845063,0.3948870392390012,12.449022745701502,10.628641991731053,-11.902343496127198,1104.0,1311.0,-0.36369879164222496,66.16564417177914,40.21472392638037,-25.950920245398763
