,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_BEDROOMS_5_NAME,OBS_VALUE
251,2021,E02003337,2021 super output areas - middle layer,152,1 bedroom,192
252,2021,E02003337,2021 super output areas - middle layer,152,2 bedrooms,760
253,2021,E02003337,2021 super output areas - middle layer,152,3 bedrooms,1297
254,2021,E02003337,2021 super output areas - middle layer,152,4 or more bedrooms,424
255,2021,E02003338,2021 super output areas - middle layer,152,Total: All households,3175
256,2021,E02003338,2021 super output areas - middle layer,152,1 bedroom,381
257,2021,E02003338,2021 super output areas - middle layer,152,2 bedrooms,838
258,2021,E02003338,2021 super output areas - middle layer,152,3 bedrooms,1587
259,2021,E02003338,2021 super output areas - middle layer,152,4 or more bedrooms,369
260,2021,E02003339,2021 super output areas - middle layer,152,Total: All households,2433
261,2021,E02003339,2021 super output areas - middle layer,152,1 bedroom,154
262,2021,E02003339,2021 super output areas - middle layer,152,2 bedrooms,388
263,2021,E02003339,2021 super output areas - middle layer,152,3 bedrooms,1308
264,2021,E02003339,2021 super output areas - middle layer,152,4 or more bedrooms,583
265,2021,E02003340,2021 super output areas - middle layer,152,Total: All households,3218
266,2021,E02003340,2021 super output areas - middle layer,152,1 bedroom,492
267,2021,E02003340,2021 super output areas - middle layer,152,2 bedrooms,697
268,2021,E02003340,2021 super output areas - middle layer,152,3 bedrooms,1646
269,2021,E02003340,2021 super output areas - middle layer,152,4 or more bedrooms,383
270,2021,E02003341,2021 super output areas - middle layer,152,Total: All households,2661
271,2021,E02003341,2021 super output areas - middle layer,152,1 bedroom,145
272,2021,E02003341,2021 super output areas - middle layer,152,2 bedrooms,635
273,2021,E02003341,2021 super output areas - middle layer,152,3 bedrooms,1204
274,2021,E02003341,2021 super output areas - middle layer,152,4 or more bedrooms,677
275,2021,E02003342,2021 super output areas - middle layer,152,Total: All households,2572
276,2021,E02003342,2021 super output areas - middle layer,152,1 bedroom,193
277,2021,E02003342,2021 super output areas - middle layer,152,2 bedrooms,421
278,2021,E02003342,2021 super output areas - middle layer,152,3 bedrooms,1329
279,2021,E02003342,2021 super output areas - middle layer,152,4 or more bedrooms,629
280,2021,E02003343,2021 super output areas - middle layer,152,Total: All households,2378
281,2021,E02003343,2021 super output areas - middle layer,152,1 bedroom,100
282,2021,E02003343,2021 super output areas - middle layer,152,2 bedrooms,338
283,2021,E02003343,2021 super output areas - middle layer,152,3 bedrooms,951
284,2021,E02003343,2021 super output areas - middle layer,152,4 or more bedrooms,989
285,2021,E02003344,2021 super output areas - middle layer,152,Total: All households,2700
286,2021,E02003344,2021 super output areas - middle layer,152,1 bedroom,376
287,2021,E02003344,2021 super output areas - middle layer,152,2 bedrooms,467
288,2021,E02003344,2021 super output areas - middle layer,152,3 bedrooms,1369
289,2021,E02003344,2021 super output areas - middle layer,152,4 or more bedrooms,488
290,2021,E02003345,2021 super output areas - middle layer,152,Total: All households,2453
291,2021,E02003345,2021 super output areas - middle layer,152,1 bedroom,117
292,2021,E02003345,2021 super output areas - middle layer,152,2 bedrooms,358
293,2021,E02003345,2021 super output areas - middle layer,152,3 bedrooms,1379
294,2021,E02003345,2021 super output areas - middle layer,152,4 or more bedrooms,599
295,2021,E02003346,2021 super output areas - middle layer,152,Total: All households,2875
296,2021,E02003346,2021 super output areas - middle layer,152,1 bedroom,189
297,2021,E02003346,2021 super output areas - middle layer,152,2 bedrooms,819
298,2021,E02003346,2021 super output areas - middle layer,152,3 bedrooms,1307
299,2021,E02003346,2021 super output areas - middle layer,152,4 or more bedrooms,560
300,2021,E02003347,2021 super output areas - middle layer,152,Total: All households,2436
301,2021,E02003347,2021 super output areas - middle layer,152,1 bedroom,176
302,2021,E02003347,2021 super output areas - middle layer,152,2 bedrooms,723
303,2021,E02003347,2021 super output areas - middle layer,152,3 bedrooms,1080
304,2021,E02003347,2021 super output areas - middle layer,152,4 or more bedrooms,457
305,2021,E02003348,2021 super output areas - middle layer,152,Total: All households,3191
306,2021,E02003348,2021 super output areas - middle layer,152,1 bedroom,145
307,2021,E02003348,2021 super output areas - middle layer,152,2 bedrooms,439
308,2021,E02003348,2021 super output areas - middle layer,152,3 bedrooms,1257
309,2021,E02003348,2021 super output areas - middle layer,152,4 or more bedrooms,1350
310,2021,E02003349,2021 super output areas - middle layer,152,Total: All households,3068
311,2021,E02003349,2021 super output areas - middle layer,152,1 bedroom,178
312,2021,E02003349,2021 super output areas - middle layer,152,2 bedrooms,735
313,2021,E02003349,2021 super output areas - middle layer,152,3 bedrooms,1597
314,2021,E02003349,2021 super output areas - middle layer,152,4 or more bedrooms,558
315,2021,E02003350,2021 super output areas - middle layer,152,Total: All households,2516
316,2021,E02003350,2021 super output areas - middle layer,152,1 bedroom,192
317,2021,E02003350,2021 super output areas - middle layer,152,2 bedrooms,597
318,2021,E02003350,2021 super output areas - middle layer,152,3 bedrooms,1197
319,2021,E02003350,2021 super output areas - middle layer,152,4 or more bedrooms,530
320,2021,E02003351,2021 super output areas - middle layer,152,Total: All households,3166
321,2021,E02003351,2021 super output areas - middle layer,152,1 bedroom,189
322,2021,E02003351,2021 super output areas - middle layer,152,2 bedrooms,882
323,2021,E02003351,2021 super output areas - middle layer,152,3 bedrooms,1613
324,2021,E02003351,2021 super output areas - middle layer,152,4 or more bedrooms,482
325,2021,E02003352,2021 super output areas - middle layer,152,Total: All households,2506
326,2021,E02003352,2021 super output areas - middle layer,152,1 bedroom,159
327,2021,E02003352,2021 super output areas - middle layer,152,2 bedrooms,801
328,2021,E02003352,2021 super output areas - middle layer,152,3 bedrooms,561
329,2021,E02003352,2021 super output areas - middle layer,152,4 or more bedrooms,985
330,2021,E02003353,2021 super output areas - middle layer,152,Total: All households,4936
331,2021,E02003353,2021 super output areas - middle layer,152,1 bedroom,439
332,2021,E02003353,2021 super output areas - middle layer,152,2 bedrooms,1203
333,2021,E02003353,2021 super output areas - middle layer,152,3 bedrooms,1519
334,2021,E02003353,2021 super output areas - middle layer,152,4 or more bedrooms,1775
335,2021,E02003354,2021 super output areas - middle layer,152,Total: All households,4129
336,2021,E02003354,2021 super output areas - middle layer,152,1 bedroom,342
337,2021,E02003354,2021 super output areas - middle layer,152,2 bedrooms,874
338,2021,E02003354,2021 super output areas - middle layer,152,3 bedrooms,1270
339,2021,E02003354,2021 super output areas - middle layer,152,4 or more bedrooms,1643
340,2021,E02003355,2021 super output areas - middle layer,152,Total: All households,2878
341,2021,E02003355,2021 super output areas - middle layer,152,1 bedroom,514
342,2021,E02003355,2021 super output areas - middle layer,152,2 bedrooms,785
343,2021,E02003355,2021 super output areas - middle layer,152,3 bedrooms,1252
344,2021,E02003355,2021 super output areas - middle layer,152,4 or more bedrooms,327
345,2021,E02003356,2021 super output areas - middle layer,152,Total: All households,2849
346,2021,E02003356,2021 super output areas - middle layer,152,1 bedroom,105
347,2021,E02003356,2021 super output areas - middle layer,152,2 bedrooms,667
348,2021,E02003356,2021 super output areas - middle layer,152,3 bedrooms,1063
349,2021,E02003356,2021 super output areas - middle layer,152,4 or more bedrooms,1014
350,2021,E02003357,2021 super output areas - middle layer,152,Total: All households,4326
351,2021,E02003357,2021 super output areas - middle layer,152,1 bedroom,919
352,2021,E02003357,2021 super output areas - middle layer,152,2 bedrooms,1168
353,2021,E02003357,2021 super output areas - middle layer,152,3 bedrooms,1619
354,2021,E02003357,2021 super output areas - middle layer,152,4 or more bedrooms,620
355,2021,E02003358,2021 super output areas - middle layer,152,Total: All households,5035
356,2021,E02003358,2021 super output areas - middle layer,152,1 bedroom,1164
357,2021,E02003358,2021 super output areas - middle layer,152,2 bedrooms,1469
358,2021,E02003358,2021 super output areas - middle layer,152,3 bedrooms,1412
359,2021,E02003358,2021 super output areas - middle layer,152,4 or more bedrooms,990
360,2021,E02003359,2021 super output areas - middle layer,152,Total: All households,2796
