,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
308,2021,E02002515,2021 super output areas - middle layer,152,Other,35
309,2021,E02002515,2021 super output areas - middle layer,152,Second address type not specified,0
310,2021,E02002516,2021 super output areas - middle layer,152,Total: All usual residents,209
311,2021,E02002516,2021 super output areas - middle layer,152,Armed forces base address,6
312,2021,E02002516,2021 super output areas - middle layer,152,Another address when working away from home,21
313,2021,E02002516,2021 super output areas - middle layer,152,Holiday home,9
314,2021,E02002516,2021 super output areas - middle layer,152,Student's term-time address,0
315,2021,E02002516,2021 super output areas - middle layer,152,Student's home address,1
316,2021,E02002516,2021 super output areas - middle layer,152,Another parent or guardian's address,121
317,2021,E02002516,2021 super output areas - middle layer,152,Partner's address,13
318,2021,E02002516,2021 super output areas - middle layer,152,Other,38
319,2021,E02002516,2021 super output areas - middle layer,152,Second address type not specified,0
320,2021,E02002517,2021 super output areas - middle layer,152,Total: All usual residents,167
321,2021,E02002517,2021 super output areas - middle layer,152,Armed forces base address,4
322,2021,E02002517,2021 super output areas - middle layer,152,Another address when working away from home,22
323,2021,E02002517,2021 super output areas - middle layer,152,Holiday home,9
324,2021,E02002517,2021 super output areas - middle layer,152,Student's term-time address,0
325,2021,E02002517,2021 super output areas - middle layer,152,Student's home address,1
326,2021,E02002517,2021 super output areas - middle layer,152,Another parent or guardian's address,78
327,2021,E02002517,2021 super output areas - middle layer,152,Partner's address,15
328,2021,E02002517,2021 super output areas - middle layer,152,Other,38
329,2021,E02002517,2021 super output areas - middle layer,152,Second address type not specified,0
330,2021,E02002518,2021 super output areas - middle layer,152,Total: All usual residents,377
331,2021,E02002518,2021 super output areas - middle layer,152,Armed forces base address,11
332,2021,E02002518,2021 super output areas - middle layer,152,Another address when working away from home,49
333,2021,E02002518,2021 super output areas - middle layer,152,Holiday home,83
334,2021,E02002518,2021 super output areas - middle layer,152,Student's term-time address,4
335,2021,E02002518,2021 super output areas - middle layer,152,Student's home address,4
336,2021,E02002518,2021 super output areas - middle layer,152,Another parent or guardian's address,143
337,2021,E02002518,2021 super output areas - middle layer,152,Partner's address,27
338,2021,E02002518,2021 super output areas - middle layer,152,Other,56
339,2021,E02002518,2021 super output areas - middle layer,152,Second address type not specified,0
340,2021,E02002519,2021 super output areas - middle layer,152,Total: All usual residents,217
341,2021,E02002519,2021 super output areas - middle layer,152,Armed forces base address,4
342,2021,E02002519,2021 super output areas - middle layer,152,Another address when working away from home,21
343,2021,E02002519,2021 super output areas - middle layer,152,Holiday home,22
344,2021,E02002519,2021 super output areas - middle layer,152,Student's term-time address,2
345,2021,E02002519,2021 super output areas - middle layer,152,Student's home address,5
346,2021,E02002519,2021 super output areas - middle layer,152,Another parent or guardian's address,111
347,2021,E02002519,2021 super output areas - middle layer,152,Partner's address,15
348,2021,E02002519,2021 super output areas - middle layer,152,Other,37
349,2021,E02002519,2021 super output areas - middle layer,152,Second address type not specified,0
350,2021,E02002520,2021 super output areas - middle layer,152,Total: All usual residents,470
351,2021,E02002520,2021 super output areas - middle layer,152,Armed forces base address,21
352,2021,E02002520,2021 super output areas - middle layer,152,Another address when working away from home,65
353,2021,E02002520,2021 super output areas - middle layer,152,Holiday home,85
354,2021,E02002520,2021 super output areas - middle layer,152,Student's term-time address,3
355,2021,E02002520,2021 super output areas - middle layer,152,Student's home address,3
356,2021,E02002520,2021 super output areas - middle layer,152,Another parent or guardian's address,190
357,2021,E02002520,2021 super output areas - middle layer,152,Partner's address,42
358,2021,E02002520,2021 super output areas - middle layer,152,Other,61
359,2021,E02002520,2021 super output areas - middle layer,152,Second address type not specified,0
360,2021,E02002521,2021 super output areas - middle layer,152,Total: All usual residents,244
361,2021,E02002521,2021 super output areas - middle layer,152,Armed forces base address,4
362,2021,E02002521,2021 super output areas - middle layer,152,Another address when working away from home,35
363,2021,E02002521,2021 super output areas - middle layer,152,Holiday home,40
364,2021,E02002521,2021 super output areas - middle layer,152,Student's term-time address,2
365,2021,E02002521,2021 super output areas - middle layer,152,Student's home address,4
366,2021,E02002521,2021 super output areas - middle layer,152,Another parent or guardian's address,87
367,2021,E02002521,2021 super output areas - middle layer,152,Partner's address,26
368,2021,E02002521,2021 super output areas - middle layer,152,Other,46
369,2021,E02002521,2021 super output areas - middle layer,152,Second address type not specified,0
370,2021,E02002523,2021 super output areas - middle layer,152,Total: All usual residents,143
371,2021,E02002523,2021 super output areas - middle layer,152,Armed forces base address,3
372,2021,E02002523,2021 super output areas - middle layer,152,Another address when working away from home,15
373,2021,E02002523,2021 super output areas - middle layer,152,Holiday home,7
374,2021,E02002523,2021 super output areas - middle layer,152,Student's term-time address,4
375,2021,E02002523,2021 super output areas - middle layer,152,Student's home address,4
376,2021,E02002523,2021 super output areas - middle layer,152,Another parent or guardian's address,84
377,2021,E02002523,2021 super output areas - middle layer,152,Partner's address,7
378,2021,E02002523,2021 super output areas - middle layer,152,Other,19
379,2021,E02002523,2021 super output areas - middle layer,152,Second address type not specified,0
380,2021,E02002524,2021 super output areas - middle layer,152,Total: All usual residents,181
381,2021,E02002524,2021 super output areas - middle layer,152,Armed forces base address,9
382,2021,E02002524,2021 super output areas - middle layer,152,Another address when working away from home,15
383,2021,E02002524,2021 super output areas - middle layer,152,Holiday home,41
384,2021,E02002524,2021 super output areas - middle layer,152,Student's term-time address,0
385,2021,E02002524,2021 super output areas - middle layer,152,Student's home address,0
386,2021,E02002524,2021 super output areas - middle layer,152,Another parent or guardian's address,81
387,2021,E02002524,2021 super output areas - middle layer,152,Partner's address,16
388,2021,E02002524,2021 super output areas - middle layer,152,Other,19
389,2021,E02002524,2021 super output areas - middle layer,152,Second address type not specified,0
390,2021,E02002525,2021 super output areas - middle layer,152,Total: All usual residents,234
391,2021,E02002525,2021 super output areas - middle layer,152,Armed forces base address,9
392,2021,E02002525,2021 super output areas - middle layer,152,Another address when working away from home,20
393,2021,E02002525,2021 super output areas - middle layer,152,Holiday home,34
394,2021,E02002525,2021 super output areas - middle layer,152,Student's term-time address,0
