,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HEATING_13_NAME,OBS_VALUE
215,2021,E02002501,2021 super output areas - middle layer,152,Solid fuel only,0
216,2021,E02002501,2021 super output areas - middle layer,152,Renewable energy only,4
217,2021,E02002501,2021 super output areas - middle layer,152,District or communal heat networks only,4
218,2021,E02002501,2021 super output areas - middle layer,152,Other central heating only,46
219,2021,E02002501,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),273
220,2021,E02002501,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),6
221,2021,E02002502,2021 super output areas - middle layer,152,Total: All households,4354
222,2021,E02002502,2021 super output areas - middle layer,152,No central heating,65
223,2021,E02002502,2021 super output areas - middle layer,152,Mains gas only,3194
224,2021,E02002502,2021 super output areas - middle layer,152,Tank or bottled gas only,22
225,2021,E02002502,2021 super output areas - middle layer,152,Electric only,534
226,2021,E02002502,2021 super output areas - middle layer,152,Oil only,1
227,2021,E02002502,2021 super output areas - middle layer,152,Wood only,0
228,2021,E02002502,2021 super output areas - middle layer,152,Solid fuel only,1
229,2021,E02002502,2021 super output areas - middle layer,152,Renewable energy only,5
230,2021,E02002502,2021 super output areas - middle layer,152,District or communal heat networks only,19
231,2021,E02002502,2021 super output areas - middle layer,152,Other central heating only,84
232,2021,E02002502,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),415
233,2021,E02002502,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),14
234,2021,E02002503,2021 super output areas - middle layer,152,Total: All households,2739
235,2021,E02002503,2021 super output areas - middle layer,152,No central heating,34
236,2021,E02002503,2021 super output areas - middle layer,152,Mains gas only,2217
237,2021,E02002503,2021 super output areas - middle layer,152,Tank or bottled gas only,20
238,2021,E02002503,2021 super output areas - middle layer,152,Electric only,88
239,2021,E02002503,2021 super output areas - middle layer,152,Oil only,0
240,2021,E02002503,2021 super output areas - middle layer,152,Wood only,0
241,2021,E02002503,2021 super output areas - middle layer,152,Solid fuel only,0
242,2021,E02002503,2021 super output areas - middle layer,152,Renewable energy only,3
243,2021,E02002503,2021 super output areas - middle layer,152,District or communal heat networks only,6
244,2021,E02002503,2021 super output areas - middle layer,152,Other central heating only,61
245,2021,E02002503,2021 super output areas - middle layer,152,Two or more types of central heating (not including renewable energy),297
246,2021,E02002503,2021 super output areas - middle layer,152,Two or more types of central heating (including renewable energy),13
247,2021,E02002504,2021 super output areas - middle layer,152,Total: All households,3777
248,2021,E02002504,2021 super output areas - middle layer,152,No central heating,55
249,2021,E02002504,2021 super output areas - middle layer,152,Mains gas only,2941
250,2021,E02002504,2021 super output areas - middle layer,152,Tank or bottled gas only,16
251,2021,E02002504,2021 super output areas - middle layer,152,Electric only,364
252,2021,E02002504,2021 super output areas - middle layer,152,Oil only,2
253,2021,E02002504,2021 super output areas - middle layer,152,Wood only,1
254,2021,E02002504,2021 super output areas - middle layer,152,Solid fuel only,2
