,GEOGRAPHY_CODE,Bad health,Fair health,Good health,Total: All usual residents,Very bad health,Very good health
4042,E02004217,0.048254620123203286,0.1450205338809035,0.3336755646817248,7792.0,0.011293634496919919,0.46175564681724846
4043,E02004218,0.03903315368283521,0.13980075126571942,0.34296913277804997,6123.0,0.013065490772497142,0.46513147150089823
4044,E02004219,0.043470483005366725,0.13989266547406082,0.33917710196779965,5590.0,0.012343470483005367,0.46511627906976744
4045,E02004220,0.062186559679037114,0.16783684386492811,0.35673687729856235,5982.0,0.01788699431628218,0.3953527248411902
4046,E02004221,0.048501020247998745,0.16371056349081778,0.34421597865327264,6371.0,0.0171087741327892,0.42646366347512166
4047,E02004222,0.05995120250958522,0.152317880794702,0.34785639595677936,5738.0,0.011327988846287905,0.4285465318926455
4048,E02004223,0.043852238691344754,0.14730051455341373,0.3396052530527609,13021.0,0.012211043698640657,0.45703095000384
4049,E02004224,0.03862860688799255,0.14644740924604405,0.35494880546075086,6446.0,0.011945392491467578,0.448029785913745
4050,E02004225,0.051025685226685054,0.1575590415445613,0.3504568177900362,5801.0,0.011032580589553526,0.42992587484916395
4051,E02004226,0.03970427163198247,0.14430449069003287,0.3608981380065717,7304.0,0.0104052573932092,0.44468784227820374
4052,E02004227,0.04557509085551518,0.15057459974462234,0.3386700717021904,10181.0,0.012768883213829683,0.45241135448384245
4053,E02004228,0.044435273077452195,0.16054477919933965,0.352455633512175,7269.0,0.012794056954189021,0.42977025725684415
4054,E02004229,0.04289301858362632,0.1329984932194877,0.3434455047714716,9955.0,0.011250627825213461,0.4694123556002009
4055,E02004230,0.04669260700389105,0.1549935149156939,0.36199740596627755,7710.0,0.010894941634241245,0.4254215304798962
4056,E02004231,0.040778890927049526,0.1435021871031466,0.3451389868773811,7087.0,0.013263722308452096,0.45731621278397067
4057,E02004232,0.03345886442641947,0.14093279258400926,0.34921784472769407,6904.0,0.0097045191193511,0.4666859791425261
4058,E02004233,0.04190340909090909,0.14867424242424243,0.34106691919191917,12672.0,0.01278409090909091,0.4555713383838384
4059,E02004234,0.04032776349614396,0.14283419023136246,0.3629498714652956,6224.0,0.01172879177377892,0.442159383033419
4060,E02004235,0.044475011462631824,0.14565184166284578,0.3292067858780376,6543.0,0.012073972184013449,0.46859238881247134
4061,E02004236,0.03904869034227865,0.1528201831913868,0.3705608227542986,6223.0,0.00948095773742568,0.4280893459746103
4062,E02004237,0.04113962912931352,0.12894510622620656,0.3326783740636129,8143.0,0.010806827950386835,0.48643006263048016
4063,E02004238,0.04663281667557456,0.1642169962586852,0.3731961517904864,7484.0,0.012693746659540353,0.4032602886157135
4064,E02004239,0.032516418388595224,0.1419189492231299,0.35864167868012176,6243.0,0.009290405253884351,0.45763254845426876
4065,E02004240,0.0633491569815027,0.15649042396464233,0.34162710754624326,6109.0,0.020134228187919462,0.4183990833196923
4066,E02004241,0.04329461457233368,0.13875395987328407,0.3544878563885956,9470.0,0.011721224920802534,0.45174234424498416
4067,E02004242,0.039591710485617077,0.1520259820600062,0.34967522424992264,6466.0,0.00912465202598206,0.449582431178472
4068,E02004243,0.029767441860465118,0.12449612403100775,0.3516279069767442,6450.0,0.008837209302325582,0.48527131782945737
4069,E02004244,0.030039011703511052,0.12327698309492847,0.3490247074122237,7690.0,0.010793237971391418,0.4868660598179454
