,GEOGRAPHY_CODE,Address one year ago is student term-time or boarding school address in the UK,Address one year ago is the same as the address of enumeration,Migrant from outside the UK: Address one year ago was outside the UK,Migrant from within the UK: Address one year ago was in the UK,Total: All usual residents
3961,E02004136,0.0026533644661430695,0.9003396306516663,0.0057312672468690295,0.09127573763532158,9422.0
3962,E02004137,0.0020766471587691147,0.905418161223334,0.003775722106852936,0.08872946951104399,5297.0
3963,E02004138,0.0018291089626339169,0.9010974653775804,0.003135615364515286,0.09393781029527044,7654.0
3964,E02004139,0.002297200287150036,0.901794687724336,0.002440775305096913,0.09346733668341708,6965.0
3965,E02004140,0.0013374092472296522,0.892243026366068,0.00573175391669851,0.10068781047000382,5234.0
3966,E02004141,0.00498793242156074,0.8954143201930812,0.004505229283990346,0.09509251810136767,6215.0
3967,E02004142,0.006780195521917377,0.8446862188584043,0.013402712078208767,0.13513087354146958,6342.0
3968,E02004143,0.0012698412698412698,0.9147619047619048,0.003650793650793651,0.08031746031746032,6300.0
3969,E02004144,0.0008792497069167644,0.9097303634232122,0.0023446658851113715,0.08704572098475967,6824.0
3970,E02004145,0.001808913007728992,0.9182700213780628,0.0029600394671928957,0.07696102614701529,6081.0
3971,E02004146,0.0024067388688327317,0.9090787538440968,0.0036101083032490976,0.08490439898382136,7479.0
3972,E02004147,0.003332367429730513,0.8554042306577804,0.008693132425383946,0.13257026948710518,6902.0
3973,E02004148,0.002583979328165375,0.8854005167958656,0.005684754521963824,0.10633074935400517,7740.0
3974,E02004149,0.05595421927513852,0.49377781814878735,0.06531020074484513,0.384957761831229,11009.0
3975,E02004150,0.07490743377954999,0.7982056394189689,0.009256622045001424,0.11763030475647963,7022.0
3976,E02004151,0.0035168810289389067,0.9010249196141479,0.00502411575562701,0.09043408360128617,9952.0
3977,E02004152,0.234558975418302,0.4487709151001859,0.03811196033877298,0.27855814914273913,9682.0
3978,E02004153,0.004057892601109158,0.9118084674692276,0.005410523468145543,0.07872311646151765,7393.0
3979,E02004154,0.07386640663091175,0.7158703071672355,0.01986835689907362,0.19039492930277913,8204.0
3980,E02004155,0.0052795451468796535,0.9174224989847028,0.004467307431975091,0.0728306484364424,7387.0
3981,E02004156,0.09931654987455663,0.5833549615018601,0.0514750410935202,0.2658534475300632,11559.0
3982,E02004157,0.02256834075015893,0.8232676414494596,0.018753973299427844,0.1354100445009536,6292.0
3983,E02004158,0.006900012545477356,0.8746706812194204,0.0100363818843307,0.10839292435077155,7971.0
3984,E02004159,0.004991680532445923,0.8922430869186276,0.007289438237857539,0.09547579431106885,12621.0
3985,E02004160,0.0027929060187124703,0.9250104733975701,0.0041893590280687055,0.06800726155564865,7161.0
3986,E02004161,0.0031549569227035555,0.9009828904259192,0.012498483193787161,0.08336366945759009,8241.0
3987,E02004162,0.005084992009298271,0.8820281853842801,0.00726427429899753,0.10562254830742408,6883.0
3988,E02004163,0.00465230166503428,0.8865083251714005,0.007223310479921645,0.10161606268364348,8168.0
3989,E02004164,0.0020710059171597634,0.8965976331360946,0.005177514792899409,0.09615384615384616,6760.0
3990,E02004165,0.001249290176036343,0.8817717206132879,0.004202157864849517,0.11277683134582624,8805.0
3991,E02004166,0.001487652484379649,0.9036001190121987,0.005355548943766736,0.08955667955965486,6722.0
3992,E02004167,0.003093363329583802,0.9014341957255343,0.005202474690663667,0.09026996625421822,7112.0
3993,E02004168,0.0022624434389140274,0.900775694893342,0.005332902391725921,0.0916289592760181,6188.0
3994,E02004169,0.0025279403938265033,0.9018094731240022,0.003459286854709952,0.09220329962746142,7516.0
3995,E02004170,0.0013794689044717783,0.9111392114036097,0.0027589378089435566,0.08472238188297505,8699.0
3996,E02004171,0.0020166073546856464,0.9073546856465006,0.0034400948991696323,0.08718861209964412,8430.0
3997,E02004172,0.002948021722265322,0.9115593483320403,0.005585725368502715,0.07990690457719161,6445.0
3998,E02004173,0.0016155088852988692,0.9025309639203015,0.0026925148088314485,0.09316101238556812,7428.0
3999,E02004174,0.002250562640660165,0.8877219304826206,0.004751187796949237,0.10527631907976995,7998.0
4000,E02004175,0.0015655577299412916,0.9117416829745597,0.00410958904109589,0.08258317025440313,5110.0
4001,E02004176,0.0010832280194981044,0.8985376421736776,0.003069146055244629,0.0973099837515797,5539.0
4002,E02004177,0.003417634996582365,0.8942241968557758,0.0030758714969241286,0.09928229665071771,5852.0
4003,E02004178,0.0026763525138596826,0.8931370674823169,0.008220225578283311,0.09596635442554005,5231.0
4004,E02004179,0.002406212402931204,0.8851580444055561,0.007656130372962922,0.10477961281854971,9143.0
4005,E02004180,0.0021631644004944375,0.8957045735475896,0.005253399258343634,0.09687886279357232,6472.0
4006,E02004181,0.0014082027812004929,0.8781904594261574,0.00968139412075339,0.11071994367188875,5681.0
4007,E02004182,0.0003209757663296421,0.8796340876263842,0.010110736639383727,0.10993419996790242,6231.0
4008,E02004183,0.0018945918015845678,0.8987254564243886,0.00826730967964175,0.09111264209438512,5806.0
4009,E02004184,0.002241623407267579,0.9079754601226994,0.00412930627654554,0.0856536101934875,8476.0
4010,E02004185,0.001658124811576726,0.8967440458245403,0.0028640337654507087,0.09873379559843232,6634.0
4011,E02004186,0.002189708370657908,0.8912113068577685,0.0031850303573205934,0.10341395441425301,10047.0
4012,E02004187,0.0018823529411764706,0.8843294117647059,0.006023529411764706,0.10776470588235294,10625.0
4013,E02004188,0.0017201834862385322,0.8934919724770642,0.0040137614678899085,0.10077408256880734,6976.0
4014,E02004189,0.0016458196181698486,0.9002633311389072,0.003785385121790652,0.09430546412113232,6076.0
4015,E02004190,0.0024308369024192613,0.8962842921634449,0.005093182081259405,0.09619168885287649,8639.0
4016,E02004191,0.0026785714285714286,0.8918526785714286,0.005803571428571429,0.09966517857142858,8960.0
4017,E02004192,0.0027404410805167687,0.8895993736134673,0.006524859715516116,0.1011353255904998,7663.0
4018,E02004193,0.0022865853658536584,0.8931233062330624,0.0038956639566395663,0.10069444444444445,11808.0
4019,E02004194,0.002045547524887495,0.8846311195963453,0.00804582026455748,0.10527751261420974,7333.0
4020,E02004195,0.0009562057754828839,0.8785618665136737,0.007649646203863071,0.1128322815069803,5229.0
4021,E02004196,0.002730883813306852,0.8969712015888779,0.008192651439920555,0.09210526315789473,8056.0
4022,E02004197,0.002363737486095662,0.8661012235817576,0.004588431590656285,0.12694660734149055,7192.0
4023,E02004198,0.0019193857965451055,0.8985924504158669,0.0047984644913627635,0.09468969929622521,6252.0
4024,E02004199,0.0013942140118508191,0.9048448936911816,0.00801673056814221,0.08574416172882537,5738.0
4025,E02004200,0.0019623233908948193,0.8755886970172685,0.008437990580847723,0.11401098901098901,5096.0
4026,E02004201,0.001281581838154522,0.9174295129989015,0.0032954961552544857,0.07799340900768949,5462.0
4027,E02004202,0.0013940520446096654,0.9122908921933085,0.0033689591078066915,0.08294609665427509,8608.0
4028,E02004203,0.0019261075118192962,0.915251269479951,0.006828926632813868,0.07599369637541586,5711.0
4029,E02004204,0.0025662081708068157,0.9012523095873537,0.0034900431122972695,0.09269143912954218,9742.0
4030,E02004205,0.0012916862376702678,0.9099342414279005,0.0029356505401596992,0.0858384217942696,8516.0
4031,E02004206,0.0010532651218778213,0.8851941017153175,0.0036111947035811012,0.1101414384592236,6646.0
4032,E02004207,0.00255025502550255,0.9054905490549054,0.0036003600360036,0.08835883588358835,6666.0
4033,E02004208,0.0024140012070006035,0.9204586602293301,0.0031382015691007845,0.0739891369945685,8285.0
4034,E02004209,0.0014202993554026002,0.9068065115262756,0.0016388069485414618,0.0901343821697804,9153.0
4035,E02004210,0.0019856422789063695,0.9045364288987322,0.004429509699098824,0.08904841912326256,6547.0
4036,E02004211,0.0027443207806068,0.9147735935356,0.0054886415612136,0.07699344412257966,6559.0
4037,E02004212,0.0011462256427050926,0.9035532994923858,0.002292451285410185,0.09300802357949893,6107.0
4038,E02004213,0.001326259946949602,0.8561007957559682,0.004310344827586207,0.138262599469496,9048.0
4039,E02004214,0.001996007984031936,0.885894876912841,0.0041583499667332,0.10795076513639387,6012.0
4040,E02004215,0.003117962930885155,0.8931231595357699,0.003637623419366014,0.10012125411397886,5773.0
4041,E02004216,0.0005426917510853835,0.9185962373371924,0.0030752532561505066,0.07778581765557163,5528.0
4042,E02004217,0.0014189886480908153,0.9046697626418989,0.00348297213622291,0.09042827657378741,7752.0
4043,E02004218,0.0014780752176055182,0.916899326654623,0.004269995073082608,0.07735260305468879,6089.0
4044,E02004219,0.002516627718856732,0.9147941758044221,0.003954700701060579,0.07873449577566062,5563.0
4045,E02004220,0.0010087424344317419,0.917955615332885,0.003698722259583053,0.0773369199731002,5948.0
4046,E02004221,0.0011051468266498263,0.8994316387748658,0.005683612251341964,0.09377960214714241,6334.0
4047,E02004222,0.000526685393258427,0.8900983146067416,0.009129213483146067,0.10024578651685394,5696.0
4048,E02004223,0.0028715560729530463,0.8968568102444703,0.002716336825766395,0.09755529685681025,12885.0
