,GEOGRAPHY_CODE,Household reference person has not previously served in regular or reserve UK armed forces,Household reference person previously served in both regular and reserve UK armed forces,Household reference person previously served in regular UK armed forces,Household reference person previously served in reserve UK armed forces,Total: All households
5904,E02006145,0.9274733937721719,0.004729996058336618,0.05360662199448167,0.014189988175009854,2537.0
5905,E02006146,0.9337572866984631,0.0023847376788553257,0.051934287228404874,0.01192368839427663,3774.0
5906,E02006147,0.9390701703725094,0.0025989026855327752,0.04793531619982674,0.010395610742131101,3463.0
5907,E02006148,0.9375622716705414,0.004317502490866822,0.05114579873796081,0.006974427100631019,3011.0
5908,E02006149,0.9346922620225608,0.002770631308133782,0.050267168018998616,0.012269938650306749,5053.0
5909,E02006150,0.9411994530181677,0.002344207853096308,0.04864231295174839,0.007814026176987694,5119.0
5910,E02006151,0.9404845918607386,0.003293342742884027,0.04563632086567866,0.01058574453069866,4251.0
5911,E02006152,0.9430393666153508,0.0019793270288102046,0.04178579283043765,0.013195513525401364,4547.0
5912,E02006153,0.9465709728867624,0.0023923444976076554,0.0417331206804891,0.009303561935140883,3762.0
5913,E02006154,0.9321833648393195,0.003780718336483932,0.053166351606805294,0.010869565217391304,4232.0
5914,E02006155,0.9484110606685927,0.0020635575732562937,0.03714403631861329,0.012381345439537762,2423.0
5915,E02006156,0.9481996209728364,0.0012634238787113076,0.04232469993682881,0.0082122552116235,3166.0
5916,E02006157,0.942008486562942,0.001768033946251768,0.04667609618104668,0.009547383309759547,2828.0
5917,E02006158,0.9410430839002267,0.003401360544217687,0.04733560090702948,0.008219954648526076,3528.0
5918,E02006159,0.9385295299316995,0.002812374447569305,0.04861390116512656,0.010044194455604661,2489.0
5919,E02006160,0.9389732844421163,0.003143006809848088,0.046621267679413304,0.011262441068622316,3818.0
5920,E02006161,0.9326611451206338,0.0010803024846957148,0.05545552754771336,0.010803024846957148,2777.0
5921,E02006162,0.9399837793998378,0.0021627466882941336,0.04731008380643417,0.010543390105433901,3699.0
5922,E02006163,0.9365625,0.00375,0.050625,0.0090625,3200.0
5923,E02006164,0.9535633666559175,0.0029022895840051595,0.03708481135117704,0.0064495324089003546,3101.0
5924,E02006165,0.948339483394834,0.0011353959693443088,0.04172580187340335,0.008799318762418393,3523.0
5925,E02006166,0.9408773045136681,0.001589319771137953,0.04227590591226955,0.015257469802924348,3146.0
5926,E02006167,0.9552308049176526,0.0020876826722338203,0.03502667594525632,0.007654836464857342,4311.0
5927,E02006168,0.9538847117794487,0.002255639097744361,0.03684210526315789,0.007017543859649123,3990.0
