,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_UKFORCEVET_6_NAME,OBS_VALUE
213,2021,E02002529,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,9
214,2021,E02002529,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4456
215,2021,E02002530,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5224
216,2021,E02002530,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,265
217,2021,E02002530,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,55
218,2021,E02002530,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,12
219,2021,E02002530,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4892
220,2021,E02002532,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5556
221,2021,E02002532,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,259
222,2021,E02002532,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,77
223,2021,E02002532,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,16
224,2021,E02002532,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5204
225,2021,E02002533,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5411
226,2021,E02002533,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,259
227,2021,E02002533,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,72
228,2021,E02002533,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,9
229,2021,E02002533,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5071
230,2021,E02002534,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4864
231,2021,E02002534,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,222
232,2021,E02002534,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,57
233,2021,E02002534,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,11
234,2021,E02002534,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4574
235,2021,E02006812,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6243
236,2021,E02006812,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,280
237,2021,E02006812,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,69
238,2021,E02006812,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,19
239,2021,E02006812,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5875
240,2021,E02006910,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8541
241,2021,E02006910,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,339
242,2021,E02006910,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,73
243,2021,E02006910,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,17
244,2021,E02006910,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,8112
245,2021,E02002535,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7736
246,2021,E02002535,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,353
247,2021,E02002535,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,76
248,2021,E02002535,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,16
249,2021,E02002535,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7291
250,2021,E02002536,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7577
251,2021,E02002536,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,352
252,2021,E02002536,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,89
253,2021,E02002536,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,16
254,2021,E02002536,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7120
255,2021,E02002537,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6469
256,2021,E02002537,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,298
257,2021,E02002537,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,75
258,2021,E02002537,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,15
259,2021,E02002537,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6081
260,2021,E02002538,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4570
261,2021,E02002538,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,214
262,2021,E02002538,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,69
263,2021,E02002538,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,10
264,2021,E02002538,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4277
265,2021,E02002539,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8672
266,2021,E02002539,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,320
267,2021,E02002539,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,82
268,2021,E02002539,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,20
269,2021,E02002539,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,8250
270,2021,E02002540,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5154
271,2021,E02002540,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,220
272,2021,E02002540,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,52
273,2021,E02002540,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,6
274,2021,E02002540,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4876
275,2021,E02002541,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5020
276,2021,E02002541,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,192
277,2021,E02002541,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,50
278,2021,E02002541,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,13
279,2021,E02002541,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4765
280,2021,E02002542,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6257
281,2021,E02002542,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,266
282,2021,E02002542,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,62
283,2021,E02002542,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,10
284,2021,E02002542,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5919
285,2021,E02002543,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6977
286,2021,E02002543,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,282
287,2021,E02002543,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,65
288,2021,E02002543,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,10
289,2021,E02002543,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6620
290,2021,E02002544,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7415
291,2021,E02002544,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,288
292,2021,E02002544,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,74
293,2021,E02002544,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,12
294,2021,E02002544,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7041
295,2021,E02002545,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4275
296,2021,E02002545,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,210
297,2021,E02002545,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,44
298,2021,E02002545,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,8
299,2021,E02002545,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4013
300,2021,E02002546,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5818
301,2021,E02002546,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,220
302,2021,E02002546,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,51
303,2021,E02002546,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,13
304,2021,E02002546,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5534
305,2021,E02002547,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5168
306,2021,E02002547,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,219
307,2021,E02002547,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,63
308,2021,E02002547,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,16
309,2021,E02002547,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4870
310,2021,E02002549,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6302
311,2021,E02002549,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,272
312,2021,E02002549,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,65
313,2021,E02002549,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,13
