,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
275,2021,W02000424,2021 super output areas - middle layer,152,Can speak Welsh,646
276,2021,W02000425,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8178
277,2021,W02000425,2021 super output areas - middle layer,152,Cannot speak Welsh,7487
278,2021,W02000425,2021 super output areas - middle layer,152,Can speak Welsh,691
279,2021,W02000426,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9649
280,2021,W02000426,2021 super output areas - middle layer,152,Cannot speak Welsh,8654
281,2021,W02000426,2021 super output areas - middle layer,152,Can speak Welsh,995
282,2021,W02000116,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7195
283,2021,W02000116,2021 super output areas - middle layer,152,Cannot speak Welsh,3625
284,2021,W02000116,2021 super output areas - middle layer,152,Can speak Welsh,3570
285,2021,W02000117,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8883
286,2021,W02000117,2021 super output areas - middle layer,152,Cannot speak Welsh,6614
287,2021,W02000117,2021 super output areas - middle layer,152,Can speak Welsh,2269
288,2021,W02000118,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6286
289,2021,W02000118,2021 super output areas - middle layer,152,Cannot speak Welsh,4208
290,2021,W02000118,2021 super output areas - middle layer,152,Can speak Welsh,2078
291,2021,W02000120,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6904
292,2021,W02000120,2021 super output areas - middle layer,152,Cannot speak Welsh,3308
293,2021,W02000120,2021 super output areas - middle layer,152,Can speak Welsh,3596
294,2021,W02000122,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6175
295,2021,W02000122,2021 super output areas - middle layer,152,Cannot speak Welsh,3365
296,2021,W02000122,2021 super output areas - middle layer,152,Can speak Welsh,2810
297,2021,W02000123,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7502
298,2021,W02000123,2021 super output areas - middle layer,152,Cannot speak Welsh,3765
299,2021,W02000123,2021 super output areas - middle layer,152,Can speak Welsh,3737
300,2021,W02000124,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8459
301,2021,W02000124,2021 super output areas - middle layer,152,Cannot speak Welsh,4352
302,2021,W02000124,2021 super output areas - middle layer,152,Can speak Welsh,4107
303,2021,W02000125,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7282
304,2021,W02000125,2021 super output areas - middle layer,152,Cannot speak Welsh,3584
305,2021,W02000125,2021 super output areas - middle layer,152,Can speak Welsh,3698
306,2021,W02000421,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,11224
307,2021,W02000421,2021 super output areas - middle layer,152,Cannot speak Welsh,5411
308,2021,W02000421,2021 super output areas - middle layer,152,Can speak Welsh,5813
309,2021,W02000126,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8041
310,2021,W02000126,2021 super output areas - middle layer,152,Cannot speak Welsh,4065
311,2021,W02000126,2021 super output areas - middle layer,152,Can speak Welsh,3976
312,2021,W02000127,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9410
313,2021,W02000127,2021 super output areas - middle layer,152,Cannot speak Welsh,6267
314,2021,W02000127,2021 super output areas - middle layer,152,Can speak Welsh,3143
315,2021,W02000128,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7102
316,2021,W02000128,2021 super output areas - middle layer,152,Cannot speak Welsh,5080
317,2021,W02000128,2021 super output areas - middle layer,152,Can speak Welsh,2022
318,2021,W02000129,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7030
319,2021,W02000129,2021 super output areas - middle layer,152,Cannot speak Welsh,4954
320,2021,W02000129,2021 super output areas - middle layer,152,Can speak Welsh,2076
321,2021,W02000130,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6464
322,2021,W02000130,2021 super output areas - middle layer,152,Cannot speak Welsh,5705
323,2021,W02000130,2021 super output areas - middle layer,152,Can speak Welsh,759
324,2021,W02000131,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6992
325,2021,W02000131,2021 super output areas - middle layer,152,Cannot speak Welsh,6109
326,2021,W02000131,2021 super output areas - middle layer,152,Can speak Welsh,883
327,2021,W02000132,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6829
328,2021,W02000132,2021 super output areas - middle layer,152,Cannot speak Welsh,5528
329,2021,W02000132,2021 super output areas - middle layer,152,Can speak Welsh,1301
330,2021,W02000133,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8103
331,2021,W02000133,2021 super output areas - middle layer,152,Cannot speak Welsh,7101
332,2021,W02000133,2021 super output areas - middle layer,152,Can speak Welsh,1002
333,2021,W02000134,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8133
334,2021,W02000134,2021 super output areas - middle layer,152,Cannot speak Welsh,7394
335,2021,W02000134,2021 super output areas - middle layer,152,Can speak Welsh,739
336,2021,W02000135,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7116
337,2021,W02000135,2021 super output areas - middle layer,152,Cannot speak Welsh,6501
