,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_BEDROOMS_6_NAME,OBS_VALUE
195,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,596
196,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1053
197,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1685
198,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,147
199,2021,E02000173,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,22
200,2021,E02000174,2021 super output areas - middle layer,152,Total: All households,3551
201,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,456
202,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,873
203,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1847
204,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,305
205,2021,E02000174,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,70
206,2021,E02000175,2021 super output areas - middle layer,152,Total: All households,4308
207,2021,E02000175,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,577
208,2021,E02000175,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1148
209,2021,E02000175,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,2286
210,2021,E02000175,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,250
211,2021,E02000175,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,47
212,2021,E02000176,2021 super output areas - middle layer,152,Total: All households,3001
213,2021,E02000176,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,438
214,2021,E02000176,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1039
215,2021,E02000176,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1432
216,2021,E02000176,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,80
217,2021,E02000176,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,12
218,2021,E02000177,2021 super output areas - middle layer,152,Total: All households,3654
219,2021,E02000177,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,396
220,2021,E02000177,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,951
221,2021,E02000177,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1834
222,2021,E02000177,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,374
223,2021,E02000177,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,99
224,2021,E02000178,2021 super output areas - middle layer,152,Total: All households,4166
225,2021,E02000178,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,359
226,2021,E02000178,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,990
227,2021,E02000178,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,2288
228,2021,E02000178,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,436
229,2021,E02000178,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,93
230,2021,E02000179,2021 super output areas - middle layer,152,Total: All households,2551
231,2021,E02000179,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,426
232,2021,E02000179,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,786
233,2021,E02000179,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1111
234,2021,E02000179,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,179
235,2021,E02000179,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,49
236,2021,E02000180,2021 super output areas - middle layer,152,Total: All households,3516
237,2021,E02000180,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,394
238,2021,E02000180,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,950
239,2021,E02000180,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1791
240,2021,E02000180,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,316
241,2021,E02000180,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,65
242,2021,E02000181,2021 super output areas - middle layer,152,Total: All households,3751
243,2021,E02000181,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,486
244,2021,E02000181,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1314
245,2021,E02000181,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1738
246,2021,E02000181,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,177
247,2021,E02000181,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,36
248,2021,E02000182,2021 super output areas - middle layer,152,Total: All households,3085
249,2021,E02000182,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,530
250,2021,E02000182,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,968
251,2021,E02000182,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1328
252,2021,E02000182,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,200
253,2021,E02000182,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,59
254,2021,E02000183,2021 super output areas - middle layer,152,Total: All households,3618
255,2021,E02000183,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,624
256,2021,E02000183,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1018
257,2021,E02000183,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1724
258,2021,E02000183,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,211
259,2021,E02000183,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,41
260,2021,E02000184,2021 super output areas - middle layer,152,Total: All households,3634
261,2021,E02000184,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,326
262,2021,E02000184,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,965
263,2021,E02000184,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1892
264,2021,E02000184,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,361
265,2021,E02000184,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,90
266,2021,E02000185,2021 super output areas - middle layer,152,Total: All households,4069
267,2021,E02000185,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,318
268,2021,E02000185,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,842
269,2021,E02000185,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,2318
270,2021,E02000185,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,473
271,2021,E02000185,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,118
272,2021,E02000186,2021 super output areas - middle layer,152,Total: All households,2941
273,2021,E02000186,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,408
274,2021,E02000186,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,673
275,2021,E02000186,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1615
276,2021,E02000186,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,198
277,2021,E02000186,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,47
278,2021,E02000187,2021 super output areas - middle layer,152,Total: All households,3820
279,2021,E02000187,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,287
280,2021,E02000187,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,774
281,2021,E02000187,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,2054
282,2021,E02000187,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,560
283,2021,E02000187,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,145
284,2021,E02000188,2021 super output areas - middle layer,152,Total: All households,2719
285,2021,E02000188,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,247
286,2021,E02000188,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,525
287,2021,E02000188,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1407
288,2021,E02000188,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,414
289,2021,E02000188,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,126
290,2021,E02000191,2021 super output areas - middle layer,152,Total: All households,2104
291,2021,E02000191,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,160
292,2021,E02000191,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,606
293,2021,E02000191,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1194
294,2021,E02000191,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,121
295,2021,E02000191,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,23
296,2021,E02000192,2021 super output areas - middle layer,152,Total: All households,3089
297,2021,E02000192,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,241
298,2021,E02000192,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,729
299,2021,E02000192,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1720
300,2021,E02000192,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,318
301,2021,E02000192,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,81
302,2021,E02000193,2021 super output areas - middle layer,152,Total: All households,3101
303,2021,E02000193,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,293
304,2021,E02000193,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,701
305,2021,E02000193,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1893
306,2021,E02000193,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,179
307,2021,E02000193,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,35
308,2021,E02007115,2021 super output areas - middle layer,152,Total: All households,4470
309,2021,E02007115,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,282
310,2021,E02007115,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,968
