,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ACCTYPE_9_NAME,OBS_VALUE
289,2021,E02004807,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",26
290,2021,E02004807,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",67
291,2021,E02004807,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,1
292,2021,E02004808,2021 super output areas - middle layer,152,Total,4926
293,2021,E02004808,2021 super output areas - middle layer,152,Detached,799
294,2021,E02004808,2021 super output areas - middle layer,152,Semi-detached,1243
295,2021,E02004808,2021 super output areas - middle layer,152,Terraced,949
296,2021,E02004808,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,1572
297,2021,E02004808,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",191
298,2021,E02004808,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",85
299,2021,E02004808,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",82
300,2021,E02004808,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,5
301,2021,E02004809,2021 super output areas - middle layer,152,Total,3984
302,2021,E02004809,2021 super output areas - middle layer,152,Detached,277
303,2021,E02004809,2021 super output areas - middle layer,152,Semi-detached,1039
304,2021,E02004809,2021 super output areas - middle layer,152,Terraced,657
305,2021,E02004809,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,1743
306,2021,E02004809,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",112
307,2021,E02004809,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",96
308,2021,E02004809,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",56
309,2021,E02004809,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,4
310,2021,E02004810,2021 super output areas - middle layer,152,Total,3209
311,2021,E02004810,2021 super output areas - middle layer,152,Detached,205
312,2021,E02004810,2021 super output areas - middle layer,152,Semi-detached,1110
313,2021,E02004810,2021 super output areas - middle layer,152,Terraced,847
