,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,COB_NAME,OBS_VALUE
305,2001,E02002506,2001 super output areas - middle layer,305,England,5150
306,2001,E02002506,2001 super output areas - middle layer,305,Scotland,49
307,2001,E02002506,2001 super output areas - middle layer,305,Wales,26
308,2001,E02002506,2001 super output areas - middle layer,305,Northern Ireland,29
309,2001,E02002506,2001 super output areas - middle layer,305,Republic of Ireland,26
310,2001,E02002506,2001 super output areas - middle layer,305,Other EU countries,28
311,2001,E02002506,2001 super output areas - middle layer,305,Elsewhere,150
312,2001,E02002507,2001 super output areas - middle layer,305,All people,5665
313,2001,E02002507,2001 super output areas - middle layer,305,England,5374
314,2001,E02002507,2001 super output areas - middle layer,305,Scotland,74
315,2001,E02002507,2001 super output areas - middle layer,305,Wales,24
316,2001,E02002507,2001 super output areas - middle layer,305,Northern Ireland,12
317,2001,E02002507,2001 super output areas - middle layer,305,Republic of Ireland,22
318,2001,E02002507,2001 super output areas - middle layer,305,Other EU countries,23
319,2001,E02002507,2001 super output areas - middle layer,305,Elsewhere,136
320,2001,E02002508,2001 super output areas - middle layer,305,All people,5023
321,2001,E02002508,2001 super output areas - middle layer,305,England,4729
322,2001,E02002508,2001 super output areas - middle layer,305,Scotland,58
323,2001,E02002508,2001 super output areas - middle layer,305,Wales,15
324,2001,E02002508,2001 super output areas - middle layer,305,Northern Ireland,14
325,2001,E02002508,2001 super output areas - middle layer,305,Republic of Ireland,26
326,2001,E02002508,2001 super output areas - middle layer,305,Other EU countries,46
327,2001,E02002508,2001 super output areas - middle layer,305,Elsewhere,135
328,2001,E02002509,2001 super output areas - middle layer,305,All people,5745
329,2001,E02002509,2001 super output areas - middle layer,305,England,5527
330,2001,E02002509,2001 super output areas - middle layer,305,Scotland,61
331,2001,E02002509,2001 super output areas - middle layer,305,Wales,27
332,2001,E02002509,2001 super output areas - middle layer,305,Northern Ireland,14
333,2001,E02002509,2001 super output areas - middle layer,305,Republic of Ireland,16
334,2001,E02002509,2001 super output areas - middle layer,305,Other EU countries,26
335,2001,E02002509,2001 super output areas - middle layer,305,Elsewhere,74
336,2001,E02002510,2001 super output areas - middle layer,305,All people,5997
337,2001,E02002510,2001 super output areas - middle layer,305,England,5749
338,2001,E02002510,2001 super output areas - middle layer,305,Scotland,72
339,2001,E02002510,2001 super output areas - middle layer,305,Wales,18
340,2001,E02002510,2001 super output areas - middle layer,305,Northern Ireland,15
341,2001,E02002510,2001 super output areas - middle layer,305,Republic of Ireland,17
342,2001,E02002510,2001 super output areas - middle layer,305,Other EU countries,27
343,2001,E02002510,2001 super output areas - middle layer,305,Elsewhere,99
344,2001,E02002511,2001 super output areas - middle layer,305,All people,9571
345,2001,E02002511,2001 super output areas - middle layer,305,England,9002
346,2001,E02002511,2001 super output areas - middle layer,305,Scotland,144
347,2001,E02002511,2001 super output areas - middle layer,305,Wales,69
348,2001,E02002511,2001 super output areas - middle layer,305,Northern Ireland,27
349,2001,E02002511,2001 super output areas - middle layer,305,Republic of Ireland,32
350,2001,E02002511,2001 super output areas - middle layer,305,Other EU countries,44
351,2001,E02002511,2001 super output areas - middle layer,305,Elsewhere,253
352,2001,E02002512,2001 super output areas - middle layer,305,All people,5210
353,2001,E02002512,2001 super output areas - middle layer,305,England,4970
354,2001,E02002512,2001 super output areas - middle layer,305,Scotland,80
355,2001,E02002512,2001 super output areas - middle layer,305,Wales,22
356,2001,E02002512,2001 super output areas - middle layer,305,Northern Ireland,10
357,2001,E02002512,2001 super output areas - middle layer,305,Republic of Ireland,11
358,2001,E02002512,2001 super output areas - middle layer,305,Other EU countries,26
359,2001,E02002512,2001 super output areas - middle layer,305,Elsewhere,91
360,2001,E02002513,2001 super output areas - middle layer,305,All people,8950
361,2001,E02002513,2001 super output areas - middle layer,305,England,8576
362,2001,E02002513,2001 super output areas - middle layer,305,Scotland,115
363,2001,E02002513,2001 super output areas - middle layer,305,Wales,40
364,2001,E02002513,2001 super output areas - middle layer,305,Northern Ireland,36
365,2001,E02002513,2001 super output areas - middle layer,305,Republic of Ireland,26
366,2001,E02002513,2001 super output areas - middle layer,305,Other EU countries,57
367,2001,E02002513,2001 super output areas - middle layer,305,Elsewhere,100
368,2001,E02002514,2001 super output areas - middle layer,305,All people,8657
369,2001,E02002514,2001 super output areas - middle layer,305,England,8228
370,2001,E02002514,2001 super output areas - middle layer,305,Scotland,152
371,2001,E02002514,2001 super output areas - middle layer,305,Wales,46
372,2001,E02002514,2001 super output areas - middle layer,305,Northern Ireland,23
373,2001,E02002514,2001 super output areas - middle layer,305,Republic of Ireland,19
374,2001,E02002514,2001 super output areas - middle layer,305,Other EU countries,41
375,2001,E02002514,2001 super output areas - middle layer,305,Elsewhere,148
376,2001,E02002515,2001 super output areas - middle layer,305,All people,6705
377,2001,E02002515,2001 super output areas - middle layer,305,England,6295
378,2001,E02002515,2001 super output areas - middle layer,305,Scotland,180
379,2001,E02002515,2001 super output areas - middle layer,305,Wales,30
380,2001,E02002515,2001 super output areas - middle layer,305,Northern Ireland,25
381,2001,E02002515,2001 super output areas - middle layer,305,Republic of Ireland,29
382,2001,E02002515,2001 super output areas - middle layer,305,Other EU countries,45
